n,v2_Delta,exact_digit_bound,safe_Delta_bound,v2_h,T_exp,log2_abs_h_per_n,log2_S_per_n,log2_T_per_n,log2_M_per_n,log2_indexK_per_n,log2_indexL_per_n,log2_abs_c1_per_n,log2_abs_c2_per_n
1,17,17,13,49,33,73.5579853353136,22.59841603677456,33.0,55.59841603677456,48.59841603677456,55.59841603677456,22.836839359748716,31.184709407341156
2,37,37,31,92,71,79.49743811035385,27.794469709859595,35.5,63.29446970985959,58.79446970985959,63.29446970985959,25.743962673764916,36.97902586765447
3,55,55,51,130,111,79.26318010141334,27.388602171101798,37.0,64.3886021711018,59.78615053041593,64.3886021711018,26.141909071185776,37.902044860590834
4,77,77,69,175,149,78.41474889488295,26.12327646633426,37.25,63.37327646633426,60.62327646633426,63.37327646633426,25.755064864596694,37.244583441681634
5,97,97,89,215,189,80.93450752786592,28.556925386289578,37.8,66.35692538628959,63.75692538628958,66.35692538628959,27.741790808877198,39.61268944215688
6,115,115,109,253,229,80.12170811388127,27.66762565654966,38.166666666666664,65.83429232321633,63.66762565654966,65.83429232321633,26.75026685083181,38.95226717296412
7,140,139,127,301,267,80.09141555975387,27.428486713619897,38.142857142857146,65.57134385647704,63.14277242790562,65.57134385647704,26.277276156013347,38.65845656079553
8,157,157,147,338,307,81.36261803836842,28.660763981057862,38.375,67.03576398105785,65.41076398105785,67.03576398105785,27.01248140982209,39.661500345251206
9,175,175,167,376,347,81.4212667357931,28.684175841614646,38.55555555555556,67.2397313971702,65.57306473050353,67.2397313971702,27.442181295056617,39.81552706218387
10,197,197,187,418,387,79.9045503821798,27.13574082589061,38.7,65.83574082589061,64.05500533368485,65.83574082589061,26.660189102250463,39.096600437317214
11,215,215,207,456,427,82.3488276709793,29.551466809193844,38.81818181818182,68.36964862737567,66.43801885342624,68.36964862737567,27.821618515301108,40.46203475097397
12,235,235,227,496,467,81.04866488402298,28.22554106883022,38.916666666666664,67.14220773549688,65.89220773549688,67.14220773549688,27.223668721673423,39.94588480605123
13,257,257,245,541,505,81.09618903829067,28.172813971273563,38.84615384615385,67.01896781742741,65.55742935588896,67.01896781742741,26.864129641599927,39.96293074252712
14,285,279,265,589,545,82.13532714751484,29.196240995785665,38.92857142857143,68.12481242435709,66.76766956721424,68.12481242435709,27.55959965873251,40.403225624888286
15,300,299,285,624,585,81.1660572718606,28.21238073212824,39.0,67.21238073212824,65.81238073212825,67.21238073212824,27.03617137207628,39.83132964062675
16,317,317,305,661,625,81.23297404193941,28.265735122397313,39.0625,67.32823512239732,66.39073512239732,67.32823512239732,27.060566703045716,39.903548933795555
17,335,335,325,699,665,81.7514822281784,28.771618016944085,39.11764705882353,67.88926507576763,66.7241265509407,67.88926507576763,27.51392902340005,40.20706609363544
18,355,355,345,739,705,81.82243742482571,28.830799683213968,39.166666666666664,67.99746634988064,66.89705774309965,67.99746634988064,27.397122795297644,40.45830077452465
19,373,373,365,777,745,81.10548436552966,28.10284663536936,39.21052631578947,67.31337295115884,66.31337295115884,67.31337295115884,27.082771781622526,40.15019004772536
20,397,397,385,821,785,82.75349548927156,29.740560534131276,39.25,68.99056053413128,68.14056053413128,68.99056053413128,27.906312165978143,40.998085578636676
21,417,417,405,861,825,81.34693637025951,28.32434336583931,39.285714285714285,67.6100576515536,66.57161217907466,67.6100576515536,27.165754492495065,40.2235933630598
22,435,435,425,899,865,80.77046011577448,27.738791320910902,39.31818181818182,67.05697313909273,66.19333677545636,67.05697313909273,26.88847267536555,39.887989279864705
23,457,457,445,941,905,81.61354855841003,28.573335365680705,39.34782608695652,67.92116145263722,67.00811797437636,67.92116145263722,27.48975833715648,40.457132112542084
24,475,475,465,979,945,81.74480578601545,28.696534138163596,39.375,68.0715341381636,67.24622768307786,68.0715341381636,27.52893185387173,40.513205968619594
25,493,493,485,1017,985,81.36438571769774,28.30850091959314,39.4,67.70850091959315,66.94850091959314,67.70850091959315,27.31115914664374,40.247560959906316
26,517,517,503,1064,1023,81.62719899356314,28.525648430619917,39.34615384615385,67.87180227677376,67.06410996908146,67.87180227677376,27.272630763730447,40.416297254933426
27,540,539,523,1107,1063,81.76945850183087,28.66250451480799,39.370370370370374,68.03287488517836,67.18102303332651,68.03287488517836,27.38000880203337,40.545236399602615
28,563,559,543,1150,1103,81.90780517921563,28.795693011236494,39.392857142857146,68.18855015409363,67.43855015409363,68.18855015409363,27.47912568371496,40.5285292363111
29,577,577,563,1184,1143,82.32436851788859,29.207327555973382,39.41379310344828,68.62112065942166,67.82801721114579,68.62112065942166,27.700413602883625,40.7822346172135
30,606,599,583,1233,1183,81.9018221386177,28.78006709440242,39.43333333333333,68.21340042773575,67.44673376106908,68.21340042773575,27.46773507166743,40.670455964278176
31,620,619,603,1267,1223,81.51098419214154,28.38471621041332,39.45161290322581,67.83632911363914,66.9393176645405,67.83632911363914,27.457945970360914,40.47736506331833
32,637,637,623,1304,1263,82.18323167885877,29.05263936928807,39.46875,68.52138936928807,67.99013936928807,68.52138936928807,27.69380580155987,40.777385225000984
33,655,655,643,1342,1303,81.30699596642285,28.17225635809752,39.484848484848484,67.65710484294601,67.08134726718843,67.65710484294601,27.33217483427823,40.37543315123095
34,675,675,663,1382,1343,81.4686924670947,28.32997188803519,39.5,67.82997188803517,67.27114835862342,67.82997188803517,27.333642754091894,40.45189263480108
35,693,693,683,1420,1383,81.78841666309603,28.645871548425355,39.51428571428571,68.16015726271107,67.33764576101417,68.16015726271107,27.474485173865915,40.576264461089586
36,715,715,703,1462,1423,81.93811772812786,28.791895361363217,39.52777777777778,68.319673139141,67.79189536136322,68.319673139141,27.503391605363653,40.7308064397163
37,735,735,723,1502,1463,81.85363541696037,28.703874609233768,39.54054054054054,68.2444151497743,67.67684758220673,68.2444151497743,27.475598230347472,40.67436964984711
38,753,753,743,1540,1503,82.00215597894399,28.84898769101321,39.55263157894737,68.40161926996058,67.77510992990644,68.40161926996058,27.729185205926683,40.81115623625838
39,780,779,763,1587,1543,82.14699532186197,28.990543233649344,39.56410256410256,68.55464579775192,67.96490220800833,68.55464579775192,27.71304241088794,40.82260053324032
40,797,797,783,1624,1583,81.85704838049644,28.697429412665258,39.575,68.27242941266526,67.70491841971173,68.27242941266526,27.478350167842905,40.64340291130162
41,815,815,803,1662,1623,82.00521197467998,28.84253676647326,39.58536585365854,68.4279026201318,67.84723542691088,68.4279026201318,27.63209621841004,40.72820355704087
42,837,837,823,1704,1663,81.73623665971525,28.570610006971485,39.595238095238095,68.16584810220958,67.66584810220958,68.16584810220958,27.532456692748713,40.63878749070159
43,855,855,843,1742,1703,81.48012928117024,28.31165053811477,39.604651162790695,67.91630170090546,67.29536124234406,67.91630170090546,27.341383962422814,40.533452373439836
44,875,875,863,1782,1743,82.03434250520826,28.863105953309944,39.61363636363637,68.47674231694631,67.99946958967358,68.47674231694631,27.625401540482265,40.751390192113824
45,900,899,883,1827,1783,82.17790772404986,29.00400291093844,39.62222222222222,68.62622513316066,68.05272835711494,68.62622513316066,27.732832047935936,40.882471069889185
46,917,917,903,1864,1823,81.93414515975705,28.757657210920566,39.630434782608695,68.38809199352926,67.80764765183054,68.38809199352926,27.612565738356956,40.77049373809736
47,937,937,923,1904,1863,82.45545332468146,29.276463230407327,39.638297872340424,68.91476110274775,68.38284620913073,68.91476110274775,27.85911279817721,41.03208518413648
48,955,955,943,1942,1903,82.21894711022318,29.03753199001285,39.645833333333336,68.68336532334618,68.28753199001285,68.68336532334618,27.755697103063554,40.81442602514699
49,973,973,963,1980,1943,81.99309505035983,28.809328396832278,39.6530612244898,68.46238962132207,67.9582990148294,68.46238962132207,27.746514448395878,40.890234961123156
50,993,993,983,2020,1983,82.13528893357575,28.94924083768171,39.66,68.60924083768171,68.11523204331888,68.60924083768171,27.671425441700116,40.90527857933895
51,1011,1011,1003,2058,2023,82.27441783209831,29.086155191291134,39.666666666666664,68.75282185795781,68.30184146580095,68.75282185795781,27.762161410725653,40.96510605021495
52,1037,1037,1021,2107,2061,81.77491164983871,28.565267591458614,39.63461538461539,68.19988297607401,67.70358768911134,68.19988297607401,27.433392832564707,40.710931653656516
53,1057,1057,1041,2147,2101,82.08972271368222,28.87835192575496,39.64150943396226,68.51986135971723,68.04816324650967,68.51986135971723,27.604818895738457,40.8630568242463
54,1083,1079,1061,2193,2141,81.55662016997765,28.343567630833572,39.648148148148145,67.99171577898171,67.52875281601875,67.99171577898171,27.377552111055323,40.554752327552926
55,1097,1097,1081,2227,2181,81.7038259130795,28.489134830513667,39.654545454545456,68.14368028505912,67.65277119415003,68.14368028505912,27.439113475681456,40.64649737856016
56,1123,1119,1101,2273,2221,81.52245743262907,28.306169334159495,39.660714285714285,67.96688361987377,67.55616933415949,67.96688361987377,27.393801119322415,40.53022756456175
57,1137,1137,1121,2307,2261,81.66914403528817,28.45129885301237,39.666666666666664,68.11796551967905,67.67936902845098,68.11796551967905,27.44977024897673,40.581926003055756
58,1157,1157,1141,2347,2301,81.81218425494609,28.59282040534003,39.672413793103445,68.26523419844348,67.78579704461491,68.26523419844348,27.46903112401609,40.727325398220664
59,1180,1179,1161,2390,2341,81.64081192908272,28.419966388066815,39.67796610169491,68.09793248976173,67.59272308430313,68.09793248976173,27.379201026146134,40.691300729698675
60,1203,1199,1181,2433,2381,81.78320192426546,28.560910297843524,39.68333333333333,68.24424363117686,67.8275769645102,68.24424363117686,27.468225001897668,40.74550075003412
61,1217,1217,1201,2467,2421,81.92219792800488,28.698494518763038,39.68852459016394,68.38701910892696,67.9443961581073,68.38701910892696,27.56676518315752,40.794306371624955
62,1243,1239,1221,2513,2461,82.35755788395382,29.132475753687974,39.693548387096776,68.82602414078474,68.390540269817,68.82602414078474,27.802493612215116,40.996400327196895
63,1260,1259,1241,2550,2501,81.97019647791828,28.743767506641728,39.698412698412696,68.44218020505443,67.98186274473696,68.44218020505443,27.5751306599763,40.842034485388965
64,1277,1277,1261,2587,2541,81.81306295387775,28.585317895443655,39.703125,68.28844289544365,67.99156789544365,68.28844289544365,27.518700655988823,40.749055086958236
65,1295,1295,1281,2625,2581,82.23582069713868,29.006789231696498,39.707692307692305,68.71448153938881,68.39140461631189,68.71448153938881,27.711559988139566,40.979279184265025
66,1315,1315,1301,2665,2621,82.36470509125809,29.134415874748203,39.71212121212121,68.84653708686942,68.48581958805036,68.84653708686942,27.785933913205138,41.02082851645847
67,1333,1333,1321,2703,2661,82.21075004518883,28.979230756065625,39.71641791044776,68.69564866651338,68.31046426469163,68.69564866651338,27.70089964811064,40.973417694860665
68,1355,1355,1341,2745,2701,82.33865511800326,29.105932501364226,39.720588235294116,68.82652073665835,68.51769720724658,68.82652073665835,27.76226709294517,41.04164377035252
69,1375,1375,1361,2785,2741,82.19092753461798,28.957027443903588,39.72463768115942,68.681665125063,68.2947022305972,68.681665125063,27.686959712253607,40.978721454463624
70,1393,1393,1381,2823,2781,82.04790938401199,28.812856820430344,39.72857142857143,68.54142824900177,68.11988832557037,68.54142824900177,27.678708021490575,40.8734929091335
71,1417,1417,1401,2867,2821,82.17626257317538,28.94008172299471,39.732394366197184,68.67247608919189,68.26824454386596,68.67247608919189,27.689869528199072,40.92735402674508
72,1435,1435,1421,2905,2861,82.03902876145638,28.80174303129865,39.736111111111114,68.53785414240977,68.19479247965779,68.53785414240977,27.599190139029062,40.87154535088571
73,1453,1453,1441,2943,2901,81.9494233793674,28.711055429627184,39.73972602739726,68.45078145702443,68.09725604713324,68.45078145702443,27.57413672856032,40.85353115391247
74,1475,1475,1461,2985,2941,82.07728290251391,28.83785467901817,39.74324324324324,68.5810979222614,68.22028116931355,68.5810979222614,27.646642092574794,40.86696046410617
