n,best_digits_correct,log10_abs_q,empirical_delta,minus_log10_abs_linear_form,q_bitlen,c1_bitlen,c2_bitlen,indexK_bitlen,indexL_bitlen,T_exp,theory_delta,c1,c2,q_n,p_n
1,10.7491094822476,11.034509928554089,0.9741356482386269,-0.28540044630648786,37,23,32,49,56,33,0.9025266028569715,7491584,2440804176,108270446692,99172004038
2,20.739496085972068,23.720505074486187,0.8743277607642302,-2.9810089885141178,79,52,74,118,127,71,0.9025266028569715,3157984136701952,-18348137801815121213396,-525418154289140707420494,-481264951884950503615965
3,31.246801487544005,34.71513807911306,0.900091522503382,-3.4683365915690585,116,79,114,180,194,111,0.9025266028569715,-405972226069394523721728,-16941708310613616394011668210857650,-51896501187076210830625410160458486,-47535409545539013401896745399963705
4,43.06320284018094,45.316005647605515,0.9502868186365934,-2.2528028074245716,151,104,149,243,254,149,0.9025266028569715,10284620194392771442654637824000,-702986795931189116412676307219751346899283750,-2070168269275191475364333227680708437752266250,-1896202908813475890874070512510876935746658887
5,54.42570189313581,59.19965978790779,0.9193583559115804,-4.773957894771981,197,139,199,319,332,189,0.9025266028569715,569581446960377977641302925461945650800640,419796346954757854688324744964496491301277400034780467874490,158365212514210559807343810986628232486866268276585453354870,145057085977580435835687565550536594325408532573493269072889
6,62.962219989649135,69.05659044763931,0.9117481703268988,-6.094370457990169,230,161,234,383,396,229,0.9025266028569715,-2069170531532533289791012033347456217675102261248,22636272273722465032277827230940313799694024830032499967185805312732809,1139175005616207083605184306720909459147298282910539590480747725080576,1043445110891085929831556951807392753442749972238237274579322233323520
7,72.748719512542,80.20368681995022,0.9070495683802675,-7.454967307408235,267,184,271,442,459,267,0.9025266028569715,23536305424241622526724011670300594954195544239059828736,-2893910370372878615786089901649641067280837208222249577437447158939908730821903232,-159840496518891479217685628335141564088307295206152620143212218044450723334979584,-146408395367508141342082801640581372819854094637659770566610132168969902266384384
8,83.39165129553747,93.40284758968168,0.892817011981012,-10.011196294144215,311,217,318,524,537,307,0.9025266028569715,112859284695933016163517904458149100566125604210211265050690340864,-326896458557495082503880634131573777268334309071537128551089828105669642444443443216025497275625,-2528410526088960949904600519614122306884489790905279809118130821622471706946617034255774924800,-2315937049853010036409349222113111582181629131966762536848964272900858022839484698374282305536
9,94.22929985953253,104.91249357743848,0.8981704337241739,-10.683193717905956,349,247,359,591,606,347,0.9025266028569715,-222985922614658935065825984443607129901225887642711107619719452417673625600,-743038727548294353559450733335370444947245601230306400095087192686034510592103642527687317237986659771981500,-817510948098173981598228123799825817581156192586934076537140927593123377804987610640212723287624025881500,-748811901321125586388279580343145240711644884842307412013911891984176365091443043499227204067389609526586
10,104.36185664629922,113.89239529542773,0.9163197979601091,-9.530538649128511,379,267,391,641,659,387,0.9025266028569715,179955903561418031440687521991035185051339386169253884167644784461162442379229184,-4926002197241942644499513205996772781458076846277121904199699027525624403040477614317257821044427810812152059138638783,-780540236079416065342598303612899345420054226986659640449270057504911367016168030908923405839379683649193822650368,-714948001119709139313157685983461618072950566857945458830843016351271621476693514244753737444625536815931583856640
11,115.17556320096003,129.3458162323171,0.8904467616802851,-14.170253031357078,430,307,446,731,753,427,0.9025266028569715,-133831612684809173611610729233199165196105686578633852799053994200963501749130417273134874624,-96193915353096068926538234013303856288222004450645280472367693541380267145229240453264643298572833673117103268003569144375912275888380,-2217258009107978061156250400048335974230169299580852795226390977514059574929685530808580697946686143201447372951886055495577753540,-2030932049756786815422000205942007891090268862682484092487628274749839038586290811336420767293985707678244054180110774284721689686
12,125.48792756929835,138.82794347028636,0.9039097204242372,-13.340015900988,462,327,480,791,806,467,0.9025266028569715,-219629426185705432872913284306073856811197957138851915377996303445273626152127850530456890268155904,1990280827842191821704288322714744979110174435564774014046259302666843572786402570586047570029239201198260591168549328337921018391897117126832188,6728890643313211905821956749383920725789518884625908710097734453940445381790435314447649891219773185566920914321385099735785473665662002498,6163432316255915643582185503348324713791726984047401214019422156418177516070604337120519029450450318282458630355065311908714157342327329979
13,135.5617287655371,150.99202840947524,0.8978071901776649,-15.430299643938113,502,350,520,853,872,505,0.9025266028569715,-1348387705050110941113075506214501219130649977318450349308286372393674919962504341462287844400603250222848,2457713674476255774772614439864693335566643674124133983782547210535996905531328939965911984745366905403118748426612302284046175934167157122733275531174168825,9818121663921586245983951244875011008390402032292899045302517900185182407860147528735096391255865975668552053012279960601289199181641098996274575835136,8993061643598161966191368521113708726054359000500139448192898952066584039673011568455204412098727078251633920782050118087205049566988208936549499797504
14,146.12108072688002,164.04960525643634,0.8907127846999016,-17.928524529556313,545,386,566,935,954,545,0.9025266028569715,-140516175468469434470253840387120007335847191994756726098764995631886562245254223877813158880491105082713709474848768,188868567077768661311315218086547427669396223324117469429325476163089289933777909938228568015180269044839083683800062396591739983218342476120645242847289183051334214745000,112099908068442852125466373199515128728551596416989158244620530677863897735002992550263153859757257401441802201354885083008182658977538568298963878886183600595150150,102679658901122884997758012896319467808366511681219387636510117798213120190690554170271303167986544520052981741732817877781348390466627980684225335830905725939474545
