n,k,digits_correct,X1_bitlen,Y1_bitlen,X1,Y1
1,8,2.372068751677141,43,43,8595317203200,7836523208064
2,16,4.752042331768223,99,99,608452188673730232489462604800,557310501310017532507598382592
3,24,7.151363398266996,149,149,680201033234763773363627986865669429475840000,623040695563229768446296298393278700893542400
4,32,9.555166119759653,195,195,45019883344357440258340716223901057534633782749121190400000,41236664184765160572993221648949485020395252114567495096320
5,40,11.960740554050675,257,257,203246226706566500732576145466154053975708249426166611216384466672216647680000,186166550809335469284602761057862522613931511393372497155111521607359339782144
6,48,14.367200291589622,304,304,27782442402057511467703964807794311195293255940770200884590509235006960582807606532433920000,25447761362494853111294356932578308652838686360119727464901399091061822566357687358849703936
7,56,16.774166546133994,354,354,26692257801007366200162114278746133371850295911550196783225524006943454869107879950130186718030781644800000,24449189776631221168013605701596714766042308334390245978490316986504678499219246780883139080256521744285696
8,64,19.181449865324716,415,415,65691966821558385469967521847271145300591041818645652360447584052828762866296893381669922703531589764860892631361169664000000,60171581422378884205470280646833592733941908742134105205002265828037578719076762719145841942398973060542186890820189363200000
9,72,21.588944876502374,468,468,481112239548088808977410354157637942624426003995144769227348241763380406704093996184984900378483720873879294713187588304327936169051136000000,440682258363597694703049005145864743756422443577250601565369611106622255413126913199936628776683319211308673066864070728325512747758050181120
10,80,23.996588271372154,505,505,68350832097719025880942218806921203512179793295554732120944611346850499239187092583722746766099297681165290916772511037420805208360116152867537592320000,62607010534894540728658889033731444202145180505613440167770802342954417185765525891539860430554911093719156284787100948991584742813307971934004434010112
11,88,26.404339709838595,582,582,15346259407342444693693135668104466569094627357462279146947576989039835193581425391141938083513441082370757806713303899889457201877670867072612532542026909395049223878246400000,14056645616444159292212452526484123455276398910455156624291961611225882142438190710803425036372493900053583679121969786834354831482957519908403541813225135400221534945069629440
12,96,28.81217226561491,620,620,3013603024568237160919072279549576538693900566243273907591493957639779217530316845587994770855465334840011044131198481680203886235877971890285057508970437370683484960800962268572590080000,2760356685012909704413668734116883762673261094143667292728487285614376165111217138158189573118706391345404020469516391437116194203976593888361652910957863767580127215678892659256582832128
13,104,31.22006727667413,671,671,9108209094994328883665264257716637733563925257432688039320168312096706885221736032270600339899997880635968966369558711375976201660705001328660711670546703976784865748548054523337046405856385449984000000,8342806155586830727284087299660847752816722636333682592215706173719303409301135903626990107898366976791470533081965882702684497931446260961824235199463079053546097206633381657019587287936417339054489600
14,112,33.62801139959606,738,738,883036474364377392801024045937312628647433207178141682283950038203251632590309346384065398256932021613750741973380028363960627672687224195907606069664221008215894399225779937418589087068858992334516843789382209126400000000,808831028921323565281305921999514313121553950366163906972344985989716965467769575992693559408330092801206099378989215250711008810736469976205943420452586187654853254485982505283369894045465777226921601908666735849308160000
15,120,36.035994840339654,776,776,306976782234547079730604041762776675984573799965053886296915519301778491332177030536298308981617882654092536015578022155043347787675666383621679049779316662709251204047852588992544962052703159863923052446335488684321227239653376000000,281180170738077686198646034845665975345010845104978411117112454173673139798290074958420680838848188955702468193953555897680777854225700225102390193630863961657899247362655094791411272545841040345766625395217105724197499353608382054400
16,128,38.444010247370095,829,829,2713613588688795154632926702681122740668838848101073442162512068639414044108315069875922116832649268698626559642950992203609841416706043380440429815202215102598508121043879498866146709079151683698730738406361510763653972524296463772709322621952000000,2485576683130707862383886818131285001293607164504697763056532473910204574031657319390910074752030651138723495547193761340912832172029099924022744833943798621932644074442980919940728631221423768807449833281147382842942435880465486630969257512085848064
17,136,40.85205199477095,890,890,5365772443116037245414007040431644815285460169989432684382867875374525968713103844674213350963551851708917161974521684861636691135493365089102774560050486317106265052146166513260356174703967622153424119152860928472022009907524219875265570493746445599493553950720000000,4914862944078529173797922421766198865883919199280440647109519708036136617450265464286290115838610972209038627333473087867784142717993850666102113657325532804980357978010617894457744575202739964974645781563374050220257304137698787911954761607726848073758666748748759040
18,144,43.26011570389718,944,944,81531516486351761344942844126588803975102712880908712709309275549289991973804277310784892254104764485276043485053331203557753736382392649586498913603834354612827409924483156699694561250954879448141158370698602336735658830420446261925141023985073608270807344471948474506927706112000000,74680063942590919020886238583448600802935348325320228531801324639214472405137517353068098308221554535051577759114829912037900733560654794112650921349769822799257673855097427826614029935912634461464511537256288916727264787713904002588745626867169579367848679727237557879491968099549184
19,152,45.66819791581637,983,982,42454170792114016855602771963659966127422320109807040748944017495161780514179768959743910078092493283998013895625770917793220303583294047625903809794168690316427420589476726037578432320379670316299274760690104797093547196289533943514211693713690441462980041149124212556309387263699660718080000000,38886559774899852297606568033372850858223934427313428358072358194825713815546366820755090118656090876546301670326723975197712134374957561190239054101424380169531389090545110793269484668060098620412764739219717165149957088662525777801589175547091229865963994955652811943578785377695410533955010560
20,160,48.076295861842894,1067,1067,1413132477411113633235775831252960234828491861720130656666818133663942637708962606398116625806741828180909880923552313306851402851887572035010340008157040724388556830911369971605847739258017815862719016777458486812365774106678772002586392138188707997492961358920883433772229380459329934268158753416156443923122032640000000,1294380729322996227056774859791331636713527327994944621089292978245253741432000416196091221350571537324116740222857008925641039294753950946480155667115913350895202829141533581926162118687630576562719765929118544400123535764597220217345268866517764098682607647444703115146468605699105656816757619479122196931903426096660480
21,168,50.4844072995178,1091,1091,22579413840097259242089005905231546004481727233640253638163523618761424804994746416026792975602306691657659248280624711584261051808003519979012612718440680625451491131006691286545504335805363326433676848201384505595708846754105297283743322066476432143796105847158109204007167314133936812574704991982524028012076411506671616000000,20681966214218008560704365242719812063875390768573681714723153960880921628777197242940417527151830118553982123581982868960661120988603786639287901357751524415655655902867350444552129004172883724025243833525276592311652454032435891871796050192382200697403899281403766735343189311766111821453235730754363294276575186351851988058112
22,176,52.892530393243185,1131,1131,16098795432875409473765795840642397240561674573099115331880414027885024510613953227840160519353059122226263979304338555176142877845647033745799017599057349666106420307467668966338759145593624012927329048638565387978589910055634874690354618005384646434763249491667989154239891042004919764472317843599440210704073621079084112814551613440000000,14745942724211224236810844105531594955277756830231973547092573451092241663498042315637823877411760952733052395862921174472030385945601692176109153945678843219765325344523576481718026890238345252509370291652097005205038749148322577842381625730877715895438777307042083683126556239008406372259193736131552506203137235501355823187149030914785280
23,184,55.300663626001615,1202,1201,34716818262839278618677840567825156868052975382442387584528086590039162109596039433979300188700591489196492557704509975742175568917220006368942647995850456460463730685695465141636895708670793890368452488421941085712518902606550010115937461579900129568111016946299296683426174074817353343175160577867589816537066565491788740687428582987079417704444491530240000000,31799411068064108304858796094877724561256364344103583935446470976543601810366952115428463937253892984605348656147159079634514525224777621470171445261176661095017339904017455184170717135538398475214457136224774258457408873920753452762850162214958102894099949216361716635434912668906034099859399373825680605365062922744094207721643931024825469765769123540374650880
24,192,57.70880573310807,1257,1257,1730945977613526340474134122814192849870477936184243038980622793374292383634804822082822974377720041859970033622205010823555761257067217512495613734200689181444396567555008651285217136064888089483274819689849153341937854959777073556741423368088212201985937346413399374774707611731272670708233478823354861953221807355341628035548732259796316709521964244204002318368996659200000000,1585486960873440898152433426710322185841912006377366945092035554381402943378637787752886629892356639670407766822070118272553701541459634556889918175345346274950019244212916174714826424197063576712575372825217390806994351057645971600638987676347178622444678541405928169270178859725344295956849321688084664857943579053628699625574630642056368825501714997971047221474224884295270400
25,200,60.11695565183488,1300,1300,14573060392322720828154524551769685363189166315986993221811500415738816151565550596367737925436569757624670745586006317444223989483508468093770688085811373411505742684702302403333278555742292350709336199676135706204418955030511880610366164778187974198057501019396362925854532424469332995295475835007839342318231095495178755670041835230035855996638142786692387141820198320961331026214912000000,13348421921234377432115417472877561848156634257660992070653046974334353900087955905490861773282655013325608015724930518400060839325564801816203478131888465574835275632795070812313601946023515071784528644361093717590006388289101856663379383132184980061239031076181203532291351960446379573242121166017440910298837742586423429738754601740026430670653625413743888081152814956587465850396943581184
26,208,62.52511248264243,1358,1358,3913006626705509053968936389777328659507096144040091196682189117386763802132014163605923414356580856966576762116167849004940480900072894517928616853503290440189354461118342890282288724783447783734315709396144453135097721728539417078874996161871713923064416763123908698411371363582914102900638076191157917005931719475287916748768681832615936169022403833467980712539764825062376868466563840676944853139456000000,3584179439849707043977921803200395362532324817890100647135875247071557519588761743617513886684304630870659522981986273126187751895228487722960759792010096885189263541298845245071488695942811806855660011065226113227308766708727455165587954161168206385155612981277602417867018735098491919898784306932978327882176446443630966501987536816891727865055366066590492275453091137682631918970230973026464897917981294592
