n,m,digits_correct,X2_bitlen,Y2_bitlen,X2,Y2
1,5,10.19309432855432,62,61,2419735659031756800,2216394610831949824
2,10,20.633079944859386,132,132,3664215149207577184657356589802048716800,3356295006337085664927718143981437845504
3,15,31.079281387708388,195,195,43140261780108767321487699112802435011794716825584926720000,39514995514378099146102901547430316570938062132188599549952
4,20,41.527064392776346,256,255,59991129562891496408283793609550243996348218187790345152142928185521602560000,54949810635436438758311269618395120755351686249193438303961598416655531114496
5,25,51.97548426079676,331,331,2842797595282318187926122748554509200021863824311211498022486160242392605042776702604136184545280000,2603904788488337966536282468621239730159487201508617638774108336963909558881450267718099702871228416
6,30,62.42422371442647,391,391,4077236788525377548603349096316813218889434997744975277935153536156593039325457998076278174928523338530416870031360000,3734608617602863718187592696928904474592850434155703254896513248195225698001162302210120291351510381662994372222779392
7,35,72.87314620725824,455,455,82184750571386400317485865395063135474665769814858335151402988801145403344012503501478774810118848962828844810435231365130531519856640000,75278403889426484119097090586892542784133195983924109871839686215749076496985649461917814417719180607636130269491861442046934007790174208
8,40,83.32218328132414,530,530,2121501281374818197482142423436252946015838949774675371665736020507845963234262439761782220517206543784382509155592551145286519311608470709601255408711761920000,1943222181742216854421064442933869621637282778975839976975414586995045241897795145643087492089917385321623617424031229599982903703917210557185384542247906705408
9,45,93.77129683208011,596,596,162954585489611327848714857313592619894560649351853224544815919107558205413077983940048725025994228727920953227158041070612908858761328278389743265105917228322615029537628487680000,149260793721894271881176951812143879667765146910164228688486598244371274883255526159909626034323727430409942573871496381837979396313539432987392575267581659838989174626969276383232
10,50,104.22046396446368,646,646,242788687715507059104180626172032035016887900101244160090253070677332801531743669693329819245262505999988541901284235538953770230903225158381400759208032005488610599531299530758052412632596480000,222386084602841698506895792110034574514102910700697405045278181874866196331039905709191752196881923121824942052340511593331868994105595880096975583493296195961347506842206240362360697659144011776
11,55,114.66967009293803,737,737,571654937027648379229773556609116113496212697751168086209469592867212937941384182563346742440376540166219173935615329148569089689033578392066605798314779436229556508869377750484844204895523795341030615071763969857290240000,523616254058870666995478040688568891881370718981631407765498234530849126379171726602533349240336964440593773533519837724316126669389629691030667936242257656418743158534914857587354551086984605802435174049070018679682367488
12,60,125.11890548531764,788,788,1177202437338585232925706871925604870280723978789415061795998418826399441408674834193248923238676083511379773462598459957399841606316107450541416479369095747028254939629162437545614259908469672099575128088401904516733736657142436331520000,1078276929983707658461446140151514338082713321842431622496503189568021899451360630729721553595595341335797594470152920882669588268449780255977885411876178308899969265705410463672625260499257777501859497651738011827975783304133425626087424
13,65,135.56816339912672,854,854,74619410356490708221032819747049505302631333192126031108720822361826990130567667354713512829795647162185421334530168805553641628534409143359673111004902266180377856463494873844608685413981030414573639238573534972415660966099645266981371430341439389696000000,68348812544336741718491574288331306419120543568506708204885392113807672673282651625652714316199317416648093398414583915188334410631078549861962976192301224776237788082822108478026536295332275215796037918849508084153231588687296690180731748184731327339167744
14,70,146.0174390154487,934,933,75860100379750246958457201962832216353959090536242333705503219708745110583964231939053000358316141484460783580441828971024685727224913317692392851708553730934784365670152355023415174934341772335675762017477432049969559865658166055319445610887178820483964529692179529587490816000000,69485241918681412798192637155305958388610565127592663065046252628715782847521299594863198223417285866208007285913293754936557392641280073540919035876435996419562727449947992768672194141446873877707770772556812208469477506307607596990818077571740150159244125418231065936021552103424
15,75,156.4667287986346,985,985,276534984619152933857485939029929619781195702033865433744021166166711719864959224509201992621052738359735938244819011415495423310757519598431995450011289810489153563353061224381634552614184870461965409027931889976159972795001423206036043381021940222331936982031085613509271172057626694385664000000,253296531497470538439961034724759604076411543955778451957823691058661059878474443622504200935314170533862889498803785012204791626778762010238056086018786947032658484809144769284429588996861526660052418857661666397741990500920011096088397106923623438302784666723047997414364607832585657987782148096
16,80,166.9160300958048,1052,1051,25632877453877156383117814038646652064251032137643160645796705517658232755934707708632140520705164743552807658481844604665461613171741623753037498000600709822569970843278671723023155230505150609235207834427777298656182786166143661754777966211419037841943477873531629876261233170776202428302920461721022243012608000000,23478833827512430444884862899920374561286911897014234890459531506612946843792857425155630586958032682250627838982545273774268486928329184206233741136071001658685899889009723728558041201720090490860139720066653856802499192915052408630371296269239619484872438951518342172239105066055865404265611416383771943160734810112
17,85,177.36534087752887,1126,1126,531474378234559491467453790424289778325804395053759704207256426780395141233011694449051347119229400915922228042079973413624163619861432716178549019043113809849481093982458757374319380952319704766527523269493311971693811531879662896416705581622947674696067745277797826333792726487588741109085715743604301030799484393612577187827810304000000,486812244649586321767810683998409494154982488473440320483886143254644789173474439668298957837291847640635357291856252365209915370642265449811162600983222289761660189554578636059740766425623435602606383554724939796776894384585255390997177744724262026229689421957882215454471629795931713868443347475805886658190941183993930742133744841261056
18,90,187.81465956484465,1193,1193,84678459135964458142917735133753561379258427581970064598783816402521271472157208235568708670673488954872234857821648463352466986286233615280260406324201904627609154404344612491368694100377271175251210969727610785892181615787258497740876622389498222829987965862723479676221565695098223177769088589242561429771249559158996749588990892109958754217934979072000000,77562555136485044790182894009901773561723193303683252083006221215190776755254491872788306907227353796713900265880194352641748190697470033915778571683848982279487150877042721085244277085558181008087816956470168374090406183416322944081056732570401202707444506332757936266122821839482881943191568036988761465779452880667048013484587083809496593738157052561195008
