n,v2_cross,log2_abs_cross,log2_odd_part,log2_S,log2_lattice_index,log2_common_gcd_gain,csv_index_field,csv_index_matches
1,38,51.30563428754671,13.305634287546711,11.813781191217037,7.813781191217037,4.0,,
2,67,110.97288643730802,43.97288643730801,29.51727927404915,23.51727927404915,6.0,,
3,97,173.62752008842153,76.62752008842152,47.09308439283202,39.09308439283202,8.0,,
4,120,234.00673578376816,114.00673578376816,64.63606333183321,56.63606333183321,8.0,,
5,143,295.381783180674,152.381783180674,82.1658065133054,67.6580118731067,14.507794640198696,,
6,174,346.1181310897609,172.11813108976088,94.07419913407914,80.37375941593805,13.700439718141093,,
7,198,414.6813992356161,216.68139923561606,115.20820987457321,105.20820987457321,10.0,,
8,221,484.7815896605298,263.7815896605298,137.1699170873327,123.71048546869538,13.459431618637296,,
9,244,545.248169973116,301.24816997311603,154.2404678405743,140.5400281224332,13.700439718141093,,
10,268,595.0778554275987,327.07785542759865,166.00575393929796,152.3053142211569,13.700439718141093,,
11,300,650.1649856041361,350.16498560413606,179.86722861442374,162.50967660980567,17.357552004618082,,
12,323,725.3946178723189,402.39461787231886,204.29890123434865,189.49154631229104,14.807354922057604,,
13,346,776.5528538603986,430.5528538603986,216.6785503521087,197.78373258880075,18.894817763307945,,
14,371,860.0163410042456,489.0163410042456,245.20611571259906,233.20611571259906,12.0,,
15,395,912.3467213605777,517.3467213605777,258.15758257453183,246.15758257453186,12.0,,
16,418,938.7842769250658,520.7842769250658,258.15758257453183,246.15758257453186,12.0,,
17,441,1018.2670966484297,577.2670966484297,284.6738312244097,265.5139598876313,19.15987133677839,,
18,465,1098.4382954353962,633.4382954353961,311.52976625157845,291.11613832255426,20.413627929024173,,
19,490,1179.260481591954,689.2604815919541,338.70649282596264,317.63235136321015,21.074141462752504,,
20,513,1205.7368439707657,692.7368439707656,338.70649282596264,326.70649282596264,12.0,,
21,536,1255.346014290606,719.346014290606,350.269212253012,338.269212253012,12.0,,
22,569,1342.9245755847576,773.9245755847575,380.3134276296312,366.3134276296312,14.0,,
23,593,1397.8128356474954,804.8128356474954,394.50949179555226,380.50949179555226,14.0,,
24,616,1452.7901226241454,836.7901226241453,408.7473739409993,394.7473739409993,14.0,,
25,639,1508.1733308091043,869.1733308091043,423.1857109819236,409.1857109819236,14.0,,
26,663,1563.6380676868775,900.6380676868775,437.6625204605738,420.85516553851613,16.807354922057606,,
27,689,1619.3319280866729,930.3319280866729,452.251761958357,438.251761958357,14.0,,
28,712,1704.7809731609502,992.7809731609502,481.7166268517673,467.7166268517673,14.0,,
29,735,1775.8442296297042,1040.8442296297042,503.9867627433229,484.05602540576,19.930737337562885,,
30,760,1832.3058941411987,1072.3058941411987,518.9543942978514,494.6001449159062,24.35424938194524,,
31,784,1888.8348747295654,1104.8348747295654,533.9540860720178,519.9540860720178,14.0,,
32,807,1945.6771786381755,1138.6771786381755,549.1089437280893,531.6495121094521,17.459431618637296,,
33,830,2033.070611329762,1203.070611329762,579.5379614415382,562.7306065194806,16.807354922057606,,
34,854,2090.1551477971457,1236.155147797146,594.8112106826255,580.8112106826255,14.0,,
35,879,2116.6956739743846,1237.6956739743846,594.8112106826255,578.003855760568,16.807354922057606,,
36,902,2174.1229449452417,1272.1229449452414,610.2534090600399,593.4460541379823,16.807354922057606,,
37,925,2200.668038843462,1275.6680388434622,610.2534090600399,596.2534090600399,14.0,,
38,951,2289.7250276964496,1338.7250276964496,641.5083058344624,627.5083058344624,14.0,,
39,975,2379.087775167992,1404.0877751679916,672.9150856999648,658.9150856999648,14.0,,
40,998,2437.242321811452,1439.242321811452,688.7168193159263,663.2194664224493,25.49735289347705,,
41,1021,2501.786606966849,1480.7866069668491,707.7125229898285,690.2530913711912,17.459431618637296,,
42,1045,2560.2273708241014,1515.2273708241012,723.6556100977301,709.6556100977301,14.0,,
43,1079,2623.8060900492383,1544.8060900492383,741.6668591961178,719.784216146756,21.882643049361842,,
44,1102,2682.5195435084747,1580.5195435084747,757.7446971747024,741.7446971747024,16.0,,
45,1125,2741.3646570699298,1616.3646570699295,773.8876218998157,757.8876218998157,16.0,,
46,1150,2800.2539386895564,1650.2539386895564,790.0519199825234,765.361922011104,24.689997971419444,,
47,1174,2891.8086583730283,1717.8086583730283,822.5482569550636,799.6534391917558,22.894817763307945,,
48,1197,2950.9506401591434,1753.9506401591436,838.8375734407274,819.3781418220901,19.459431618637296,,
49,1220,3026.6441171604333,1806.6441171604333,863.4020128320726,831.0053913283541,32.396621503718485,,
50,1244,3053.2099143592345,1809.2099143592345,863.4020128320726,847.4020128320726,16.0,,
51,1269,3079.776863107035,1810.7768631070348,863.4020128320726,847.4020128320726,16.0,,
52,1292,3172.5163811945617,1880.5163811945617,896.4877440630742,866.0560505957036,30.43169346737059,,
53,1315,3265.4789330848585,1950.4789330848585,929.6844598172182,913.6844598172182,16.0,,
54,1342,3292.04907846158,1950.04907846158,929.6844598172182,910.8771048951606,18.807354922057606,,
55,1366,3318.620211257768,1952.620211257768,929.6844598172182,913.6844598172182,16.0,,
56,1389,3378.675045554461,1989.675045554461,946.4258346308326,923.3068935581091,23.11894107272351,,
57,1412,3438.834467561301,2026.8344675613014,963.2190441931964,943.5186044750552,19.70043971814109,,
58,1436,3510.392943848484,2074.392943848484,985.7113377424681,966.010898024327,19.70043971814109,,
59,1462,3604.610119470107,2142.610119470107,1019.5325529414298,999.8321132232886,19.70043971814109,,
60,1485,3665.137052117554,2180.137052117554,1036.5082330090759,1011.0798728363716,25.42836017270429,,
61,1508,3708.705134649468,2200.705134649468,1045.004088035963,1022.4962933957644,22.507794640198696,,
62,1533,3769.3608261140866,2236.3608261140866,1062.0433605416495,1031.8144667127435,30.228893828905882,,
63,1557,3830.110849079022,2273.110849079022,1079.12942418216,1055.9695528453815,23.15987133677839,,
64,1580,3925.278488897549,2345.278488897549,1113.423933422352,1085.5485680217103,27.875365400641773,,
65,1603,3986.272318789044,2383.272318789044,1130.6311861123245,1110.9307463941834,19.70043971814109,,
66,1627,4012.8523250219555,2385.8523250219555,1130.6311861123245,1106.843283552933,23.78790255939143,,
67,1652,4108.55480698551,2456.554806985511,1165.1920933595202,1134.1095700512371,31.082523308283058,,
68,1675,4135.136116115506,2460.136116115507,1165.1920933595202,1139.876943797264,25.315149562256302,,
69,1698,4196.421876319292,2498.421876319292,1182.5440074254036,1162.8435677072625,19.70043971814109,,
70,1724,4257.847639156667,2533.8476391566674,1199.9656202928024,1180.2651805746614,19.70043971814109,,
71,1748,4319.301469832185,2571.3014698321854,1217.4009731389351,1197.700533420794,19.70043971814109,,
72,1771,4380.891342501587,2609.891342501587,1234.9040612571134,1215.2036215389724,19.70043971814109,,
73,1794,4442.5084874918175,2648.508487491817,1252.420507686567,1232.7200679684256,19.70043971814109,,
74,1818,4539.370240284686,2721.370240284685,1287.5589877227476,1264.3991163859691,23.15987133677839,,
75,1845,4601.1978456322,2756.1978456322004,1305.1801309922298,1275.079879314763,30.100251677466776,,
76,1868,4627.783676603424,2759.783676603424,1305.1801309922298,1285.4796912740887,19.70043971814109,,
77,1891,4725.108699539585,2834.1086995395854,1340.5494775832046,1320.8490378650636,19.70043971814109,,
78,1916,4822.584103706522,2906.5841037065215,1375.9937718291444,1356.2933321110033,19.70043971814109,,
79,1940,4849.171392931468,2909.171392931468,1375.9937718291444,1353.4859771889458,22.507794640198696,,
