n,best_digits_correct,best_q_n_bit_length,q_n,p_n
1,8.249488690576852,31,1975677120,1809652256
2,16.334265002439903,65,-18481523072550753600,-16928439262448932576
3,19.457853456559285,91,-2084266056525767239255498368,-1909115996889033543332268992
4,26.294532063078222,124,14231748456201348258509924150184011520,13035791930865187385119785370736889472
5,32.52089297219469,152,4793965655344768914016951312278654921874375680,4391107599963052404766068542412070570571888128
6,38.90533136158244,183,10786703881456502127263222983746079702572016391211504000,9880249629992019593718311653462739023822081082480876608
7,45.22159067974627,221,2413200877636850326824550101020578458637686492358564343677296768000,2210408975753624008562650559843235198962190788083042278854737092096
8,51.65943149359124,257,211922136187564855061243344192395337886349966824973230033119806637987031966400,194113385392348370123123458532125592774828935507139263345538174205839366364448
9,58.15653266369627,290,-1410414321055492784672658166794149448238789559103659222701277482135133857736472865728000,-1291890991621653392271767204386451750437003745724268969174873596644564460819370931413248
10,64.65332761765649,321,-3868570555770955683955189165311633231683654069745110171531532571046376370516570585274368811980800,-3543477527733237814564659995215245133276243730754169597133314936520216294998088872304034981340160
11,71.15137312259827,349,653482459815601565663777724857323132977289063072071932583765450963556594057391632809853891147854988992000,598567449589388136444532598384891358036456859907921869244706515725457850353452119813562159178542514255104
12,77.64819037766246,390,-2119948774847163296311661944052175649873041598636424648249497568633551685526358182061093154405867359214291713362720000,-1941800139178149421765737151210708181099267984697871901751021906561182503977081223764448183223554835657589471748361088
13,84.1457040207641,418,506018829455118730714865638290493418801000600284807312603525351086654633353926268740098592119051611421898254958493028837467136,463495837786718683074887483882499787501075028945973792199032206371346289146361519623792162074858189171576071314222902938215936
14,90.64324177587626,462,-10236795434284585345267327900080153620832682983231481601366987676288816455289204157006043792515996564482942708401693963440946720108082332160,-9376552412435122985000859545717121165108287235783595049056178232839097715374448001422386646200794523250130682676594269477565554211170753280
15,97.14081341839385,491,6344141697699405234172093849552400639181732543354351852944222499391329227677968598157967661408416506576601435562181809902592431187526392993545781248,5811015519677706691798279838738324255029761482528354141867042149458714614866323865220723748050059625061784897142797038319079137426224820777105063936
16,103.63840690396256,519,880637048955393978030915771482196265692635173868977389312972046769760382785032950442464285307773598282169821493943363879076564370876986921081091928402187712,806633237800900155027578292965875227759749176785658628574345682520831519785246410786627779588532197432747037004570225894732293920878184055150293551513931168
17,110.13601971946406,552,9891490894926587390198850034567410405962622136391581314121484338887195526339149400869885489769890862596954850142718992673316493317927667613217511998183364133236544000,9060265334869983479076867935416584848627754307017364162896766450149653479482053000480200928515334193366120954335601017642428071851107808178465054659547056829841896192
18,116.6336480544337,589,-1393771583233622021024200193781584907610075115019065354505429026585679179001454470661588899248515233545176268668580127160533719719287376503049301794047599292617566197144762977280,-1276646816383907862450669855777712299216541374399469705167732224654898441642729780296419952297246765674336586182022261358304038761472451945970311943394639170689643399446261735936
19,123.13128947415223,626,-204095733328419364077591518674780438368364078188913526990782689200163102504917333903356657032005315846299174438070715076414359053793888407896362916157010645826420434038070007788001322649600,-186944669647200884735742873123498741738055764623725954170723677076906910799197096807315806910403945356686674581558288597602114442023593987298882784388142557664195285681102596145764631677952
20,129.62894202524714,653,-22398804983245883187598369254173696276762246373804469163616761438752592293771004449358476432283894690376140330118445542745749536946077683323213360833843688882570562602435140672093659911459909987840,-20516534715338469599514134131012016118934757241050441028850244385854683323563811941116613345927453620473800818904337793522807885862968786163485531889039050932300776986014825420149355086905724423424
21,136.1266040248583,687,-324274991832466681554308172591588188175516099178756912473619187580154202212254360700520316548655773086012083546431864191071483050442214039644021335596930687058202036112535603321045338216985894567416808632320,-297024735570638187114490073251004587545494842105317265251244146587820421178758780758757060601924164595033418796210979915058301185603496612222597133127445179211047923300589005620476682493424413633827594037248
22,142.6242743151523,729,2041252008971896192151122578683024266145111393459427984607556082740819504925927316184802090642799739295264699345626303336147726479732330807681978986188596368247981960315631884501351210428675064807553518299030524001312000,1869716609263384895458271270958136732780364528842414815830177328833594537838415862976387463973965520853090948376304166371199166103614749906293098902846822458657637603152080940329094957948310546441130483184891724111480704
23,149.1219517665872,758,1130123605981742308885675758075034179745162648425465579356698366363136151240847601692334572673278188137158517318566645411034552108661093098036535177031830239055747693773372900176882336087005421977969215812029022850900620626078720,1035154340246767939455440674995808027811809809324354836951313092718467680813294872373741157996316039398578300450819476424544987419681459512745008024864988878137628086608541968472690072406750098583138137839554466000165654586200576
24,155.61963548439408,790,3331477890709504145853821815061545124944082402344957591515723343127575810580733958432944962065052024234231188226259001037979466980047819689107738100789453710166246465377416525972862767613113648719123340122191084581499592141036610000092800,3051519125651999276870184914621900893232036863400920157967113520049620594745455795353169254631093665600433926125165479788493149179122117100308443427015264196811615462043320738490851629440486381337876002440377892459720388890707802050255808
25,162.11732471766834,821,-8514375857666672659806451681821815124291908695503354587728657338390561082058637548734179222323762921863801080362271653968365573828118774492150759558762559364644218620255182720481645885505988176587105187561308289918087688509296126285136664712714240,-7798875341515822580143559216154580280938362288394892356714862044035311522640350662160001864321753213929818291712601708824346711334641277569370308871972550933929112275668806080466464010852593957331699195703572058569892348059258830135508985026987008
26,168.6150188305587,851,-8469616107018377419927888563045134779568984346557112950172690952111097153481971391322351183485135877006006963603109065811223228160838716766956388661478144754785746299932950421635010618644728754828921259316167036701125310650675378163153872424970649081779200,-7757876949918032666736838127644444061597646933268829621794075868563948339860567679793408098736637929007899127355509691590387904462649593052029763441700575467164615155332899971449418814949859044282503377743705512033764378301771956433905297044809795067661824
27,175.11271728156896,886,-463602910585633033625436967427313068798934781257632969033617017467315346629505566599855150687349397847535809608520183251948067391346051119789279722335221300808456415020770436569625607774592923789789848268136742402438340715168680194795843830054133457155891072104832000,-424644315456857500701178653200538634287556625826600065520607406288303588744718835108229769267407681114974855955294711364689751589768376119881698540653226977871191633674634760520804384160494555448657300303622121405978373921172335720765910518743914744523213246208391680
28,181.61041960636985,929,-2689464956876448815630251499475869298157976673247916911950839079223331256377853879799326932255400364706274511935221097894800393908928121768941754255319842082113226353707047368008770113313065904924151344893052944927008005272362397853790660291559266300934075237438463966235621568000,-2463457367244145154700875774823642046743054361653474999644327097284047497433977607261081039756336140663863572715231634435393290991742407579611189399447225481064820399181436827116907850511486309506020081346100683262810160091956949121671935622417544336256626900306377971065369652480
29,188.1081254046025,960,-7365384334116252064843811580460479960175291766078935409998798465121389456134850296984763455232450408722888322944249236092518694166431870424775425224556449034634405208385852848598857612091029311878732032998314452812368134813050875223652097271004873010637510885323687453817904234367144448000,-6746438637942373444819077351414563507506916936671527955545390246551327008012066363414832112387639715356767702083983002245541418070022343095534230515483167489752471737841235101541655208936023866553407898569305232961024901614354066151118765284072850010078732236587427582488773369417693411328
30,194.60583432925498,990,7742775729213809557772334629054403189114699258548200180263172283281150464268369131016390691281067675992960872679497374194921252219667665265761453909745351105299366400318770821869353931246251786623114760513144205995479240946986382880710147034719831491922460189305831802842144329577435288384961280000,7092116171390277313107774629642812335032190848012724543497509770879637347883685646880258302076148556748868203166494585478080707391555529883755976419123041500350485838717833841510515166722806273934864965073293117307766719171586994118717518047998470066397307725337607553729707762168564070304910496768
