n,digits_correct,V_n_bit_length,time_s,V_n,U_n
1,6.206705797454532,36,0.21,49575859200,45409750528
2,12.686294503844685,78,0.83,183916572822218396160000,168461252904103170816000
3,19.177844333519975,120,0.84,827587030023457009359480573898752000,758041245688795791789191614048845824
4,25.672469833589567,162,0.89,4088867766240839623814891272419112710329026560000,3745262193016868931308061746500004874112221634560
5,32.16833827089882,204,0.9,21338562436224109864235594359509318366943380573656204820480000,19545389020783702926544613125464447139803246340261207138172928
6,38.664831563993836,241,0.86,2355724361926775686791837522815247801416413496202574561149101267927040000,2157762464890009227617840930649204688122535616630586013575674977042366464
7,45.16168313250631,287,3.41,160113466264453087003082584059286612294527631785093764946924107450075530176798720000000,146658426262693883710277082577361834261711073927281916149982357364040266589596385280000
8,51.65875914603925,334,3.47,19715082586696463765607700807033359288963055564273934656172004299829584955380141028476475420057600000,18058337335776370448498846659628644251779371705486908089125369070952488005300792624514275279794831360
9,58.155985044701126,376,3.47,83098134380278967449677274524296662780688799142032599623629453572203822896561613260661511856027136670225203200000,76115032032650615833498434126084152869402928487782271508952105384163630329167143746197898696203047373113009111040
10,64.65331599944425,412,3.45,8968344371632498841084081855948926430981116396527803439543853086812215713591143610825518138495386910364429104016285696000000,8214694881148279706889101153549641496091592216795189266370799999509032034257734596879208575214917244829976886956986368000000
11,71.15072343699343,451,3.34,4180199869497641003626294339506978770214126950262518655004400123042633176010689746188413963863547803016909898795505254730249918873600000,3828919257243940127089068938186075339040330343816800858029971029347504817561711736086582169721480831399207160770234877955013124929617920
12,77.64818828426257,500,3.39,2986895774371970945407392854400555179419993517416473560532456215890187064093343813386513101101036526578654930171420913329156349223437844076093440000000,2735893762718047071165782110443471891510135987089412181171451382176993610659322134820116503283180447219387305315335353415513734259546103619509321728000
13,84.145697323133,538,3.49,506103484999059728715154106719505504412736349170715605040826160878544666923573065488424999121833196389437413351691909021011291607507111057940414896086201139200000,463573379352324994981290658412415872805997789519781362373653230359905767060123731948052553583736069722724536095387902275786651241740641346382738803652045261766656
14,90.64324110397456,591,3.53,6263766981000563272053178935392176022400638921504549030227734502446972015536841698222850561335793735667036795808762708749667964644637562376364934161209644086736618472767488000000,5737395044539826266725240874543262329169838558754860249284176830303596345891242492225300409422928537372820590048062302773970161891426576126630060972154282592501371451356956590080
15,97.14081269203211,629,3.47,1595050337216188356456705493655261464354271600945025835141797805846428777548625171153279819281308803458672693487560739573016123151062059350732989785904965560242123013518666489785561907200000,1461011229870799524061716080270819488406987987324875611932582751989528740403883498799171009827738847527232234529503850260801494881805384304739556700942972287362046218570943096959593617555456
16,103.63840688301306,654,3.51,51506584595890105258289367851722790617135914707870911856263486031246841345342166604578241607471744419154027880151601853117694069158711588524566615906391490382724856998795848578885670871139123200000,47178259363413676412541802311405922969002476499241870438271061958167096366946781139015080366099064016065017237343550849919906808147795472256409786930125491052697377628606897297261354275896687460352
17,110.13601969502848,705,3.55,160262921038365005387559656655654389424786269902104569274729958475143296177218488500141926117171446846887257098522488345455501841688505244368222116180445490411158207595352677180006347634311614089414601113600000000,146795321693482735964822023386311401105648299692073104075268426813057538021032699966882237619532975012359592574044153688431146996953994609724281653096417412427202335611264001406856960438597844207095630804156416000
18,116.63364802960143,757,3.52,633229465996604736904200609792107692182052533994726166013160263202369438608306816683618784713018060893070328652844639067925298751288585343680067201413464161804544496518398040508359599526177797671287716348627493323719475200000000,580016404072103162089140672064057943484508185595899164921948505341448387066530842934135473788116444599521691740326458360209353382660360299707158001955281153958380054189258172600291476423755354182644388044413361696543374484439040
19,123.13128943955498,809,3.48,3134705117463446408538878030007256136677060766460121575353947727903412435127124272388078438258102404917070357822691402174558691186144793825513090811079801984196417977914882605393492528663192081835024675603218107544587082143467630201733120000000,2871282035487774816287977275565729929166808814975249026960966198629388466921246558650808047379395862167205706504208310581524388179045527686600715451367281884138981987921668574053690384471100432712160623263800938929616834056221314558517103820800
20,129.6289419664291,834,3.64,102571017846906652194890712845002664603099625425191186802400570764203694343484619809769225624539865743243963832142765385219278683638822128568090619014867793531304605079366382585215241935547663144381412406990480032124385951894801157728952439373824000000,93951523307503987496221431359715820284004452749831246361628806715458171418433100205405677269127048508270469531444590691501491445754868219861778857157451717986708498607176611813776817872764426214576289097011987995379977910715127664166811175883463720960
21,136.12660402428355,871,3.66,10178013781110283987870469809733699931051494435182818069053258347629607929041038749027298225520823038413680283495665147278003214038263132482665440473638617224907141921840456298697775614416114258002214133366477225256978686354946574543741340940321119093915648000000,9322710440558604829959009136511338702454795835393430657074087532127798101137907597342888266156714058393780953002900922895883395477991581930695051495594465757934307218329288019665321926743780252675802297135646917072688824949188332167775922530065154942494039867392
22,142.62427431514794,926,3.65,370484606489758551757943694244533534648925958035091281860913868017407697960429358153701038292070384155594968745014070127490238157941131467430143734556926359971414990329977534174845961496220027608825511620480609165237747957021518304719498202938516003533902983961625626214400000000,339351152716904863832552019990299822552099229569232971073249946434598443330719019750854186159500890660642455375288787993473585059549357919309715532897055306347543209722342149110865544425904056528066729940097643910364365536160337472390117194815222002633526744183719070050654617600
23,149.12195176649973,965,3.71,229089445511278500328314896209777578508128158302853888543770206785303930347802439173500357853438052083913352771199041959711413217406385498385472582905186111759434174350872492787358369969999173988016651014840036290664704985091160515004345000475491238409789602118382968888223202711175168000000,209838050077467851145568185103525102513555755599736438894564840200609286235894022007663745449015233227700593300636272550480183036869814416346324975658156294014219810719356646067337014122336370956183811136105810895757617310464093696373669527875277648655508824116109990306971836216886398287872
24,155.6196354843534,1004,3.76,146099538462312999640364368579632304378715651620865960217938567334737925512219101709412147260880878625099491798753661351614082699076013786545436472086380401535847839254746685586183520448052006809996630726234300596854277456330393817006215747073809318309184067868563928882388796857220114782644305920000000,133822150556649989635731407990479902224560440597570991389245714362105590776173124924049897814344515814719085076017251234888094972316881587193095906013892538870822332506751137613832228487252798917708729779619232371863911567982508141112205110351472030911233472039254623252632372212219281210055363191111680
25,162.1173247175949,1044,3.7,107247945093784000528808507689263939682112137479434712410536832592035735713692346868512261643126610626089223430101818601993204488708372962037572205624506838506399061403275872732097098804363531282819663084422664790374746234638022004162451626862192633035056965652216048175734677514556598728545942694635310415872000000,98235427752113622948216996825721080694490690852013899134251545276590238883957626496610534375621651573956927484304237301276822927117594539800816061967386347306397692365712392799858101410726448060502611536654958833986514909033754675919188975788604762017712828713255247605335360150659679316632352869306006524571680768
26,168.6150188305373,1083,3.73,80985046746750918609570460320008386573338013914316016919217319963139416102029511803671712298381603220901971376765893293191551208241922298685810940291544617286787507544410531995708881299366798027102086519174847843894990911282910701579106384370471348327986093329017837779321561534846536335619047097600655695370268431351808000000,74179516462857562952871081227539197479420464606778928309565704141826397567608250676486456520708756804965009943116480529875360784399954714421800049556876845802192036684515209266534158908923222560064549097289103986448329487996478753698746352072917482005604120752228971182448828982035620875097815980506704147261606275713861681152
