=== Euler-factor criterion vs. the slope set {p : p | c} ===
  A  w=1  P(2)=3/4  c=-8   p=2: crit=YES Q=1 | p|c: YES   p=3: crit=no | p|c: no   p=5: crit=no | p|c: no   
  B  w=1  P(2)=-1  c=27   p=2: crit=no | p|c: no   p=3: crit=YES Q=-1 | p|c: YES   p=5: crit=no | p|c: no   
  C  w=1  P(2)=-1  c=9   p=2: crit=no | p|c: no   p=3: crit=YES Q=-1 | p|c: YES   p=5: crit=no | p|c: no   
  D  w=1  P(2)=1  c=-1   p=2: crit=no | p|c: no   p=3: crit=no | p|c: no   p=5: crit=no | p|c: no   
  E  w=1  P(2)=-1  c=32   p=2: crit=YES Q=-1 | p|c: YES   p=3: crit=no | p|c: no   p=5: crit=no | p|c: no   
  F  w=1  P(2)=-5/4  c=72   p=2: crit=YES Q=-1 | p|c: YES   p=3: crit=YES Q=-5/4 | p|c: YES   p=5: crit=no | p|c: no   
  alpha  w=2  P(3)=-7/12  c=64   p=2: crit=YES Q=-2/3 | p|c: YES   p=3: crit=no | p|c: no   p=5: crit=no | p|c: no   
  gamma  w=2  P(3)=-1/3  c=1   p=2: crit=no | p|c: no   p=3: crit=no | p|c: no   p=5: crit=no | p|c: no   
  delta  w=2  P(3)=-13/27  c=81   p=2: crit=no | p|c: no   p=3: crit=YES Q=-1/2 | p|c: YES   p=5: crit=no | p|c: no   
  eps  w=2  P(3)=-7/16  c=16   p=2: crit=YES Q=-1/2 | p|c: YES   p=3: crit=no | p|c: no   p=5: crit=no | p|c: no   
  zeta  w=2  P(3)=1  c=-27   p=2: crit=no | p|c: no   p=3: crit=YES Q=1 | p|c: YES   p=5: crit=no | p|c: no   
  eta  w=2  P(3)=-1  c=125   p=2: crit=no | p|c: no   p=3: crit=no | p|c: no   p=5: crit=YES Q=-1 | p|c: YES   
