robustness of |u_t1 ^ u_t2| for Zagier D (varying base point, loop radii, n):
   x0=(0.5+0j) r1=0.03 r2=5.0 h=3.0: tr(M1)=2.000000+0.000000j tr(M2)=2.000000+0.000000j  |u1^u2|=0.318360
   x0=(0.5+0j) r1=0.03 r2=7.0 h=4.0: tr(M1)=2.000000+0.000000j tr(M2)=2.000000-0.000000j  |u1^u2|=0.318360
   x0=(0.5+0j) r1=0.03 r2=3.0 h=2.0: tr(M1)=2.000000+0.000000j tr(M2)=2.000000-0.000000j  |u1^u2|=0.318360
   x0=(0.5+0j) r1=0.045 r2=5.0 h=3.0: tr(M1)=2.000000+0.000000j tr(M2)=2.000000+0.000000j  |u1^u2|=0.318360
   x0=(0.5+0j) r1=0.045 r2=7.0 h=4.0: tr(M1)=2.000000+0.000000j tr(M2)=2.000000-0.000000j  |u1^u2|=0.318360
   x0=(0.5+0j) r1=0.045 r2=3.0 h=2.0: tr(M1)=2.000000+0.000000j tr(M2)=2.000000-0.000000j  |u1^u2|=0.318360
   x0=(0.5+0j) r1=0.06 r2=5.0 h=3.0: tr(M1)=2.000000+0.000000j tr(M2)=2.000000+0.000000j  |u1^u2|=0.318360
   x0=(0.5+0j) r1=0.06 r2=7.0 h=4.0: tr(M1)=2.000000+0.000000j tr(M2)=2.000000-0.000000j  |u1^u2|=0.318360
   x0=(0.5+0j) r1=0.06 r2=3.0 h=2.0: tr(M1)=2.000000+0.000000j tr(M2)=2.000000-0.000000j  |u1^u2|=0.318360
   x0=(0.3+0.2j) r1=0.03 r2=5.0 h=3.0: tr(M1)=2.000000-0.000000j tr(M2)=2.000000+0.000000j  |u1^u2|=0.346064
   x0=(0.3+0.2j) r1=0.03 r2=7.0 h=4.0: tr(M1)=2.000000-0.000000j tr(M2)=2.000000+0.000000j  |u1^u2|=0.346064
   x0=(0.3+0.2j) r1=0.03 r2=3.0 h=2.0: tr(M1)=2.000000-0.000000j tr(M2)=2.000000+0.000000j  |u1^u2|=0.346064
   x0=(0.3+0.2j) r1=0.045 r2=5.0 h=3.0: tr(M1)=2.000000+0.000000j tr(M2)=2.000000+0.000000j  |u1^u2|=0.346064
   x0=(0.3+0.2j) r1=0.045 r2=7.0 h=4.0: tr(M1)=2.000000+0.000000j tr(M2)=2.000000+0.000000j  |u1^u2|=0.346064
   x0=(0.3+0.2j) r1=0.045 r2=3.0 h=2.0: tr(M1)=2.000000+0.000000j tr(M2)=2.000000+0.000000j  |u1^u2|=0.346064
   x0=(0.3+0.2j) r1=0.06 r2=5.0 h=3.0: tr(M1)=2.000000-0.000000j tr(M2)=2.000000+0.000000j  |u1^u2|=0.346064
   x0=(0.3+0.2j) r1=0.06 r2=7.0 h=4.0: tr(M1)=2.000000-0.000000j tr(M2)=2.000000+0.000000j  |u1^u2|=0.346064
   x0=(0.3+0.2j) r1=0.06 r2=3.0 h=2.0: tr(M1)=2.000000-0.000000j tr(M2)=2.000000+0.000000j  |u1^u2|=0.346064
   x0=(1+0j) r1=0.03 r2=5.0 h=3.0: tr(M1)=2.000000+0.000000j tr(M2)=2.000000-0.000000j  |u1^u2|=0.220602
   x0=(1+0j) r1=0.03 r2=7.0 h=4.0: tr(M1)=2.000000+0.000000j tr(M2)=2.000000-0.000000j  |u1^u2|=0.220602
   x0=(1+0j) r1=0.03 r2=3.0 h=2.0: tr(M1)=2.000000+0.000000j tr(M2)=2.000000+0.000000j  |u1^u2|=0.220602
   x0=(1+0j) r1=0.045 r2=5.0 h=3.0: tr(M1)=2.000000+0.000000j tr(M2)=2.000000-0.000000j  |u1^u2|=0.220602
   x0=(1+0j) r1=0.045 r2=7.0 h=4.0: tr(M1)=2.000000+0.000000j tr(M2)=2.000000-0.000000j  |u1^u2|=0.220602
   x0=(1+0j) r1=0.045 r2=3.0 h=2.0: tr(M1)=2.000000+0.000000j tr(M2)=2.000000+0.000000j  |u1^u2|=0.220602
   x0=(1+0j) r1=0.06 r2=5.0 h=3.0: tr(M1)=2.000000+0.000000j tr(M2)=2.000000-0.000000j  |u1^u2|=0.220602
   x0=(1+0j) r1=0.06 r2=7.0 h=4.0: tr(M1)=2.000000+0.000000j tr(M2)=2.000000-0.000000j  |u1^u2|=0.220602
   x0=(1+0j) r1=0.06 r2=3.0 h=2.0: tr(M1)=2.000000+0.000000j tr(M2)=2.000000+0.000000j  |u1^u2|=0.220602
