[0;31m  ***   Warning: new maximum stack size = 12000002048 (11444.094 Mbytes).[0m
   realprecision = 3005 significant digits (3000 digits displayed)
n  j0  |  log|A1|/n  log|M1|/n | log|A2|/n  log|M2|/n | v2(A1)/n  v2(B1)/n  k1  Pmax1/n | v2(w)/n  log|w|/n  kW
 2   2 |    6.8504   -7.7552 |    7.0144   -7.4996 |  -11.000  -11.500   2   5.500 |    2.000   -0.3463  kW=2
 3   3 |    6.9831   -7.7365 |    7.0989   -7.5897 |  -11.667  -12.000   2   5.667 |    1.333   -0.3907  kW=2
 4   4 |    7.0785   -7.6998 |    7.1679   -7.5984 |  -12.500  -12.750   2   5.750 |    1.000   -0.3526  kW=2
 5   5 |    7.1485   -7.6656 |    7.2213   -7.5887 |  -12.200  -12.400   2   5.800 |    0.800   -0.3036  kW=1
 6   5 |    7.1386   -7.6753 |    7.2019   -7.6363 |  -12.167  -12.333   2   5.167 |    0.167   -0.3696  kW=1
 7   6 |    7.1896   -7.6463 |    7.2441   -7.6115 |  -12.286  -12.429   2   5.857 |    0.286   -0.3127  kW=1
 8   7 |    7.2304   -7.6217 |    7.2782   -7.5904 |  -12.500  -12.625   2   5.875 |   -0.125   -0.2648  kW=1
 9   8 |    7.2640   -7.6007 |    7.3066   -7.5722 |  -12.667  -12.778   2   5.889 |    0.222   -0.2240  kW=1
10   9 |    7.2921   -7.5826 |    7.3305   -7.5565 |  -12.700  -12.800   2   5.900 |    0.100   -0.1888  kW=1
11  10 |    7.3160   -7.5668 |    7.3509   -7.5428 |  -13.000  -13.091   2   5.545 |    0.182   -0.1582  kW=1
12  11 |    7.3366   -7.5530 |    7.3687   -7.5306 |  -13.000  -13.083   2   5.917 |    0.000   -0.1313  kW=1
13  12 |    7.3546   -7.5406 |    7.3842   -7.5198 |  -13.000  -13.077   2   5.615 |    0.154   -0.1074  kW=1
14  13 |    7.3704   -7.5297 |    7.3980   -7.5102 |  -13.071  -13.143   2   5.929 |    0.071   -0.0861  kW=1
[0;31m  *** matsolve: Warning: increasing stack size to 16000000.[0m
15  14 |    7.3845   -7.5198 |    7.4102   -7.5014 |  -13.067  -13.133   2   5.933 |    0.133   -0.0669  kW=1
16  14 |    7.3726   -7.5249 |    7.3971   -7.5108 |  -13.125  -13.188   2   5.563 |    0.250   -0.0895  kW=1
17  15 |    7.3854   -7.5162 |    7.4084   -7.5027 |  -13.235  -13.294   2   5.941 |    0.235   -0.0716  kW=1
18  16 |    7.3970   -7.5083 |    7.4187   -7.4953 |  -13.222  -13.278   2   5.944 |    0.222   -0.0553  kW=1
19  17 |    7.4075   -7.5010 |    7.4280   -7.4885 |  -13.263  -13.316   2   5.947 |    0.211   -0.0403  kW=1
[0;31m  *** matsolve: Warning: increasing stack size to 32000000.[0m
20  18 |    7.4171   -7.4942 |    7.4366   -7.4822 |  -13.250  -13.300   2   5.650 |    0.200   -0.0266  kW=1
21  19 |    7.4259   -7.4880 |    7.4445   -7.4764 |  -13.238  -13.286   2   5.381 |    0.190   -0.0139  kW=1
22  20 |    7.4340   -7.4822 |    7.4517   -7.4710 |  -13.409  -13.455   2   5.955 |    0.182   -0.0022  kW=1
23  21 |    7.4414   -7.4768 |    7.4584   -7.4660 |  -13.391  -13.435   2   5.957 |    0.174    0.0088  kW=1
24  22 |    7.4484   -7.4718 |    7.4647   -7.4613 |  -13.417  -13.458   2   5.792 |    0.167    0.0189  kW=1
