[0;31m  ***   Warning: new maximum stack size = 8000000000 (7629.395 Mbytes).[0m
NROWS degz>=3: 227

t|aesz|cluster|degz|lam1|lam2|ratio|l1simple|l1real|l2real|chipoly
18|17|4.5.1|5|27.0000000000000000000000000000000000000000000000000000000000 + 0.E-77*I|0.E-77 + 5.19615242270663188058233902451761710082841576143114188416742*I|0.192450089729875254836382926833985818549200583756708958672867|1|1|0|25*x^5 - 765*x^4 + 3186*x^3 - 22842*x^2 + 67797*x - 59049
20|19|4.5.2|5|54.0000000000000000000000000000000000000000000000000000000000 + 0.E-77*I|-11.0901699437494742410229341718281905886015458990288143106772 + 0.E-77*I|0.205373517476842115574498780959781307196324924056089153901430|1|1|1|529*x^5 - 21183*x^4 - 380851*x^3 - 951722*x^2 - 603364*x + 62424
21|20|4.5.3|5|54.0000000000000000000000000000000000000000000000000000000000 + 0.E-77*I|27.0000000000000000000000000000000000000000000000000000000000 + 0.E-77*I|0.500000000000000000000000000000000000000000000000000000000000|1|1|1|x^5 - 144*x^4 + 7857*x^3 - 205578*x^2 + 2598156*x - 12754584
22|21|4.5.4|5|32.0000000000000000000000000000000000000000000000000000000000 + 0.E-77*I|4.00000000000000000000000000000000000000000000000000000000000 + 0.E-77*I|0.125000000000000000000000000000000000000000000000000000000000|1|1|1|25*x^5 - 720*x^4 - 2896*x^3 + 9472*x^2 + 39936*x + 32768
23|22|4.5.5|5|32.0000000000000000000000000000000000000000000000000000000000 + 0.E-77*I|-11.0901699437494742410229341718281905886015458990288143106772 + 0.E-77*I|0.346567810742171070031966692869630955893798309344650447208664|1|1|1|49*x^5 - 1085*x^4 - 16105*x^3 + 21000*x^2 - 7440*x + 512
24|23|4.5.6|5|32.0000000000000000000000000000000000000000000000000000000000 + 0.E-77*I|16.0000000000000000000000000000000000000000000000000000000000 + 0.E-77*I|0.500000000000000000000000000000000000000000000000000000000000|1|1|1|9*x^5 - 768*x^4 + 24832*x^3 - 385024*x^2 + 2883584*x - 8388608
28|27|4.5.7|5|61.6848427533122743893110016983271761303494290047912591517351 + 0.E-77*I|-4.68830060282134217478940855802896796276164839050651769897102 + 0.E-77*I|0.0760040942565196984294939936805359706624639049526553187159459|1|1|1|9*x^5 - 519*x^4 - 2258*x^3 + 1686*x^2 - 295*x + 1
31|32|4.4.25|4|270.099962990372428895140814637458044621538809797209688988353 + 0.E-77*I|270.099962990372428895140814637458044621538809797209688988353 + 0.E-77*I|1.00000000000000000000000000000000000000000000000000000000000|0|1|1|x^4 - 540*x^3 + 72846*x^2 + 14580*x + 729
32|34|4.3.1|3|25.0000000000000000000000000000000000000000000000000000000000 + 0.E-77*I|9.00000000000000000000000000000000000000000000000000000000000 + 0.E-77*I|0.360000000000000000000000000000000000000000000000000000000000|1|1|1|x^3 - 35*x^2 + 259*x - 225
43|55|4.4.33|4|256.000000000000000000000000000000000000000000000000000000000 + 0.E-77*I|-64.0000000000000000000000000000000000000000000000000000000000 + 0.E-77*I|0.250000000000000000000000000000000000000000000000000000000000|1|1|1|9*x^4 - 2496*x^3 + 16384*x^2 + 9437184*x - 268435456
44|56|4.5.9|5|96.0000000000000000000000000000000000000000000000000000000000 + 0.E-77*I|96.0000000000000000000000000000000000000000000000000000000000 + 0.E-77*I|1.00000000000000000000000000000000000000000000000000000000000|0|1|1|x^5 - 352*x^4 + 48128*x^3 - 3178496*x^2 + 100663296*x - 1207959552
46|59|4.5.10|5|54.0000000000000000000000000000000000000000000000000000000000 + 0.E-77*I|16.0000000000000000000000000000000000000000000000000000000000 + 0.E-77*I|0.296296296296296296296296296296296296296296296296296296296296|1|1|1|49*x^5 - 3598*x^4 + 53988*x^3 - 137608*x^2 - 92192*x - 13824
47|60|4.4.26|4|108.000000000000000000000000000000000000000000000000000000000 + 0.E-77*I|108.000000000000000000000000000000000000000000000000000000000 + 0.E-77*I|1.00000000000000000000000000000000000000000000000000000000000|0|1|1|x^4 - 248*x^3 + 18832*x^2 - 428544*x + 2985984
56|71|4.5.11|5|-320.000000000000000000000000000000000000000000000000000000000 + 0.E-77*I|-320.000000000000000000000000000000000000000000000000000000000 + 0.E-77*I|1.00000000000000000000000000000000000000000000000000000000000|0|1|1|x^5 + 624*x^4 + 75776*x^3 - 11862016*x^2 - 1509949440*x + 26843545600
57|74|4.5.12|5|162.000000000000000000000000000000000000000000000000000000000 + 0.E-77*I|162.000000000000000000000000000000000000000000000000000000000 + 0.E-77*I|1.00000000000000000000000000000000000000000000000000000000000|0|1|1|x^5 - 594*x^4 + 137052*x^3 - 15274008*x^2 + 816293376*x - 16529940864
58|83|4.5.13|5|384.000000000000000000000000000000000000000000000000000000000 + 0.E-77*I|384.000000000000000000000000000000000000000000000000000000000 + 0.E-77*I|1.00000000000000000000000000000000000000000000000000000000000|0|1|1|x^5 - 1408*x^4 + 770048*x^3 - 203423744*x^2 + 25769803776*x - 1236950581248
60|99|4.4.34|4|349.731989088750573367409918878898273568755967078378868461942 + 0.E-77*I|1.23076923076923076923076923076923076923076923076923076923077 + 0.E-77*I|0.00351917831130083349716307153316477677286522633835994452856696|1|1|1|169*x^4 - 59397*x^3 + 102176*x^2 + 17152*x - 65536
61|102|4.8.1|8|88.7213595499957939281834733746255247088123671922305144854179 + 0.E-77*I|-11.0901699437494742410229341718281905886015458990288143106772 + 0.E-77*I|0.125000000000000000000000000000000000000000000000000000000000|1|1|1|x^8 - 77*x^7 - 1049*x^6 + 616*x^5 + 16656*x^4 + 4928*x^3 - 67136*x^2 - 39424*x + 4096
62|104|4.8.2|8|72.0000000000000000000000000000000000000000000000000000000000 + 0.E-77*I|-9.00000000000000000000000000000000000000000000000000000000000 + 0.E-77*I|0.125000000000000000000000000000000000000000000000000000000000|1|1|1|x^8 - 70*x^7 - 71*x^6 - 5040*x^5 - 20592*x^4 + 362880*x^3 - 368064*x^2 + 26127360*x + 26873856
63|105|4.8.3|8|64.0000000000000000000000000000000000000000000000000000000000 + 0.E-77*I|32.0000000000000000000000000000000000000000000000000000000000 + 0.E-77*I|0.500000000000000000000000000000000000000000000000000000000000|1|1|1|x^8 - 84*x^7 + 1440*x^6 - 21504*x^5 + 606208*x^4 + 5505024*x^3 + 94371840*x^2 + 1409286144*x + 4294967296
64|106|4.8.7|8|88.7213595499957939281834733746255247088123671922305144854179 + 0.E-77*I|44.3606797749978969640917366873127623544061835961152572427090 + 0.E-77*I|0.500000000000000000000000000000000000000000000000000000000000|1|1|1|x^8 - 132*x^7 + 3856*x^6 - 4224*x^5 + 244736*x^4 + 135168*x^3 + 3948544*x^2 + 4325376*x + 1048576
65|109|4.4.36|4|1080.39985196148971558056325854983217848615523918883875595341 + 0.E-77*I|5.14285714285714285714285714285714285714285714285714285714286 + 0.E-77*I|0.00476014239868709024480069702181164864470522843855661849299735|1|1|1|49*x^4 - 53424*x^3 + 524448*x^2 - 1181952*x - 559872
69|113|4.8.6|8|99.8115294937452681692064075464537152974139130912593287960952 + 0.E-77*I|11.0901699437494742410229341718281905886015458990288143106772 + 0.E-77*I|0.111111111111111111111111111111111111111111111111111111111111|1|1|1|x^8 - 110*x^7 + 1025*x^6 - 990*x^5 + 18288*x^4 + 8910*x^3 + 83025*x^2 + 80190*x + 6561
70|116|4.5.14|5|256.000000000000000000000000000000000000000000000000000000000 + 0.E-77*I|64.0000000000000000000000000000000000000000000000000000000000 + 0.E-77*I|0.250000000000000000000000000000000000000000000000000000000000|1|1|1|x^5 - 320*x^4 + 13312*x^3 + 917504*x^2 - 29360128*x - 1073741824
71|117|4.5.15|5|-177.442719099991587856366946749251049417624734384461028970836 + 0.E-77*I|-74.6666666666666666666666666666666666666666666666666666666667 + 0.E-77*I|0.420793070830879791440359468531556080140547528801133449827135|1|1|1|9*x^5 + 3072*x^4 + 331264*x^3 + 13037568*x^2 + 122945536*x - 205520896
72|118|4.5.16|5|354.885438199983175712733893498502098835249468768922057941672 + 0.E-77*I|56.0000000000000000000000000000000000000000000000000000000000 + 0.E-77*I|0.157797401561579921790134800699333530052705323300425043685175|1|1|1|x^5 - 465*x^4 + 42000*x^3 - 1030720*x^2 - 2222080*x + 3211264
73|119|4.5.17|5|128.000000000000000000000000000000000000000000000000000000000 + 0.E-77*I|64.0000000000000000000000000000000000000000000000000000000000 + 0.E-77*I|0.500000000000000000000000000000000000000000000000000000000000|1|1|1|9*x^5 - 3072*x^4 + 397312*x^3 - 24641536*x^2 + 738197504*x - 8589934592
74|123|4.8.10|8|72.0000000000000000000000000000000000000000000000000000000000 + 0.E-77*I|36.0000000000000000000000000000000000000000000000000000000000 + 0.E-77*I|0.500000000000000000000000000000000000000000000000000000000000|1|1|1|x^8 - 120*x^7 + 3344*x^6 + 34560*x^5 - 2092032*x^4 + 9953280*x^3 + 277364736*x^2 - 2866544640*x + 6879707136
75|124|4.5.18|5|42.4203167840132690542287519655604956622378930649068412837751 + 0.E-77*I|2.28984160799336547288562401721975216888105346754657935811244 + 0.696428472792842124573176551388226316528549408639923612425986*I|0.0564211944081208999370407409400754497236248864274796526126629|1|1|0|3721*x^5 - 184769*x^4 + 1215215*x^3 - 3188970*x^2 + 3713526*x - 1594323
86|160|4.8.4|8|36.0000000000000000000000000000000000000000000000000000000000 + 20.7846096908265275223293560980704684033136630457245675366697*I|36.0000000000000000000000000000000000000000000000000000000000 - 20.7846096908265275223293560980704684033136630457245675366697*I|1.00000000000000000000000000000000000000000000000000000000000|0|0|0|x^8 - 63*x^7 + 1539*x^6 - 13608*x^5 + 571536*x^4 + 2939328*x^3 + 71803584*x^2 + 634894848*x + 2176782336
87|161|4.8.8|8|49.9057647468726340846032037732268576487069565456296643980476 + 28.8131067107210509910236775666074455679015997387791057811638*I|49.9057647468726340846032037732268576487069565456296643980476 - 28.8131067107210509910236775666074455679015997387791057811638*I|1.00000000000000000000000000000000000000000000000000000000000|0|0|0|x^8 - 99*x^7 + 3294*x^6 - 2673*x^5 + 176418*x^4 + 72171*x^3 + 2401326*x^2 + 1948617*x + 531441
88|162|4.8.11|8|40.5000000000000000000000000000000000000000000000000000000000 + 23.3826859021798434626205256103292769537278709264401384787534*I|40.5000000000000000000000000000000000000000000000000000000000 - 23.3826859021798434626205256103292769537278709264401384787534*I|1.00000000000000000000000000000000000000000000000000000000000|0|0|0|x^8 - 90*x^7 + 2457*x^6 + 21870*x^5 - 1312200*x^4 + 5314410*x^3 + 145083393*x^2 - 1291401630*x + 3486784401
89|163|4.8.13|8|36.0000000000000000000000000000000000000000000000000000000000 + 20.7846096908265275223293560980704684033136630457245675366697*I|36.0000000000000000000000000000000000000000000000000000000000 - 20.7846096908265275223293560980704684033136630457245675366697*I|1.00000000000000000000000000000000000000000000000000000000000|0|0|0|x^8 - 108*x^7 + 3024*x^6 + 93312*x^5 - 6718464*x^4 + 80621568*x^3 + 2257403904*x^2 - 69657034752*x + 557256278016
90|173|4.8.5|8|72.0000000000000000000000000000000000000000000000000000000000 + 0.E-77*I|64.0000000000000000000000000000000000000000000000000000000000 + 0.E-77*I|0.888888888888888888888888888888888888888888888888888888888889|1|1|1|x^8 - 119*x^7 + 3520*x^6 - 68544*x^5 + 3391488*x^4 + 39481344*x^3 + 1167851520*x^2 + 22741254144*x + 110075314176
91|174|4.8.9|8|99.8115294937452681692064075464537152974139130912593287960952 + 0.E-77*I|88.7213595499957939281834733746255247088123671922305144854179 + 0.E-77*I|0.888888888888888888888888888888888888888888888888888888888889|1|1|1|x^8 - 187*x^7 + 8711*x^6 - 13464*x^5 + 1244016*x^4 + 969408*x^3 + 45157824*x^2 + 69797376*x + 26873856
92|175|4.8.12|8|81.0000000000000000000000000000000000000000000000000000000000 + 0.E-77*I|72.0000000000000000000000000000000000000000000000000000000000 + 0.E-77*I|0.888888888888888888888888888888888888888888888888888888888889|1|1|1|x^8 - 170*x^7 + 7209*x^6 + 110160*x^5 - 10182672*x^4 + 71383680*x^3 + 3027087936*x^2 - 46256624640*x + 176319369216
93|176|4.8.14|8|72.0000000000000000000000000000000000000000000000000000000000 + 0.E-77*I|64.0000000000000000000000000000000000000000000000000000000000 + 0.E-77*I|0.888888888888888888888888888888888888888888888888888888888889|1|1|1|x^8 - 204*x^7 + 10400*x^6 + 470016*x^5 - 58540032*x^4 + 1082916864*x^3 + 55207526400*x^2 - 2495040454656*x + 28179280429056
94|178|4.8.15|8|40.5000000000000000000000000000000000000000000000000000000000 + 23.3826859021798434626205256103292769537278709264401384787534*I|40.5000000000000000000000000000000000000000000000000000000000 - 23.3826859021798434626205256103292769537278709264401384787534*I|1.00000000000000000000000000000000000000000000000000000000000|0|0|0|x^8 - 153*x^7 + 5859*x^6 + 297432*x^5 - 30338064*x^4 + 578207808*x^3 + 22141957824*x^2 - 1124035978752*x + 14281868906496
95|180|4.5.19|5|2592.00000000000000000000000000000000000000000000000000000000 + 0.E-77*I|2592.00000000000000000000000000000000000000000000000000000000 + 0.E-77*I|1.00000000000000000000000000000000000000000000000000000000000|0|1|1|x^5 - 9504*x^4 + 35085312*x^3 - 62562336768*x^2 + 53496602689536*x - 17332899271409664
100|186|4.5.20|5|40.9360832905159304052749382385582236506334277299941003826179 + 0.E-77*I|-5.93608329051593040527493823855822365063342772999410038261794 + 0.E-77*I|0.145008579555318665906901899796140626451975429836240685631160|1|1|1|361*x^5 - 13300*x^4 - 64745*x^3 + 172719*x^2 + 46656*x - 177147
101|187|4.5.21|5|-243.000000000000000000000000000000000000000000000000000000000 + 0.E-77*I|171.000000000000000000000000000000000000000000000000000000000 + 0.E-77*I|0.703703703703703703703703703703703703703703703703703703703704|1|1|1|x^5 - 64*x^4 - 57573*x^3 + 5244345*x^2 + 261783900*x - 1726651809
102|189|4.4.27|4|256.000000000000000000000000000000000000000000000000000000000 + 0.E-77*I|256.000000000000000000000000000000000000000000000000000000000 + 0.E-77*I|1.00000000000000000000000000000000000000000000000000000000000|0|1|1|x^4 - 520*x^3 + 69648*x^2 - 532480*x + 1048576
103|193|4.5.22|5|158.469891032297931434721014954656554960329197670004841706912 + 0.E-77*I|1.57142857142857142857142857142857142857142857142857142857143 + 0.E-77*I|0.00991625955689145237888786992905674489363091350689790774302824|1|1|1|49*x^5 - 7945*x^4 + 28723*x^3 - 32126*x^2 + 10010*x + 121
104|194|4.5.23|5|81.0000000000000000000000000000000000000000000000000000000000 + 0.E-77*I|1.58823529411764705882352941176470588235294117647058823529412 + 0.E-77*I|0.0196078431372549019607843137254901960784313725490196078431373|1|1|1|289*x^5 - 24905*x^4 + 124030*x^3 - 233550*x^2 + 193185*x - 59049
105|195|4.5.24|5|101.341498049836817613297739910857841986918726750877958225322 + 0.E-77*I|1.17241379310344827586206896551724137931034482758620689655172 + 0.E-77*I|0.0115689408156063479785512880606719600340429586896185924837266|1|1|1|841*x^5 - 87754*x^4 + 258647*x^3 - 272743*x^2 + 130696*x - 31212
106|196|4.8.16|8|54.6311555215333986408664015313809133036326737985485502612515 + 0.E-77*I|-2.29827135649683538381365705511893616357024698094739717556613 + 0.E-77*I|0.0420688768992072570599296869987962738216641723148989169771125|1|1|1|2209*x^8 - 116983*x^7 - 208867*x^6 + 370857*x^5 + 291161*x^4 - 406192*x^3 + 143235*x^2 + 154548*x - 236196
107|197|4.8.18|8|46.6274169979695207808270195873551692571147500060311691708269 + 0.E-77*I|-8.00000000000000000000000000000000000000000000000000000000000 + 0.E-77*I|0.171572875253809902396622551580603842860656249246103853646641|1|1|1|169*x^8 - 6929*x^7 - 48984*x^6 + 208832*x^5 + 383488*x^4 - 1552384*x^3 - 294912*x^2 + 3407872*x - 2097152
108|198|4.5.25|5|-85.8521567078636249751300132609687219117807206090370004902891 + 0.E-77*I|1.84584636087287586907072098010477671048477366407806545808902 + 0.E-77*I|0.0215002911010598484242372117846680139734042615325693962162164|1|1|1|121*x^5 + 10010*x^4 - 32126*x^3 + 28723*x^2 - 7945*x + 49
109|199|4.5.26|5|81.0000000000000000000000000000000000000000000000000000000000 + 0.E-77*I|81.0000000000000000000000000000000000000000000000000000000000 + 0.E-77*I|1.00000000000000000000000000000000000000000000000000000000000|0|1|1|x^5 - 265*x^4 + 25950*x^3 - 1116270*x^2 + 18155745*x - 17065161
110|200|4.8.17|8|41.8806047971278915968376848043498615849529217971195108214070 + 91.7395757256996680164851289591967522351073123115645479644976*I|41.8806047971278915968376848043498615849529217971195108214070 - 91.7395757256996680164851289591967522351073123115645479644976*I|1.00000000000000000000000000000000000000000000000000000000000|0|0|0|4*x^8 - 212*x^7 - 15915*x^6 + 3655728*x^5 - 212256369*x^4 - 21898734993*x^3 + 999004386123*x^2 + 45321611064687*x - 69320760676281
111|201|4.8.19|8|128.000000000000000000000000000000000000000000000000000000000 + 0.E-77*I|93.2548339959390415616540391747103385142295000120623383416538 + 0.E-77*I|0.728553390593273762200422181052424519642417968844237018294170|1|1|1|x^8 - 208*x^7 + 2304*x^6 + 1552384*x^5 - 49086464*x^4 - 3421503488*x^3 + 102726893568*x^2 + 1859989274624*x - 5806795784192
112|202|4.5.27|5|-70.5463978177501146734819837757796547137511934156757736923884 + 0.E-77*I|-1.05263157894736842105263157894736842105263157894736842105263 + 0.E-77*I|0.0149211244161146488986189547440903054687107429054021811714347|1|1|1|361*x^5 + 26030*x^4 + 39521*x^3 - 13192*x^2 - 39920*x - 12800
113|203|4.5.28|5|-70.5463978177501146734819837757796547137511934156757736923884 + 0.E-77*I|32.0000000000000000000000000000000000000000000000000000000000 + 0.E-77*I|0.453602182249885326518016224220345286248806584324226307611615|1|1|1|25*x^5 + 2495*x^4 + 26384*x^3 - 2529344*x^2 - 53309440*x - 23658496
115|206|4.4.37|4|51.3100032565881389898873229546867078467860144937636521584648 + 0.E-77*I|-16.0000000000000000000000000000000000000000000000000000000000 + 0.E-77*I|0.311830032829819015895229462755421281686279770314222483992939|1|1|1|x^4 - 16*x^3 - 1408*x^2 - 19200*x - 77824
