[0;31m  ***   Warning: new maximum stack size = 6000001024 (5722.047 Mbytes).[0m
AESZ 34 | cluster 4.3.1 | degz 3 | sing z: ["1", "1/9", "1/25"] | A_n: [1, 5, 45, 545, 7885, 127905]
AESZ 102 | cluster 4.8.1 | degz 8 | sing z: ["z^2-1/8", "z^2+11/8z-1/64", "z^2-11z-1"] | A_n: [1, 6, 190, 8232, 432846, 25341756]
AESZ 104 | cluster 4.8.2 | degz 8 | sing z: ["-1", "1/8", "1/72", "-1/9", "z^2+1/72"] | A_n: [1, 6, 150, 5208, 221094, 10478556]
AESZ 113 | cluster 4.8.6 | degz 8 | sing z: ["z^2+1/9", "z^2+11/9z-1/81", "z^2+11z-1"] | A_n: [1, 9, 285, 13671, 799389, 52360209]
AESZ 206 | cluster 4.4.37 | degz 4 | sing z: ["-1/16", "z^3+7/38z^2+1/152z-1/4864"] | A_n: [1, 0, 72, 1200, 44520, 1451520]
AESZ 207 | cluster 4.4.38 | degz 4 | sing z: ["1/53248", "z^2-349/65536z-1/16777216"] | A_n: [1, -2320, 57601296, -2373661139200, 121665506430000400, -7045795484316081803520]
AESZ 243 | cluster 4.5.46 | degz 5 | sing z: ["-1/3", "z^3+57z^2-289z-1"] | A_n: [1, -17, 1549, -215585, 36505501, -6921832517]
AESZ 313 | cluster 4.5.82 | degz 5 | sing z: ["-1/6", "1", "z^2+37/6z-1/48"] | A_n: [1, 18, 1662, 236340, 40943070, 7945789068]
AESZ 380 | cluster 4.5.111 | degz 5 | sing z: ["1/10", "1/108", "-1/4"] | A_n: [1, 6, 246, 13020, 832950, 59364756]
AESZ 388 | cluster 4.3.18 | degz 3 | sing z: ["1/4", "1/1156"] | A_n: [1, 50, 17142, 9383540, 6301530550, 4753716061500]
AESZ 392 | cluster 4.3.22 | degz 3 | sing z: ["-1/108", "1/676"] | A_n: [1, 12, 5760, 1664544, 681014880, 301062617856]
AESZ 410 | cluster 4.3.28 | degz 3 | sing z: ["1/32", "1/81"] | A_n: [1, 12, 336, 12880, 592200, 30657312]
