| host | scenario / objective | m | a | n2 | top | Se | maxe | tau^flat | tau^# | tau | entry@ceil | entry@contour | margin@contour | margin@ceil |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| H1 CDT lvl6 | B measured, g=1 : max entry | 3 | 1 | 0 | 1 | 0 | 0 | 2.8889 | 0.0000 | 2.8889 | +2.6563 | +2.1930 | -5.266 | -3.876 |
| H1 CDT lvl6 | B measured, g=1 : max margin | 14 | 2 | 0 | 11 | 6 | 1 | 3.8980 | 0.3375 | 4.2355 | +1.3097 | +0.8464 | +0.005 | +6.491 |
| H1 CDT lvl6 | B measured, g=1 : max margin@ceil | 24 | 4 | 0 | 19 | 31 | 3 | 3.9097 | 0.7245 | 4.6342 | +0.9109 | +0.4477 | -1.101 | +10.018 |
| H1 CDT lvl6 | B measured, g=2 : max entry | 3 | 1 | 0 | 1 | 0 | 0 | 2.8889 | 0.0000 | 2.8889 | +2.6563 | +2.1930 | -5.266 | -3.876 |
| H1 CDT lvl6 | B measured, g=2 : max margin | 37 | 4 | 0 | 32 | 49 | 3 | 3.9620 | 0.5440 | 4.5060 | +1.0392 | +0.5759 | +9.464 | +26.605 |
| H1 CDT lvl6 | B measured, g=2 : max margin@ceil | 37 | 4 | 0 | 32 | 49 | 3 | 3.9620 | 0.5440 | 4.5060 | +1.0392 | +0.5759 | +9.464 | +26.605 |
| H1 CDT lvl6 | B measured, g=3 : max entry | 3 | 1 | 0 | 1 | 0 | 0 | 2.8889 | 0.0000 | 2.8889 | +2.6563 | +2.1930 | -5.266 | -3.876 |
| H1 CDT lvl6 | B measured, g=3 : max margin | 50 | 4 | 0 | 45 | 67 | 3 | 3.9792 | 0.4402 | 4.4194 | +1.1258 | +0.6625 | +21.280 | +44.444 |
| H1 CDT lvl6 | B measured, g=3 : max margin@ceil | 50 | 4 | 0 | 45 | 67 | 3 | 3.9792 | 0.4402 | 4.4194 | +1.1258 | +0.6625 | +21.280 | +44.444 |
| H1 CDT lvl6 | C nu=1, unlimited top : max entry | 3 | 1 | 0 | 1 | 0 | 0 | 2.8889 | 0.0000 | 2.8889 | +2.6563 | +2.1930 | -5.266 | -3.876 |
| H1 CDT lvl6 | C nu=1, unlimited top : max margin | 110 | 1 | 0 | 108 | 0 | 0 | 3.9992 | 0.0000 | 3.9992 | +1.5460 | +1.0827 | +107.256 | +158.215 |
| H1 CDT lvl6 | C nu=1, unlimited top : max margin@ceil | 110 | 1 | 0 | 108 | 0 | 0 | 3.9992 | 0.0000 | 3.9992 | +1.5460 | +1.0827 | +107.256 | +158.215 |
| H1 CDT lvl6 | D nu=2, unlimited top : max entry | 4 | 2 | 0 | 1 | 0 | 0 | 2.7500 | 0.0000 | 2.7500 | +2.7952 | +2.3319 | -2.517 | -0.664 |
| H1 CDT lvl6 | D nu=2, unlimited top : max margin | 110 | 2 | 0 | 107 | 0 | 0 | 3.9983 | 0.0000 | 3.9983 | +1.5468 | +1.0836 | +107.347 | +158.306 |
| H1 CDT lvl6 | D nu=2, unlimited top : max margin@ceil | 110 | 2 | 0 | 107 | 0 | 0 | 3.9983 | 0.0000 | 3.9983 | +1.5468 | +1.0836 | +107.347 | +158.306 |
| H1 CDT lvl6 | D nu=3, unlimited top : max entry | 5 | 3 | 0 | 1 | 0 | 0 | 2.6400 | 0.0000 | 2.6400 | +2.9052 | +2.4419 | +0.365 | +2.681 |
| H1 CDT lvl6 | D nu=3, unlimited top : max margin | 110 | 3 | 0 | 106 | 0 | 0 | 3.9972 | 0.0000 | 3.9972 | +1.5480 | +1.0847 | +107.474 | +158.434 |
| H1 CDT lvl6 | D nu=3, unlimited top : max margin@ceil | 110 | 3 | 0 | 106 | 0 | 0 | 3.9972 | 0.0000 | 3.9972 | +1.5480 | +1.0847 | +107.474 | +158.434 |
| H1 CDT lvl6 | E nu=inf (absurd) : max entry | 42 | 40 | 0 | 1 | 0 | 0 | 2.0930 | 0.0000 | 2.0930 | +3.4522 | +2.9889 | +113.690 | +133.148 |
