[0;31m  ***   Warning: new maximum stack size = 8000000000 (7629.395 Mbytes).[0m
### master formula on the two-slope-prime sqrt(Domb) rows
    (all four have |lambda_2| > 1: the linear forms GROW, F > 0 always,
     so these numbers are worthiness bookkeeping, not irrationality)
  decayer D.2  engine D.3  :  none 0.1134 | p=3 0.1136 | p=2 0.1137 | BOTH 0.1452  (r=1.00)
  decayer D.2  engine D.4  :  none 0.1134 | p=3 0.1136 | p=2 0.1137 | BOTH 0.1452  (r=1.00)
  decayer D.2  engine D.6  :  none 0.1131 | p=3 0.1134 | p=2 0.1206 | BOTH 0.1566  (r=1.00)
  decayer D.3  engine D.2  :  none 0.4484 | p=3 0.4492 | p=2 0.4609 | BOTH 0.5073  (r=0.50)
  decayer D.3  engine D.4  :  none 0.4492 | p=3 0.4500 | p=2 0.4502 | BOTH 0.5479  (r=1.00)
  decayer D.3  engine D.6  :  none 0.4484 | p=3 0.4492 | p=2 0.4609 | BOTH 0.5073  (r=0.50)
  decayer D.4  engine D.2  :  none 0.4484 | p=3 0.4492 | p=2 0.4609 | BOTH 0.5073  (r=0.50)
  decayer D.4  engine D.3  :  none 0.4492 | p=3 0.4500 | p=2 0.4502 | BOTH 0.5479  (r=1.00)
  decayer D.4  engine D.6  :  none 0.4484 | p=3 0.4492 | p=2 0.4609 | BOTH 0.5073  (r=0.50)
  decayer D.6  engine D.2  :  none 0.1131 | p=3 0.1134 | p=2 0.1206 | BOTH 0.1566  (r=1.00)
  decayer D.6  engine D.3  :  none 0.1134 | p=3 0.1136 | p=2 0.1137 | BOTH 0.1452  (r=1.00)
  decayer D.6  engine D.4  :  none 0.1134 | p=3 0.1136 | p=2 0.1137 | BOTH 0.1452  (r=1.00)
