### Brown-Zudilin zeta(5) cellular row, N=300 ###
  closed-form check Q_n = double binomial sum, n<=7: 1
  Q_0..Q_4 = [1, 21, 2989, 714549, 217515501]
=== BZ zeta(5) row  P/Q (zeta(5) direction)   (N=300, checkpoints [50, 100, 200, 299]) ===
  Q_n integral for all n<=300 ? 1
  p=2  v_p(den Q_n): n=50:0 n=100:0 n=200:0 n=299:0   kappa~0
  p=2  v_p(incr)   : n=50:-17 n=100:-22 n=200:-27 n=299:-22   sigma~0.050505050505050505050505050505050505051
  p=3  v_p(den Q_n): n=50:0 n=100:0 n=200:0 n=299:0   kappa~0
  p=3  v_p(incr)   : n=50:-16 n=100:-11 n=200:-13 n=299:-12   sigma~0.010101010101010101010101010101010101010
  p=5  v_p(den Q_n): n=50:0 n=100:0 n=200:0 n=299:0   kappa~0
  p=5  v_p(incr)   : n=50:-10 n=100:-10 n=200:-13 n=299:-6   sigma~0.070707070707070707070707070707070707071
  p=7  v_p(den Q_n): n=50:0 n=100:0 n=200:0 n=299:0   kappa~0
  p=7  v_p(incr)   : n=50:-7 n=100:-8 n=200:-7 n=299:-4   sigma~0.030303030303030303030303030303030303030
  p=11  v_p(den Q_n): n=50:0 n=100:0 n=200:0 n=299:0   kappa~0
  p=11  v_p(incr)   : n=50:-3 n=100:-1 n=200:-3 n=299:-4   sigma~-0.010101010101010101010101010101010101010
  p=13  v_p(den Q_n): n=50:0 n=100:0 n=200:0 n=299:0   kappa~0
  p=13  v_p(incr)   : n=50:-3 n=100:-3 n=200:-4 n=299:-8   sigma~-0.040404040404040404040404040404040404040
  p=17  v_p(den Q_n): n=50:0 n=100:0 n=200:0 n=299:0   kappa~0
  p=17  v_p(incr)   : n=50:-3 n=100:-2 n=200:-3 n=299:-5   sigma~-0.020202020202020202020202020202020202020
  p=19  v_p(den Q_n): n=50:0 n=100:0 n=200:0 n=299:0   kappa~0
  p=19  v_p(incr)   : n=50:-2 n=100:-2 n=200:-3 n=299:-3   sigma~0
  p=23  v_p(den Q_n): n=50:0 n=100:0 n=200:0 n=299:0   kappa~0
  p=23  v_p(incr)   : n=50:-2 n=100:-2 n=200:-3 n=299:-5   sigma~-0.020202020202020202020202020202020202020
  p=29  v_p(den Q_n): n=50:0 n=100:0 n=200:0 n=299:0   kappa~0
  p=29  v_p(incr)   : n=50:-4 n=100:-2 n=200:-3 n=299:-2   sigma~0.010101010101010101010101010101010101010
  p=31  v_p(den Q_n): n=50:0 n=100:0 n=200:0 n=299:0   kappa~0
  p=31  v_p(incr)   : n=50:-3 n=100:-2 n=200:-2 n=299:-3   sigma~-0.010101010101010101010101010101010101010
  p=37  v_p(den Q_n): n=50:0 n=100:0 n=200:0 n=299:0   kappa~0
  p=37  v_p(incr)   : n=50:-2 n=100:-3 n=200:-2 n=299:-2   sigma~0
  p=41  v_p(den Q_n): n=50:0 n=100:0 n=200:0 n=299:0   kappa~0
  p=41  v_p(incr)   : n=50:-2 n=100:-2 n=200:-3 n=299:-4   sigma~-0.010101010101010101010101010101010101010
  p=43  v_p(den Q_n): n=50:0 n=100:0 n=200:0 n=299:0   kappa~0
  p=43  v_p(incr)   : n=50:-2 n=100:-2 n=200:-3 n=299:-3   sigma~0
  p=47  v_p(den Q_n): n=50:0 n=100:0 n=200:0 n=299:0   kappa~0
  p=47  v_p(incr)   : n=50:-2 n=100:-2 n=200:-2 n=299:-2   sigma~0

=== BZ zeta(5) row  Phat/Q (zeta(3) direction)   (N=300, checkpoints [50, 100, 200, 299]) ===
  Q_n integral for all n<=300 ? 1
  p=2  v_p(den Q_n): n=50:0 n=100:0 n=200:0 n=299:0   kappa~0
  p=2  v_p(incr)   : n=50:-7 n=100:-10 n=200:-13 n=299:-6   sigma~0.070707070707070707070707070707070707071
  p=3  v_p(den Q_n): n=50:0 n=100:0 n=200:0 n=299:0   kappa~0
  p=3  v_p(incr)   : n=50:-9 n=100:-2 n=200:-5 n=299:-1   sigma~0.040404040404040404040404040404040404040
  p=5  v_p(den Q_n): n=50:0 n=100:0 n=200:0 n=299:0   kappa~0
  p=5  v_p(incr)   : n=50:-6 n=100:-7 n=200:-7 n=299:-2   sigma~0.050505050505050505050505050505050505051
  p=7  v_p(den Q_n): n=50:0 n=100:0 n=200:0 n=299:0   kappa~0
  p=7  v_p(incr)   : n=50:-3 n=100:-5 n=200:-3 n=299:-1   sigma~0.020202020202020202020202020202020202020

DONE
