minimal recurrence for c_n = L_A[B]_n :
     D: [8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]
r=1: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
r=2: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
r=3: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
r=4: [0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 9, 12, 15]
r=5: [0, 0, 0, 0, 3, 7, 11, 15, 19, 23, 27, 31, 35]
r=6: [0, 0, 5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55]
r=7: [3, 9, 15, 21, 27, 33, 39, 45, 51, 57, 63, 69, 75]
r=8: [11, 18, 25, 32, 39, 46, 53, 60, 67, 74, 81, 88, 95]
r=9: [19, 27, 35, 43, 51, 59, 67, 75, 83, 91, 99, 107, 115]
r=10: [27, 36, 45, 54, 63, 72, 81, 90, 99, 108, 117, 126, 135]
r=11: [35, 45, 55, 65, 75, 85, 95, 105, 115, 125, 135, 145, 155]
r=12: [43, 54, 65, 76, 87, 98, 109, 120, 131, 142, 153, 164, 175]
