D=2 done  tested=92860405668 integral=0
D=3 done  tested=178883184492 integral=0
D=5 done  tested=259823598318 integral=0
D=6 done  tested=310962295296 integral=0
D=7 done  tested=368718676074 integral=0
D=10 done  tested=407636878572 integral=0
D=11 done  tested=456476031432 integral=0
D=13 done  tested=541001225988 integral=0
D=14 done  tested=592266378096 integral=0
D=15 done  tested=611006462748 integral=0
D=17 done  tested=699319008648 integral=0
D=19 done  tested=727759696608 integral=0
D=21 done  tested=786192713334 integral=0
D=22 done  tested=815818928238 integral=0
D=23 done  tested=833883831378 integral=0
D=26 done  tested=845638906338 integral=0
D=29 done  tested=892072260450 integral=0
D=30 done  tested=916803247788 integral=0
D=31 done  tested=929474617428 integral=0
D=33 done  tested=1024464559806 integral=0
D=34 done  tested=1034341957890 integral=0
D=35 done  tested=1045194232104 integral=0
D=37 done  tested=1089036185274 integral=0
D=38 done  tested=1097597318778 integral=0
D=39 done  tested=1107664278354 integral=0
D=41 done  tested=1161436231710 integral=0
D=42 done  tested=1189158832296 integral=0
D=43 done  tested=1200283005240 integral=0
D=46 done  tested=1208852703756 integral=0
D=47 done  tested=1216823982660 integral=0
D=51 done  tested=1225089865656 integral=0
D=53 done  tested=1244952532494 integral=0
D=55 done  tested=1251440771490 integral=0
D=57 done  tested=1288519597260 integral=0
D=58 done  tested=1293968722536 integral=0
D=59 done  tested=1298745575172 integral=0
D=61 done  tested=1352094530058 integral=0
D=62 done  tested=1359887236542 integral=0
D=65 done  tested=1393489798668 integral=0
D=66 done  tested=1401140132028 integral=0
D=67 done  tested=1406608488180 integral=0
D=69 done  tested=1447248904506 integral=0
D=70 done  tested=1451960792334 integral=0
D=71 done  tested=1458083806290 integral=0
D=73 done  tested=1490828493582 integral=0
D=74 done  tested=1495896879834 integral=0
D=77 done  tested=1510741257660 integral=0
D=78 done  tested=1516190059728 integral=0
D=79 done  tested=1523891298348 integral=0
D=82 done  tested=1533761262648 integral=0
D=83 done  tested=1540881373284 integral=0
D=85 done  tested=1555042731804 integral=0
D=86 done  tested=1558019477484 integral=0
D=87 done  tested=1561964715936 integral=0
D=89 done  tested=1578742362414 integral=0
D=91 done  tested=1587735463410 integral=0
D=93 done  tested=1626959339874 integral=0
D=94 done  tested=1630687544154 integral=0
D=95 done  tested=1633626636102 integral=0
D=97 done  tested=1650130040592 integral=0
TOTAL tested=1650130040592 integral=0
TOTAL tested=1650130040592 integral=0
