D=2 done  tested=268884356956 integral=0
D=3 done  tested=488435610316 integral=0
D=5 done  tested=782114516666 integral=0
D=6 done  tested=937356947698 integral=0
D=7 done  tested=1081083454314 integral=0
D=10 done  tested=1201334944542 integral=0
D=11 done  tested=1315991203174 integral=0
D=13 done  tested=1583118005200 integral=0
D=14 done  tested=1684743593996 integral=0
D=15 done  tested=1782925468576 integral=0
D=17 done  tested=2003726788910 integral=0
D=19 done  tested=2090969693062 integral=0
D=21 done  tested=2282874108890 integral=0
D=22 done  tested=2363948686682 integral=0
D=23 done  tested=2443233870946 integral=0
D=26 done  tested=2517810801930 integral=0
D=29 done  tested=2674628761160 integral=0
D=30 done  tested=2744053628104 integral=0
D=31 done  tested=2812356747272 integral=0
D=33 done  tested=2957521136430 integral=0
D=34 done  tested=3022735589990 integral=0
D=35 done  tested=3087012252118 integral=0
D=37 done  tested=3222741481800 integral=0
D=38 done  tested=3284428604624 integral=0
D=39 done  tested=3345318797692 integral=0
D=41 done  tested=3473222485908 integral=0
D=42 done  tested=3531894911584 integral=0
D=43 done  tested=3589884254612 integral=0
D=46 done  tested=3645954276904 integral=0
D=47 done  tested=3701422903456 integral=0
D=51 done  tested=3754671189800 integral=0
D=53 done  tested=3865290378526 integral=0
D=55 done  tested=3916570460630 integral=0
D=57 done  tested=4022804927688 integral=0
D=58 done  tested=4072740070228 integral=0
D=59 done  tested=4122246838904 integral=0
D=61 done  tested=4224582203314 integral=0
D=62 done  tested=4272879105266 integral=0
D=65 done  tested=4371710937488 integral=0
D=66 done  tested=4418519465384 integral=0
D=67 done  tested=4464980019916 integral=0
D=69 done  tested=4560648253264 integral=0
D=70 done  tested=4606111198392 integral=0
D=71 done  tested=4651241607052 integral=0
D=73 done  tested=4744026678470 integral=0
D=74 done  tested=4788243094246 integral=0
D=77 done  tested=4878393602080 integral=0
D=78 done  tested=4921449677840 integral=0
D=79 done  tested=4964235607920 integral=0
D=82 done  tested=5006231040284 integral=0
D=83 done  tested=5047971763864 integral=0
D=85 done  tested=5133454540270 integral=0
D=86 done  tested=5174458152066 integral=0
D=87 done  tested=5215221205566 integral=0
D=89 done  tested=5298628041062 integral=0
D=91 done  tested=5338489965758 integral=0
D=93 done  tested=5419962365224 integral=0
D=94 done  tested=5459170794656 integral=0
D=95 done  tested=5498184333276 integral=0
D=97 done  tested=5577852223920 integral=0
TOTAL tested=5577852223920 integral=0
TOTAL tested=5577852223920 integral=0
