D=2 done  tested=3847144824 integral=0
D=3 done  tested=8339089608 integral=0
D=5 done  tested=10979537364 integral=0
D=6 done  tested=19972395954 integral=0
D=7 done  tested=35764015626 integral=0
D=10 done  tested=39788924850 integral=0
D=11 done  tested=58601973708 integral=0
D=13 done  tested=61371866268 integral=0
D=14 done  tested=89906607756 integral=0
D=15 done  tested=94212627138 integral=0
D=17 done  tested=99458131374 integral=0
D=19 done  tested=150346180548 integral=0
D=21 done  tested=153358963920 integral=0
D=22 done  tested=204438109824 integral=0
D=23 done  tested=247312620648 integral=0
D=26 done  tested=251745579972 integral=0
D=29 done  tested=254620111122 integral=0
D=30 done  tested=272845083024 integral=0
D=31 done  tested=324604096956 integral=0
D=33 done  tested=354892807458 integral=0
D=34 done  tested=402686705646 integral=0
D=35 done  tested=407486667654 integral=0
D=37 done  tested=413802071172 integral=0
D=38 done  tested=462087811134 integral=0
D=39 done  tested=507554773326 integral=0
D=41 done  tested=545561044452 integral=0
D=42 done  tested=569623960854 integral=0
D=43 done  tested=621435172878 integral=0
D=46 done  tested=621435172878 integral=0
D=47 done  tested=670959122688 integral=0
D=51 done  tested=720679098150 integral=0
D=53 done  tested=723796924122 integral=0
D=55 done  tested=774550437966 integral=0
D=57 done  tested=824733893700 integral=0
D=58 done  tested=875627356608 integral=0
D=59 done  tested=927297084330 integral=0
D=61 done  tested=956481393096 integral=0
D=62 done  tested=1006839704358 integral=0
D=65 done  tested=1014541185384 integral=0
D=66 done  tested=1064993630976 integral=0
D=67 done  tested=1064993630976 integral=0
D=69 done  tested=1082104989714 integral=0
D=70 done  tested=1133611335792 integral=0
D=71 done  tested=1185429577590 integral=0
D=73 done  tested=1237073933484 integral=0
D=74 done  tested=1286809503732 integral=0
D=77 done  tested=1290219590538 integral=0
D=78 done  tested=1340457264414 integral=0
D=79 done  tested=1391283015246 integral=0
D=82 done  tested=1398145367502 integral=0
D=83 done  tested=1449021134772 integral=0
D=85 done  tested=1452395426292 integral=0
D=86 done  tested=1452395426292 integral=0
D=87 done  tested=1500724233720 integral=0
D=89 done  tested=1552193814888 integral=0
D=91 done  tested=1603989351324 integral=0
D=93 done  tested=1625601219858 integral=0
D=94 done  tested=1625601219858 integral=0
D=95 done  tested=1675342527048 integral=0
D=97 done  tested=1675342527048 integral=0
TOTAL tested=1675342527048 integral=0
TOTAL tested=1675342527048 integral=0
