D=2 done  tested=24975496260 integral=188
D=3 done  tested=49950992520 integral=368
D=5 done  tested=74926488780 integral=516
D=6 done  tested=99901985040 integral=676
D=7 done  tested=124877481300 integral=836
D=10 done  tested=149852977560 integral=988
D=11 done  tested=174828473820 integral=1140
D=13 done  tested=199803970080 integral=1280
D=14 done  tested=224779466340 integral=1432
D=15 done  tested=249754962600 integral=1572
D=17 done  tested=274730458860 integral=1704
D=19 done  tested=299705955120 integral=1842
D=21 done  tested=324681451380 integral=1974
D=22 done  tested=349656947640 integral=2112
D=23 done  tested=374632443900 integral=2250
D=26 done  tested=399607940160 integral=2388
D=29 done  tested=424583436420 integral=2520
D=30 done  tested=449558932680 integral=2658
D=31 done  tested=474534428940 integral=2796
D=33 done  tested=499509925200 integral=2920
D=34 done  tested=524485421460 integral=3048
D=35 done  tested=549460917720 integral=3176
D=37 done  tested=574436413980 integral=3300
D=38 done  tested=599411910240 integral=3428
D=39 done  tested=624387406500 integral=3556
D=41 done  tested=649362902760 integral=3680
D=42 done  tested=674338399020 integral=3808
D=43 done  tested=699313895280 integral=3936
D=46 done  tested=724289391540 integral=4064
D=47 done  tested=749264887800 integral=4192
D=51 done  tested=774240384060 integral=4320
D=53 done  tested=799215880320 integral=4444
D=55 done  tested=824191376580 integral=4572
D=57 done  tested=849166872840 integral=4696
D=58 done  tested=874142369100 integral=4824
D=59 done  tested=899117865360 integral=4952
D=61 done  tested=924093361620 integral=5076
D=62 done  tested=949068857880 integral=5204
D=65 done  tested=974044354140 integral=5328
D=66 done  tested=999019850400 integral=5456
D=67 done  tested=1023995346660 integral=5584
D=69 done  tested=1048970842920 integral=5708
D=70 done  tested=1073946339180 integral=5836
D=71 done  tested=1098921835440 integral=5964
D=73 done  tested=1123897331700 integral=6088
D=74 done  tested=1148872827960 integral=6216
D=77 done  tested=1173848324220 integral=6340
D=78 done  tested=1198823820480 integral=6468
D=79 done  tested=1223799316740 integral=6596
D=82 done  tested=1248774813000 integral=6724
D=83 done  tested=1273750309260 integral=6852
D=85 done  tested=1298725805520 integral=6976
D=86 done  tested=1323701301780 integral=7104
D=87 done  tested=1348676798040 integral=7232
D=89 done  tested=1373652294300 integral=7356
D=91 done  tested=1398627790560 integral=7484
D=93 done  tested=1423603286820 integral=7608
D=94 done  tested=1448578783080 integral=7736
D=95 done  tested=1473554279340 integral=7864
D=97 done  tested=1498529775600 integral=7988
TOTAL tested=1498529775600 integral=7988
TOTAL tested=1498529775600 integral=7988
