D=2 done  tested=301348792448 integral=114
D=3 done  tested=555611836076 integral=192
D=5 done  tested=922880676872 integral=340
D=6 done  tested=1097097947506 integral=398
D=7 done  tested=1243063768848 integral=456
D=10 done  tested=1398446739954 integral=494
D=11 done  tested=1525578261768 integral=532
D=13 done  tested=1765715580750 integral=628
D=14 done  tested=1883429952800 integral=650
D=15 done  tested=2019978624378 integral=672
D=17 done  tested=2250698793596 integral=758
D=19 done  tested=2344870291236 integral=780
D=21 done  tested=2533213286516 integral=842
D=22 done  tested=2627384784156 integral=864
D=23 done  tested=2721556281796 integral=886
D=26 done  tested=2796893479908 integral=908
D=29 done  tested=2956985025896 integral=948
D=30 done  tested=3022905074244 integral=970
D=31 done  tested=3088825122592 integral=992
D=33 done  tested=3248916668580 integral=1040
D=34 done  tested=3314836716928 integral=1062
D=35 done  tested=3380756765276 integral=1084
D=37 done  tested=3526722586618 integral=1132
D=38 done  tested=3583225485202 integral=1154
D=39 done  tested=3658562683314 integral=1176
D=41 done  tested=3799819929774 integral=1224
D=42 done  tested=3846905678594 integral=1246
D=43 done  tested=3903408577178 integral=1268
D=46 done  tested=3969328625526 integral=1290
D=47 done  tested=4016414374346 integral=1312
D=51 done  tested=4072917272930 integral=1334
D=53 done  tested=4204757369626 integral=1356
D=55 done  tested=4251843118446 integral=1378
D=57 done  tested=4374266065378 integral=1400
D=58 done  tested=4421351814198 integral=1422
D=59 done  tested=4468437563018 integral=1444
D=61 done  tested=4586151935068 integral=1466
D=62 done  tested=4633237683888 integral=1488
D=65 done  tested=4769786355466 integral=1510
D=66 done  tested=4816872104286 integral=1532
D=67 done  tested=4863957853106 integral=1554
D=69 done  tested=4972255075392 integral=1576
D=70 done  tested=5019340824212 integral=1598
D=71 done  tested=5066426573032 integral=1620
D=73 done  tested=5174723795318 integral=1642
D=74 done  tested=5221809544138 integral=1664
D=77 done  tested=5315981041778 integral=1686
D=78 done  tested=5363066790598 integral=1708
D=79 done  tested=5410152539418 integral=1730
D=82 done  tested=5447821138474 integral=1752
D=83 done  tested=5485489737530 integral=1774
D=85 done  tested=5579661235170 integral=1796
D=86 done  tested=5617329834226 integral=1818
D=87 done  tested=5664415583046 integral=1840
D=89 done  tested=5753878505804 integral=1862
D=91 done  tested=5800964254624 integral=1884
D=93 done  tested=5881010027618 integral=1906
D=94 done  tested=5928095776438 integral=1928
D=95 done  tested=5965764375494 integral=1950
D=97 done  tested=6045810148488 integral=1972
TOTAL tested=6045810148488 integral=1972
TOTAL tested=6045810148488 integral=1972
