D=2 done  tested=244235686266 integral=64
D=3 done  tested=488471372532 integral=112
D=5 done  tested=732707058798 integral=206
D=6 done  tested=976942745064 integral=234
D=7 done  tested=1221178431330 integral=258
D=10 done  tested=1465414117596 integral=290
D=11 done  tested=1709649803862 integral=314
D=13 done  tested=1953885490128 integral=366
D=14 done  tested=2198121176394 integral=382
D=15 done  tested=2442356862660 integral=414
D=17 done  tested=2686592548926 integral=444
D=19 done  tested=2930828235192 integral=456
D=21 done  tested=3175063921458 integral=496
D=22 done  tested=3419299607724 integral=508
D=23 done  tested=3663535293990 integral=524
D=26 done  tested=3907770980256 integral=552
D=29 done  tested=4152006666522 integral=592
D=30 done  tested=4396242352788 integral=616
D=31 done  tested=4640478039054 integral=628
D=33 done  tested=4884713725320 integral=644
D=34 done  tested=5128949411586 integral=660
D=35 done  tested=5373185097852 integral=684
D=37 done  tested=5617420784118 integral=708
D=38 done  tested=5861656470384 integral=724
D=39 done  tested=6105892156650 integral=740
D=41 done  tested=6350127842916 integral=756
D=42 done  tested=6594363529182 integral=772
D=43 done  tested=6838599215448 integral=784
D=46 done  tested=7082834901714 integral=796
D=47 done  tested=7327070587980 integral=812
D=51 done  tested=7571306274246 integral=828
D=53 done  tested=7815541960512 integral=860
D=55 done  tested=8059777646778 integral=872
D=57 done  tested=8304013333044 integral=884
D=58 done  tested=8548249019310 integral=896
D=59 done  tested=8792484705576 integral=908
D=61 done  tested=9036720391842 integral=924
D=62 done  tested=9280956078108 integral=936
D=65 done  tested=9525191764374 integral=960
D=66 done  tested=9769427450640 integral=972
D=67 done  tested=10013663136906 integral=984
D=69 done  tested=10257898823172 integral=1004
D=70 done  tested=10502134509438 integral=1016
D=71 done  tested=10746370195704 integral=1028
D=73 done  tested=10990605881970 integral=1040
D=74 done  tested=11234841568236 integral=1056
D=77 done  tested=11479077254502 integral=1086
D=78 done  tested=11723312940768 integral=1102
D=79 done  tested=11967548627034 integral=1114
D=82 done  tested=12211784313300 integral=1138
D=83 done  tested=12456019999566 integral=1150
D=85 done  tested=12700255685832 integral=1180
D=86 done  tested=12944491372098 integral=1192
D=87 done  tested=13188727058364 integral=1208
D=89 done  tested=13432962744630 integral=1220
D=91 done  tested=13677198430896 integral=1232
D=93 done  tested=13921434117162 integral=1248
D=94 done  tested=14165669803428 integral=1260
D=95 done  tested=14409905489694 integral=1276
D=97 done  tested=14654141175960 integral=1288
TOTAL tested=14654141175960 integral=1288
TOTAL tested=14654141175960 integral=1288
