k,n,h11ok,h22ok,okY,okX,lcmok,logh11,logh22,logmY,logmX,v2h11,logoddh11,logmZ,v2mZ,logg0,v2gMODY,logh12
22.4,4,1,1,1,1,1,23.50394,0.86643,23.50394,13.51637,79,9.81428,2.81549,0,2.25273,18,23.49951
23.0,4,1,1,1,1,1,24.02380,0.86643,24.02380,14.03623,82,9.81428,2.81549,0,2.25273,18,23.49951
23.9,4,1,1,1,1,1,24.54366,0.86643,24.54366,14.55609,85,9.81428,2.81549,0,2.25273,18,24.05276
22.4,5,1,1,1,1,1,22.96508,0.83178,22.96508,13.44706,98,9.37939,2.58754,0,3.12024,22,22.87665
23.0,5,1,1,1,1,1,23.38097,0.83178,23.38097,13.86294,101,9.37939,2.58754,0,3.12024,22,23.06434
23.9,5,1,1,1,1,1,23.93548,0.83178,23.93548,14.41746,105,9.37939,2.58754,0,3.12024,22,23.66824
22.4,6,1,1,1,1,1,23.49466,0.57762,23.49466,14.09399,123,9.28514,1.62392,0,2.27588,21,23.38513
23.0,6,1,1,1,1,1,23.95676,0.57762,23.95676,14.55609,127,9.28514,1.62392,0,2.27588,21,23.83088
23.9,6,1,1,1,1,1,24.53438,0.57762,24.53438,15.13371,132,9.28514,1.62392,0,2.27588,21,24.50276
22.4,7,1,1,1,1,1,24.57783,0.49511,24.57783,14.06099,143,10.41782,2.08624,0,1.78238,23,24.18743
23.0,7,1,1,1,1,1,25.07294,0.49511,25.07294,14.55609,148,10.41782,2.08624,0,1.78238,23,25.04363
23.9,7,1,1,1,1,1,25.66706,0.49511,25.66706,15.15022,154,10.41782,2.08624,0,1.78238,23,25.63411
22.4,8,1,1,1,1,1,25.27479,0.51986,25.27479,14.46945,168,10.71870,3.65211,0,1.59939,21,25.24032
23.0,8,1,1,1,1,1,25.70800,0.51986,25.70800,14.90266,173,10.71870,3.65211,0,1.59939,21,25.68565
23.9,8,1,1,1,1,1,26.31451,0.51986,26.31451,15.50917,180,10.71870,3.65211,0,1.59939,21,26.30310
22.4,9,1,1,1,1,1,25.14892,0.53911,25.14892,14.24803,186,10.82388,2.09272,0,1.67129,25,24.91414
23.0,9,1,1,1,1,1,25.61102,0.53911,25.61102,14.71012,192,10.82388,2.09272,0,1.67129,25,25.53442
23.9,9,1,1,1,1,1,26.22715,0.53911,26.22715,15.32625,200,10.82388,2.09272,0,1.67129,25,26.21306
22.4,10,1,1,1,1,1,24.80399,0.72499,24.80399,14.41746,209,10.31721,1.85641,0,1.50416,25,24.72002
23.0,10,1,1,1,1,1,25.21987,0.72499,25.21987,14.83335,215,10.31721,1.85641,0,1.50416,25,25.21739
23.9,10,1,1,1,1,1,25.84371,0.72499,25.84371,15.45718,224,10.31721,1.85641,0,1.50416,25,25.84272
22.4,11,1,1,1,1,1,24.98541,0.31507,24.98541,14.68212,234,10.24028,1.80716,0,1.53485,24,24.90264
23.0,11,1,1,1,1,1,25.42651,0.31507,25.42651,15.12321,241,10.24028,1.80716,0,1.53485,24,25.33026
23.9,11,1,1,1,1,1,25.99363,0.31507,25.99363,15.69033,250,10.24028,1.80716,0,1.53485,24,25.64732
22.4,12,1,1,1,1,1,25.48723,0.59194,25.48723,14.72938,256,10.70009,2.63299,0,1.20188,24,25.47786
23.0,12,1,1,1,1,1,25.94933,0.59194,25.94933,15.19148,264,10.70009,2.63299,0,1.20188,24,25.88542
23.9,12,1,1,1,1,1,26.52695,0.59194,26.52695,15.76910,274,10.70009,2.63299,0,1.20188,24,26.28693
22.4,13,1,1,1,1,1,25.20836,0.37323,25.20836,14.60941,275,10.54563,2.09228,0,1.48732,28,25.09316
23.0,13,1,1,1,1,1,25.63491,0.37323,25.63491,15.03596,283,10.54563,2.09228,0,1.48732,28,25.59935
23.9,13,1,1,1,1,1,26.22142,0.37323,26.22142,15.62247,294,10.54563,2.09228,0,1.48732,28,26.07175
22.4,14,1,1,1,1,1,26.34980,0.29706,26.34980,14.75413,299,11.54615,2.56585,0,0.99021,26,26.26536
23.0,14,1,1,1,1,1,26.79539,0.29706,26.79539,15.19973,308,11.54615,2.56585,0,0.99021,26,26.76408
23.9,14,1,1,1,1,1,27.38952,0.29706,27.38952,15.79385,320,11.54615,2.56585,0,0.99021,26,27.38124
22.4,15,1,1,1,1,1,26.16204,0.27726,26.16204,14.74093,320,11.37490,2.39224,0,1.01662,28,26.15854
23.0,15,1,1,1,1,1,26.57792,0.27726,26.57792,15.15682,329,11.37490,2.39224,0,1.01662,28,26.40084
23.9,15,1,1,1,1,1,27.17865,0.27726,27.17865,15.75755,342,11.37490,2.39224,0,1.01662,28,27.13053
22.4,16,1,1,1,1,1,25.49296,0.46356,25.49296,14.94599,346,10.50366,2.02531,0,0.73647,24,25.45316
23.0,16,1,1,1,1,1,25.92618,0.46356,25.92618,15.37920,356,10.50366,2.02531,0,0.73647,24,25.91863
23.9,16,1,1,1,1,1,26.53268,0.46356,26.53268,15.98571,370,10.50366,2.02531,0,0.73647,24,26.52853
22.4,17,1,1,1,1,1,25.66740,0.32619,25.66740,14.80073,364,10.82590,2.26220,0,1.10740,28,25.64088
23.0,17,1,1,1,1,1,26.11591,0.32619,26.11591,15.24924,375,10.82590,2.26220,0,1.10740,28,26.05050
23.9,17,1,1,1,1,1,26.72751,0.32619,26.72751,15.86084,390,10.82590,2.26220,0,1.10740,28,26.71519
22.4,18,1,1,1,1,1,26.11302,0.30807,26.11302,14.86416,387,11.21035,2.33033,0,1.09416,28,26.00799
23.0,18,1,1,1,1,1,26.53661,0.30807,26.53661,15.28775,398,11.21035,2.33033,0,1.09416,28,26.49388
23.9,18,1,1,1,1,1,27.15274,0.30807,27.15274,15.90388,414,11.21035,2.33033,0,1.09416,28,27.06501
22.4,19,1,1,1,1,1,26.15926,0.60470,26.15926,14.88442,409,11.23835,2.22574,0,1.09715,28,26.15165
23.0,19,1,1,1,1,1,26.59704,0.60470,26.59704,15.32220,421,11.23835,2.22574,0,1.09715,28,26.58289
23.9,19,1,1,1,1,1,27.21722,0.60470,27.21722,15.94239,438,11.23835,2.22574,0,1.09715,28,27.19523
22.4,20,1,1,1,1,1,26.29476,0.27726,26.29476,14.93732,432,11.32278,2.40256,0,0.69315,28,26.29060
23.0,20,1,1,1,1,1,26.71065,0.27726,26.71065,15.35321,444,11.32278,2.40256,0,0.69315,28,26.65182
23.9,20,1,1,1,1,1,27.33448,0.27726,27.33448,15.97704,462,11.32278,2.40256,0,0.69315,28,27.33028
22.4,21,1,1,1,1,1,26.01841,0.29706,26.01841,14.82015,450,11.16525,2.39276,0,0.75916,32,25.80191
23.0,21,1,1,1,1,1,26.44750,0.29706,26.44750,15.24924,463,11.16525,2.39276,0,0.75916,32,26.36481
23.9,21,1,1,1,1,1,27.04163,0.29706,27.04163,15.84336,481,11.16525,2.39276,0,0.75916,32,27.02102
22.4,22,1,1,1,1,1,26.63303,0.18904,26.63303,15.06020,479,11.54132,2.49623,0,0.66164,27,26.60576
23.0,22,1,1,1,1,1,27.07412,0.18904,27.07412,15.50129,493,11.54132,2.49623,0,0.66164,27,27.05645
23.9,22,1,1,1,1,1,27.67275,0.18904,27.67275,16.09992,512,11.54132,2.49623,0,0.66164,27,27.66691
22.4,23,1,1,1,1,1,26.53577,0.18082,26.53577,15.03828,500,11.46735,2.62529,0,0.69315,29,26.51337
23.0,23,1,1,1,1,1,26.95768,0.18082,26.95768,15.46020,514,11.46735,2.62529,0,0.69315,29,26.91489
