n,d,dstar,signok,cfok,idx,idxtrue,dcf
8,20,50.1,0,1,83,86,0
8,26,50.1,0,1,83,86,0
8,32,50.1,0,1,83,86,0
8,38,50.1,0,1,83,86,0
8,44,50.1,0,1,83,86,0
8,50,50.1,1,0,82,86,2
8,56,50.1,1,1,86,86,0
8,62,50.1,1,1,86,86,0
8,68,50.1,1,1,86,86,0
8,74,50.1,1,1,86,86,0
8,80,50.1,1,1,86,86,0
8,170,50.1,1,1,86,86,0
8,450,50.1,1,1,86,86,0
16,70,100.3,0,1,161,165,0
16,76,100.3,0,1,161,165,0
16,82,100.3,0,1,161,165,0
16,88,100.3,0,1,161,165,0
16,94,100.3,0,1,161,165,0
16,100,100.3,1,0,160,165,2
16,106,100.3,1,1,165,165,0
16,112,100.3,1,1,165,165,0
16,118,100.3,1,1,165,165,0
16,124,100.3,1,1,165,165,0
16,130,100.3,1,1,165,165,0
16,220,100.3,1,1,165,165,0
16,500,100.3,1,1,165,165,0
24,120,150.4,0,1,256,266,0
24,126,150.4,0,1,256,266,0
24,132,150.4,0,1,256,266,0
24,138,150.4,0,1,256,266,0
24,144,150.4,0,1,256,266,0
24,150,150.4,1,0,257,266,2
24,156,150.4,1,1,266,266,0
24,162,150.4,1,1,266,266,0
24,168,150.4,1,1,266,266,0
24,174,150.4,1,1,266,266,0
24,180,150.4,1,1,266,266,0
24,270,150.4,1,1,266,266,0
24,550,150.4,1,1,266,266,0
40,220,250.7,0,1,427,438,0
40,226,250.7,0,1,427,438,0
40,232,250.7,0,1,427,438,0
40,238,250.7,0,1,427,438,0
40,244,250.7,0,1,427,438,0
40,250,250.7,0,1,427,438,0
40,256,250.7,1,0,433,438,2
40,262,250.7,1,1,438,438,0
40,268,250.7,1,1,438,438,0
40,274,250.7,1,1,438,438,0
40,280,250.7,1,1,438,438,0
40,370,250.7,1,1,438,438,0
40,650,250.7,1,1,438,438,0
60,346,376.1,0,1,677,691,0
60,352,376.1,0,1,677,691,0
60,358,376.1,0,1,677,691,0
60,364,376.1,0,1,677,691,0
60,370,376.1,0,1,677,691,0
60,376,376.1,1,0,676,691,2
60,382,376.1,1,0,680,691,2
60,388,376.1,1,0,688,691,2
60,394,376.1,1,1,691,691,0
60,400,376.1,1,1,691,691,0
60,406,376.1,1,1,691,691,0
60,496,376.1,1,1,691,691,0
60,776,376.1,1,1,691,691,0
80,471,501.4,0,1,893,915,0
80,477,501.4,0,1,893,915,0
80,483,501.4,0,1,893,915,0
80,489,501.4,0,1,893,915,0
80,495,501.4,0,1,893,915,0
80,501,501.4,1,0,892,915,2
80,507,501.4,1,0,902,915,2
80,513,501.4,1,0,909,915,2
80,519,501.4,1,0,914,915,2
80,525,501.4,1,1,915,915,0
80,531,501.4,1,1,915,915,0
80,621,501.4,1,1,915,915,0
80,901,501.4,1,1,915,915,0
100,596,626.8,0,1,1086,1107,0
100,602,626.8,0,1,1086,1107,0
100,608,626.8,0,1,1086,1107,0
100,614,626.8,0,1,1086,1107,0
100,620,626.8,0,1,1086,1107,0
100,626,626.8,0,1,1086,1107,0
100,632,626.8,1,0,1094,1107,2
100,638,626.8,1,0,1101,1107,2
100,644,626.8,1,0,1104,1107,2
100,650,626.8,1,1,1107,1107,0
100,656,626.8,1,1,1107,1107,0
100,746,626.8,1,1,1107,1107,0
100,1026,626.8,1,1,1107,1107,0
120,722,752.1,0,1,1337,1366,0
120,728,752.1,0,1,1337,1366,0
120,734,752.1,0,1,1337,1366,0
120,740,752.1,0,1,1337,1366,0
120,746,752.1,0,1,1337,1366,0
120,752,752.1,1,0,1336,1366,2
120,758,752.1,1,0,1341,1366,2
120,764,752.1,1,0,1352,1366,2
120,770,752.1,1,0,1357,1366,2
120,776,752.1,1,0,1362,1366,2
120,782,752.1,1,1,1366,1366,0
120,872,752.1,1,1,1366,1366,0
120,1152,752.1,1,1,1366,1366,0
