xi2: 2-adic precision (bits) = 4931
xi2 valuation = -1
xi2 mod 2^40  = 638147118555/2
xi2 mod 2^80  = 2221961521540699540440539/2
Zudilin tail v_2(xi2 - P_m/Q_m) vs 8m-1-4s_2(m):
  m=40  v_2=311  8m-1-4s_2(m)=311  match=1
  m=80  v_2=631  8m-1-4s_2(m)=631  match=1
  m=120  v_2=943  8m-1-4s_2(m)=943  match=1
  m=160  v_2=1271  8m-1-4s_2(m)=1271  match=1
  m=200  v_2=1587  8m-1-4s_2(m)=1587  match=1
  m=240  v_2=1903  8m-1-4s_2(m)=1903  match=1

k,n,v2ZudForm,v2NestForm,v2Nesttail,v2mixed,v2MOD,logq,archrate,v2qxip,d2,dinf,dad,incone
22.4,4,106,119,55,120,97,13.24605,-1.47046,9,0.11774,0.11101,0.22875,1
23.0,4,106,119,55,120,100,13.07276,-1.64375,8,0.10604,0.12574,0.23178,0
23.9,4,106,119,55,120,103,12.66211,-1.96479,4,0.05474,0.15517,0.20991,1
22.4,5,126,144,66,143,120,12.59428,-1.98959,6,0.06604,0.15798,0.22402,1
23.0,5,126,144,66,143,123,12.45565,-2.12822,5,0.05565,0.17086,0.22651,1
23.9,5,126,144,66,143,127,12.18985,-2.55227,-1,-0.01137,0.20938,0.19800,1
22.4,6,157,176,82,174,144,13.02192,-1.68338,13,0.11533,0.12927,0.24460,1
23.0,6,157,176,82,174,148,12.85913,-1.88129,9,0.08085,0.14630,0.22715,0
23.9,6,157,176,82,174,153,12.61457,-2.19456,5,0.04579,0.17397,0.21976,0
22.4,7,179,202,94,198,166,13.68408,-1.13090,13,0.09407,0.08264,0.17671,0
23.0,7,179,202,94,198,171,12.85764,-1.41533,8,0.06161,0.11008,0.17169,0
23.9,7,179,202,94,198,177,12.26351,-2.00945,2,0.01615,0.16386,0.18001,1
22.4,8,205,233,111,221,189,13.95469,-0.90988,16,0.09934,0.06520,0.16455,1
23.0,8,205,233,111,221,194,13.73985,-1.07185,13,0.08198,0.07801,0.15999,0
23.9,8,205,233,111,221,201,13.40198,-1.44146,6,0.03879,0.10756,0.14635,1
22.4,9,225,258,122,244,211,13.88104,-0.92731,14,0.07768,0.06680,0.14448,1
23.0,9,225,258,122,244,217,13.69768,-1.15886,9,0.05060,0.08460,0.13521,0
23.9,9,225,258,122,244,225,13.35775,-1.47013,0,0.00000,0.11006,0.11006,1
22.4,10,249,286,136,268,234,13.68632,-1.07488,15,0.07597,0.07854,0.15450,1
23.0,10,249,286,136,268,240,13.55002,-1.31812,10,0.05115,0.09728,0.14843,1
23.9,10,249,286,136,268,249,13.25685,-1.56327,0,0.00000,0.11792,0.11792,0
22.4,11,280,317,151,300,258,13.90758,-0.98445,23,0.10421,0.07079,0.17500,0
23.0,11,280,317,151,300,265,13.50722,-1.35325,15,0.06998,0.10019,0.17016,1
23.9,11,280,317,151,300,274,13.12383,-1.76606,7,0.03361,0.13457,0.16818,1
22.4,12,304,346,166,323,280,14.19657,-0.70235,24,0.09765,0.04947,0.14712,0
23.0,12,304,346,166,323,288,13.83469,-0.95953,16,0.06680,0.06936,0.13616,1
23.9,12,304,346,166,323,298,13.65885,-1.22384,6,0.02537,0.08960,0.11497,0
22.4,13,324,371,177,346,303,13.75889,-0.93805,21,0.08138,0.06818,0.14956,0
23.0,13,324,371,177,346,311,13.47108,-1.27524,13,0.05145,0.09466,0.14612,1
23.9,13,324,371,177,346,322,13.33069,-1.48139,2,0.00800,0.11113,0.11913,0
22.4,14,350,400,192,371,325,14.19164,-0.54366,29,0.10117,0.03831,0.13948,1
23.0,14,350,400,192,371,334,14.16156,-0.70764,18,0.06293,0.04997,0.11290,1
23.9,14,350,400,192,371,346,13.92052,-0.98222,4,0.01423,0.07056,0.08479,0
22.4,15,372,426,204,395,348,14.29595,-0.60376,25,0.08081,0.04223,0.12304,1
23.0,15,372,426,204,395,357,14.25491,-0.65670,15,0.04863,0.04607,0.09469,0
23.9,15,372,426,204,395,370,13.72067,-1.17561,2,0.00674,0.08568,0.09242,1
22.4,16,400,459,223,418,370,14.06403,-0.80664,30,0.09241,0.05735,0.14976,0
23.0,16,400,459,223,418,380,13.63393,-0.85745,21,0.06673,0.06289,0.12962,0
23.9,16,400,459,223,418,394,13.58685,-1.31993,8,0.02551,0.09715,0.12266,0
22.4,17,420,484,234,441,392,14.05429,-0.81303,28,0.08123,0.05785,0.13908,1
23.0,17,420,484,234,441,403,13.86931,-1.04436,17,0.04998,0.07530,0.12528,1
