n,E,logh11,len,idx,parity,a1,a2,a3,cfagree,pqnext
20,448,26.29476,373,203,1,1,11,1,0,20
20,449,26.32942,401,221,1,2,5,1,1,9
20,450,26.36408,378,204,0,1,2,1,1,2
20,451,26.39874,379,206,0,1,6,2,2,4
20,452,26.43339,396,214,0,1,13,1,2,8
20,453,26.46805,388,204,0,2,6,1,1,3
20,454,26.50271,404,220,0,1,2,1,1,1
20,455,26.53736,393,199,1,1,6,2,2,3
20,456,26.57202,370,192,0,1,13,1,2,1
20,457,26.60668,395,208,0,2,6,1,1,4
20,458,26.64134,424,218,0,4,3,2,1,10
20,459,26.67599,424,218,0,1,1,1,1,20
20,460,26.71065,413,222,0,3,4,9,1,9
20,461,26.74531,406,202,0,6,2,18,1,4
20,462,26.77997,416,204,0,12,1,36,1,1
20,463,26.81462,372,187,1,25,1,17,1,3
20,464,26.84928,382,190,0,1,1,12,1,1
20,465,26.88394,380,208,0,3,1,5,1,24
20,466,26.91860,395,222,0,1,1,1,1,49
20,467,26.95325,408,224,0,1,4,2,2,24
20,468,26.98791,417,222,0,2,2,4,1,6
20,469,27.02257,400,212,0,1,2,2,1,14
20,470,27.05723,426,214,0,2,1,5,1,7
20,471,27.09188,408,209,1,1,2,11,1,4
20,472,27.12654,402,201,1,1,5,5,2,9
20,473,27.16120,412,207,1,2,2,1,1,4
20,474,27.19585,414,212,0,1,2,2,1,2
20,475,27.23051,419,221,1,2,1,4,1,2
20,476,27.26517,420,219,1,1,2,10,1,4
20,477,27.29983,438,233,1,1,5,5,2,1
20,478,27.33448,417,224,0,1,11,2,2,3
20,479,27.36914,415,212,0,2,5,1,1,7
20,480,27.40380,408,204,0,4,2,1,1,14
20,481,27.43846,398,206,0,8,1,2,1,28
20,482,27.47311,398,206,0,8,1,2,398,28
20,483,27.50777,398,206,0,8,1,2,398,28
20,484,27.54243,398,206,0,8,1,2,398,28
20,485,27.57709,398,206,0,8,1,2,398,28
20,486,27.61174,398,206,0,8,1,2,398,28
20,487,27.64640,398,206,0,8,1,2,398,28
20,488,27.68106,398,206,0,8,1,2,398,28
20,489,27.71572,398,206,0,8,1,2,398,28
20,490,27.75037,398,206,0,8,1,2,398,28
20,491,27.78503,398,206,0,8,1,2,398,28
20,492,27.81969,398,206,0,8,1,2,398,28
20,493,27.85434,398,206,0,8,1,2,398,28
20,494,27.88900,398,206,0,8,1,2,398,28
20,495,27.92366,398,206,0,8,1,2,398,28
20,496,27.95832,398,206,0,8,1,2,398,28
20,497,27.99297,398,206,0,8,1,2,398,28
20,498,28.02763,398,206,0,8,1,2,398,28
20,499,28.06229,398,206,0,8,1,2,398,28
20,500,28.09695,398,206,0,8,1,2,398,28
20,501,28.13160,398,206,0,8,1,2,398,28
20,502,28.16626,398,206,0,8,1,2,398,28
20,503,28.20092,398,206,0,8,1,2,398,28
20,504,28.23558,398,206,0,8,1,2,398,28
20,505,28.27023,398,206,0,8,1,2,398,28
20,506,28.30489,398,206,0,8,1,2,398,28
20,507,28.33955,398,206,0,8,1,2,398,28
20,508,28.37420,398,206,0,8,1,2,398,28
40,896,26.72463,835,435,1,1,5,11,0,9
40,897,26.74196,844,423,1,1,11,5,2,4
40,898,26.75928,806,428,0,2,5,1,1,3
40,899,26.77661,805,416,0,4,2,1,1,6
40,900,26.79394,824,426,0,1,1,1,1,13
40,901,26.81127,817,430,0,1,4,5,2,28
40,902,26.82860,821,430,0,1,9,2,2,58
40,903,26.84593,844,442,0,2,4,1,1,118
40,904,26.86326,829,440,0,4,2,2,1,238
40,905,26.88058,828,442,0,1,1,1,1,476
40,906,26.89791,842,448,0,1,4,5,2,952
40,907,26.91524,842,438,0,1,9,2,2,1904
40,908,26.93257,861,446,0,1,19,1,2,951
40,909,26.94990,853,428,0,1,40,2,2,475
40,910,26.96723,869,448,0,1,81,1,2,237
40,911,26.98456,815,408,0,1,164,2,2,118
40,912,27.00189,813,402,0,2,82,5,1,59
40,913,27.01921,804,396,0,1,2,1,1,29
40,914,27.03654,822,418,0,1,6,1,2,14
40,915,27.05387,822,416,0,1,14,1,2,6
40,916,27.07120,826,412,0,2,7,2,1,3
40,917,27.08853,832,419,1,1,2,1,1,6
40,918,27.10586,828,411,1,2,1,2,1,13
40,919,27.12319,845,417,1,1,2,6,1,6
40,920,27.14052,857,448,0,1,5,3,2,22
40,921,27.15784,852,430,0,1,11,1,2,44
40,922,27.17517,830,418,0,2,5,1,1,90
40,923,27.19250,821,408,0,4,2,1,1,181
40,924,27.20983,862,432,0,1,1,1,1,362
40,925,27.22716,834,428,0,3,3,1,1,725
40,926,27.24449,838,434,0,6,1,1,1,362
40,927,27.26182,798,406,0,13,173,3,1,181
40,928,27.27914,841,422,0,26,86,1,1,90
40,929,27.29647,843,452,0,1,1,12,1,44
40,930,27.31380,858,446,0,1,3,6,2,22
40,931,27.33113,862,450,0,1,7,3,2,10
40,932,27.34846,904,480,0,2,3,1,1,4
40,933,27.36579,915,492,0,1,2,1,1,9
40,934,27.38312,866,438,0,1,6,7,2,20
40,935,27.40045,840,424,0,1,13,3,2,41
40,936,27.41777,828,426,0,2,6,1,1,20
40,937,27.43510,848,456,0,1,2,1,1,9
40,938,27.45243,872,446,0,2,1,2,1,4
40,939,27.46976,870,447,1,5,2,5,1,2
40,940,27.48709,847,445,1,1,1,2,1,4
40,941,27.50442,846,453,1,1,3,1,2,9
40,942,27.52175,864,453,1,2,1,1,1,4
40,943,27.53907,842,449,1,5,37,1,1,1
40,944,27.55640,864,444,0,1,1,2,1,3
40,945,27.57373,858,446,0,3,2,1,1,7
40,946,27.59106,870,444,0,6,1,2,1,3
40,947,27.60839,890,465,1,1,1,2,1,1
40,948,27.62572,867,455,1,1,3,1,2,3
40,949,27.64305,831,435,1,1,8,2,2,1
40,950,27.66038,841,440,0,1,17,1,2,3
40,951,27.67770,852,452,0,2,8,1,1,7
40,952,27.69503,832,418,0,4,4,2,1,3
40,953,27.71236,863,413,1,8,2,4,1,2
40,954,27.72969,857,425,1,16,1,8,1,4
40,955,27.74702,866,420,0,33,1,3,1,5
40,956,27.76435,845,438,0,67,1,1,1,2
60,1344,26.99901,1260,649,1,1,4,8,0,6
60,1345,27.01056,1254,631,1,2,2,17,1,2
60,1346,27.02211,1274,636,0,1,2,2,1,3
60,1347,27.03366,1256,638,0,1,5,1,2,7
60,1348,27.04522,1247,656,0,1,12,2,2,3
60,1349,27.05677,1231,663,1,2,6,5,1,8
60,1350,27.06832,1272,657,1,1,2,1,1,3
60,1351,27.07987,1291,680,0,2,1,2,1,2
60,1352,27.09143,1288,680,0,5,2,7,1,6
60,1353,27.10298,1235,654,0,10,1,15,1,3
60,1354,27.11453,1237,647,1,1,1,4,1,1
60,1355,27.12608,1239,651,1,1,3,2,2,4
60,1356,27.13763,1247,637,1,2,1,1,1,9
60,1357,27.14919,1224,625,1,1,2,3,1,4
60,1358,27.16074,1237,625,1,1,5,1,2,2
60,1359,27.17229,1292,662,0,1,12,26,2,8
60,1360,27.18384,1268,660,0,2,6,52,1,18
60,1361,27.19540,1234,656,0,1,2,1,1,9
60,1362,27.20695,1256,668,0,1,6,2,2,1
60,1363,27.21850,1261,676,0,2,3,4,1,4
60,1364,27.23005,1233,638,0,4,1,1,1,10
60,1365,27.24161,1267,658,0,1,1,1,1,5
60,1366,27.25316,1281,660,0,3,3,2,1,2
60,1367,27.26471,1284,645,1,6,1,1,1,3
60,1368,27.27626,1284,653,1,13,6,2,1,1
60,1369,27.28782,1299,663,1,26,3,4,1,58
60,1370,27.29937,1329,713,1,1,1,12,1,117
60,1371,27.31092,1313,711,1,3,1,5,1,58
60,1372,27.32247,1303,682,0,1,1,1,1,3
60,1373,27.33403,1296,686,0,1,4,2,2,6
60,1374,27.34558,1293,696,0,1,9,1,2,2
60,1375,27.35713,1274,667,1,1,20,1,2,3
60,1376,27.36868,1314,699,1,1,42,4,2,1
60,1377,27.38024,1279,665,1,2,21,9,1,15
60,1378,27.39179,1306,689,1,4,10,1,1,30
60,1379,27.40334,1258,655,1,1,1,1,1,14
60,1380,27.41489,1265,663,1,3,4,1,1,4
60,1381,27.42645,1270,647,1,6,2,3,1,10
60,1382,27.43800,1291,687,1,12,1,6,1,5
60,1383,27.44955,1224,620,0,25,1,2,1,5
60,1384,27.46110,1270,665,1,1,1,12,1,1
60,1385,27.47266,1286,690,0,1,3,6,2,5
60,1386,27.48421,1263,665,1,1,7,3,2,5
60,1387,27.49576,1272,665,1,1,15,1,2,2
60,1388,27.50731,1304,704,0,2,7,1,1,2
60,1389,27.51887,1268,661,1,1,2,1,1,2
60,1390,27.53042,1276,653,1,1,6,1,2,4
60,1391,27.54197,1250,685,1,2,3,3,1,8
60,1392,27.55352,1238,663,1,4,1,1,1,16
60,1393,27.56508,1248,669,1,1,1,1,1,7
60,1394,27.57663,1267,687,1,3,3,2,1,3
60,1395,27.58818,1251,666,0,6,1,1,1,1
60,1396,27.59973,1241,652,0,1,1,2,1,5
60,1397,27.61129,1263,649,1,3,2,8,1,10
60,1398,27.62284,1290,661,1,6,1,16,1,4
60,1399,27.63439,1260,630,0,1,1,2,1,2
60,1400,27.64594,1275,657,1,1,3,1,2,2
60,1401,27.65750,1302,670,0,1,8,2,2,5
60,1402,27.66905,1289,650,0,1,17,1,2,225
60,1403,27.68060,1294,675,1,2,8,1,1,2
60,1404,27.69215,1268,649,1,1,2,1,1,5
80,1792,27.19037,1693,888,0,1,3,145,0,9
80,1793,27.19903,1632,876,0,1,7,72,2,4
80,1794,27.20770,1650,887,1,2,3,1,1,46
80,1795,27.21636,1662,901,1,1,2,1,1,2
80,1796,27.22503,1655,900,0,1,6,8,2,2
80,1797,27.23369,1707,910,0,1,13,4,2,5
80,1798,27.24235,1723,900,0,2,6,1,1,11
80,1799,27.25102,1689,896,0,1,2,1,1,5
80,1800,27.25968,1663,876,0,2,1,2,1,2
80,1801,27.26835,1634,867,1,5,2,5,1,2
80,1802,27.27701,1584,847,1,1,1,2,1,39
80,1803,27.28568,1665,865,1,3,2,1,1,78
80,1804,27.29434,1665,875,1,1,1,1,1,157
80,1805,27.30300,1607,841,1,1,4,1,2,78
80,1806,27.31167,1641,857,1,2,2,2,1,38
80,1807,27.32033,1636,877,1,4,1,5,1,4
80,1808,27.32900,1632,870,0,9,1,2,1,2
80,1809,27.33766,1645,862,0,19,2,2,1,4
80,1810,27.34633,1673,884,0,1,1,9,1,9
80,1811,27.35499,1632,842,0,1,3,4,2,19
80,1812,27.36365,1659,866,0,1,7,2,2,39
80,1813,27.37232,1639,864,0,2,3,1,1,80
80,1814,27.38098,1677,902,0,1,2,1,1,160
80,1815,27.38965,1709,906,0,2,1,3,1,321
80,1816,27.39831,1714,922,0,5,1,1,1,643
80,1817,27.40698,1705,902,0,1,1,2,1,321
80,1818,27.41564,1706,900,0,3,2,1,1,160
80,1819,27.42430,1689,882,0,6,1,3,1,80
80,1820,27.43297,1719,902,0,13,1,1,1,40
80,1821,27.44163,1705,866,0,1,1,6,1,19
80,1822,27.45030,1713,894,0,3,1,2,1,9
80,1823,27.45896,1774,944,0,7,2,4,1,4
80,1824,27.46763,1741,932,0,1,1,3,1,1
80,1825,27.47629,1690,893,1,3,1,1,1,4
80,1826,27.48496,1690,903,1,1,1,1,1,9
80,1827,27.49362,1660,885,1,1,4,1,2,18
80,1828,27.50228,1643,859,1,2,2,3,1,8
80,1829,27.51095,1638,887,1,4,1,6,1,3
80,1830,27.51961,1669,891,1,1,1,1,1,7
80,1831,27.52828,1667,873,1,1,4,30,2,16
80,1832,27.53694,1698,897,1,2,2,60,1,33
80,1833,27.54561,1742,935,1,4,1,121,1,16
80,1834,27.55427,1701,899,1,9,1,60,1,8
80,1835,27.56293,1683,881,1,1,1,4,1,2
80,1836,27.57160,1716,896,0,3,1,1,1,2
80,1837,27.58026,1663,897,1,7,3,1,1,2
80,1838,27.58893,1698,913,1,1,1,3,1,4
80,1839,27.59759,1679,877,1,3,1,1,1,9
80,1840,27.60626,1704,891,1,1,1,1,1,4
80,1841,27.61492,1666,885,1,3,8,1,1,1
80,1842,27.62358,1707,902,0,6,4,2,1,3
80,1843,27.63225,1695,882,0,12,2,5,1,1
80,1844,27.64091,1736,859,1,24,1,10,1,14
80,1845,27.64958,1660,847,1,49,1,4,1,28
