4 50933711349085494626651651895391936726971187200 46653527179516058600845192870070131251252822016 4088867766240839623814891272419112710329026560000 3745262193016868931308061746500004874112221634560
5 43140261780108767321487699112802435011794716825584926720000 39514995514378099146102901547430316570938062132188599549952 21338562436224109864235594359509318366943380573656204820480000 19545389020783702926544613125464447139803246340261207138172928
6 1545656074770729463554544911883587198683666305014704229746666373120000 1415767784920999274082073362534816193172148027427690975626170143342592 2355724361926775686791837522815247801416413496202574561149101267927040000 2157762464890009227617840930649204688122535616630586013575674977042366464
7 17045685041836385325497223224567298020406764942082128458133406744826225706926080000 15613261027503399049527179732501082351428866832160310252587341572970578985697148928 160113466264453087003082584059286612294527631785093764946924107450075530176798720000000 146658426262693883710277082577361834261711073927281916149982357364040266589596385280000
8 340531134197864117249175670300079884181445140332486239024369294663160944407978965076040744960000 311914802671388911885399329690619022060554581765707206229313142717610893380489202782851024551936 19715082586696463765607700807033359288963055564273934656172004299829584955380141028476475420057600000 18058337335776370448498846659628644251779371705486908089125369070952488005300792624514275279794831360
9 232864566960142360213608210505674320929811510257175667267293737307901331424210931779162152062398937169920000 213295931438467600495412808615169149406606185085218869600213719681461268473942924546179766723469950293377024 83098134380278967449677274524296662780688799142032599623629453572203822896561613260661511856027136670225203200000 76115032032650615833498434126084152869402928487782271508952105384163630329167143746197898696203047373113009111040
10 4077236788525377548603349096316813218889434997744975277935153536156593039325457998076278174928523338530416870031360000 3734608617602863718187592696928904474592850434155703254896513248195225698001162302210120291351510381662994372222779392 8968344371632498841084081855948926430981116396527803439543853086812215713591143610825518138495386910364429104016285696000000 8214694881148279706889101153549641496091592216795189266370799999509032034257734596879208575214917244829976886956986368000000
11 616613761959859077705214497945600676864368153882645816009838137100417773377181172689587373895107841166129591069382552280104960000 564796990851412607830188928556569184084061896640903366288232831277454767129908457994102552875297213851657408209186155682030682112 4180199869497641003626294339506978770214126950262518655004400123042633176010689746188413963863547803016909898795505254730249918873600000 3828919257243940127089068938186075339040330343816800858029971029347504817561711736086582169721480831399207160770234877955013124929617920
12 71476288417072181234407760596881354382737302865537260742389385656534040513504954074431880622691473438010981952230507550309607795873514782720000 65469820989525797658282255397488446060275602558279576337531628371670913219101027498614701949301864287620584415891478260475000340917046460022784 2986895774371970945407392854400555179419993517416473560532456215890187064093343813386513101101036526578654930171420913329156349223437844076093440000000 2735893762718047071165782110443471891510135987089412181171451382176993610659322134820116503283180447219387305315335353415513734259546103619509321728000
13 1964725202219435422224151648877510959950694956045128276705089048653694654115655338779196044996188394304677537884925808190184216695916242647919341076480000 1799620687245881950052470927510262357833888346585000214789249119047941931433946858917197102741727806908624109147548012793537167269059205823529017411633152 506103484999059728715154106719505504412736349170715605040826160878544666923573065488424999121833196389437413351691909021011291607507111057940414896086201139200000 463573379352324994981290658412415872805997789519781362373653230359905767060123731948052553583736069722724536095387902275786651241740641346382738803652045261766656
14 3944705314922472170284641644060949566928081426603249687790416219107347142975015524889430213108723842590268861636006949248517710415103722132242589774397226368075038720000 3613214347636996075994461027529404879448582840174581545632330584209580293428506651878812841148852021214724683348461464173138253252078808863261766096759508037600939081728 6263766981000563272053178935392176022400638921504549030227734502446972015536841698222850561335793735667036795808762708749667964644637562376364934161209644086736618472767488000000 5737395044539826266725240874543262329169838558754860249284176830303596345891242492225300409422928537372820590048062302773970161891426576126630060972154282592501371451356956590080
