k,n,ok,brk,idx,parity,len,irat,pqat,pqnext,pqw5,pqw20,pqmax,logh11,logh22,logmz,logg0,incone,redst,jhi,rho,rho2,skew,loglam1,logcone,logq,v2qp,dinf,d2,q1,q2,q3,q4,q5,q6,q7,q8,q9,cY,cX,cIdx,intq
22.3500,6012,1,1,66196,0,127160,0.520577,6,8,70,78,609912,27.48274,0.00150,2.38301,0.00651,1,1,2,1.287172,1.000000,2.759965,-0.004020,-0.003978,14.957309,9926,0.000266,0.076512,52937,21652,11749,7531,5029,3745,2909,2201,19406,1,1,1,1
22.4000,6012,1,1,66465,1,127599,0.520894,1,5,27,27,422248,27.51733,0.00150,2.38301,0.00651,0,1,3,2.215629,1.737498,1.737498,-0.021276,-0.021143,14.940309,9623,0.001415,0.074260,53107,21622,11902,7517,5129,3870,2883,2326,19242,1,1,1,1
23.0000,6012,1,1,67402,0,129198,0.521699,5,4,41,83,495630,27.93331,0.00150,2.38301,0.00651,1,1,2,1.256009,1.000000,1.427181,-0.229249,-0.229211,14.732056,6015,0.015559,0.047074,53390,22127,12119,7531,5283,3776,2993,2294,19684,1,1,1,1
23.9000,6012,1,1,68943,1,132533,0.520199,1,1,140,140,1718811,28.55705,0.00150,2.38301,0.00651,0,0,3,1.410998,1.002074,1.002074,-0.541090,-0.541033,14.420338,605,0.037519,0.004837,55172,22225,12368,7857,5379,3868,3032,2367,20264,1,1,1,1
22.3500,6024,1,1,66277,1,127287,0.520694,2,5,25,63,99460,27.48198,0.00173,2.37802,0.00751,0,1,3,1.512658,1.428902,1.428902,-0.004206,-0.004138,14.957356,9945,0.000277,0.076505,52799,21618,11834,7582,5034,3758,2836,2474,19351,1,1,1,1
22.4000,6024,1,1,66474,0,127908,0.519706,1,8,331,331,53162,27.51662,0.00173,2.37802,0.00751,1,1,2,1.373364,1.000000,3.886518,-0.021608,-0.021556,14.939869,9644,0.001443,0.074276,53147,21722,12140,7570,5138,3836,2852,2298,19204,1,1,1,1
23.0000,6024,1,1,67985,1,130192,0.522194,4,2,12,25,380845,27.93257,0.00173,2.37802,0.00751,0,1,3,1.707042,1.248296,1.248296,-0.229493,-0.229404,14.732080,6029,0.015572,0.047089,54048,21942,12361,7703,5414,3832,2922,2375,19594,1,1,1,1
23.9000,6024,1,1,69073,1,132921,0.519658,9,2,12,195,215909,28.55634,0.00173,2.37802,0.00751,0,1,3,1.413238,1.133485,1.133485,-0.541364,-0.541307,14.419729,608,0.037539,0.004852,55314,22427,12594,7784,5344,3881,3007,2355,20214,1,1,1,1
22.3500,6036,1,1,66677,1,127867,0.521460,1,4,16,262,147603,27.47391,0.00216,2.37656,0.00866,0,0,3,2.023818,1.490430,1.490430,-0.008006,-0.007890,14.953442,9962,0.000528,0.076504,53170,21918,11724,7577,5209,3755,2884,2270,19359,1,1,1,1
22.4000,6036,1,1,66559,1,127677,0.521312,1,1,5,180,58408,27.50859,0.00216,2.37656,0.00866,0,1,3,1.655946,1.254778,1.254778,-0.025328,-0.025245,14.936198,9659,0.001690,0.074262,53077,21569,11890,7427,5200,3754,2905,2291,19563,1,1,1,1
23.0000,6036,1,1,67820,0,130011,0.521652,1,3,28,204,227272,27.92452,0.00216,2.37656,0.00866,1,0,2,1.292526,1.000000,1.616253,-0.233321,-0.233279,14.728171,6040,0.015839,0.047094,54037,21860,12186,7804,5303,3903,2910,2389,19618,1,1,1,1
23.9000,6036,1,1,69264,0,133058,0.520559,2,6,19,77,225199,28.54831,0.00216,2.37656,0.00866,1,0,3,1.139762,1.000000,1.124653,-0.545182,-0.545160,14.416320,605,0.037815,0.004819,55251,22670,12274,7836,5410,4007,2961,2344,20304,1,1,1,1
