k,n,ok,brk,idx,parity,len,irat,pqat,pqnext,pqw5,pqw20,pqmax,logh11,logh22,logmz,logg0,incone,redst,jhi,rho,rho2,skew,loglam1,logcone,logq,v2qp,dinf,d2,q1,q2,q3,q4,q5,q6,q7,q8,q9,cY,cX,cIdx,intq
22.3500,2082,1,1,22983,1,43926,0.523233,1,147,147,147,26789,27.44899,0.00758,2.35607,0.02212,0,1,3,2.283567,1.760378,1.686215,-0.018649,-0.018252,14.942407,3439,0.001221,0.076623,18218,7408,4102,2598,1755,1261,1047,782,6754,1,1,1,1
22.4000,2082,1,1,23120,0,44258,0.522403,1,3,103,103,22889,27.48361,0.00758,2.35607,0.02212,1,1,2,1.387877,1.000000,2.110674,-0.036020,-0.035862,14.924966,3337,0.002403,0.074437,18287,7644,4178,2563,1761,1346,1011,789,6678,1,1,1,1
23.0000,2082,1,1,23383,1,44913,0.520640,1,20,20,531,61751,27.89977,0.00758,2.35607,0.02212,0,1,3,14.095491,10.613549,10.613549,-0.244486,-0.243215,14.716488,2090,0.016527,0.047281,18728,7599,4121,2729,1805,1323,991,792,6824,1,1,1,1
23.9000,2082,1,1,23833,1,46032,0.517760,2,116,116,516,2061458,28.52334,0.00758,2.35607,0.02212,0,1,3,49.952622,44.989688,44.989688,-0.556616,-0.554737,14.406524,212,0.038506,0.004899,19213,7848,4160,2837,1815,1332,1050,806,6970,1,1,1,1
22.3500,2083,1,1,22954,0,44244,0.518817,4,51,51,51,33145,27.44454,0.00724,2.34552,0.03043,1,1,2,1.384916,1.000000,23.868862,-0.021899,-0.021743,14.939281,3441,0.001455,0.076646,18384,7529,4193,2565,1819,1280,1009,819,6645,1,1,1,1
22.4000,2083,1,1,23080,0,44277,0.521276,1,3,5,18,61556,27.47915,0.00724,2.34552,0.03043,1,0,2,1.355890,1.000000,1.908390,-0.038590,-0.038444,14.922614,3336,0.002576,0.074390,18412,7474,4142,2712,1813,1322,993,771,6637,1,1,1,1
23.0000,2083,1,1,23042,0,44499,0.517821,2,7,31,65,147834,27.89510,0.00724,2.34552,0.03043,1,1,2,1.177679,1.000000,1.650436,-0.246529,-0.246451,14.713958,2086,0.016749,0.047176,18289,7456,4251,2727,1806,1288,1000,804,6877,1,1,1,1
23.9000,2083,1,1,23846,0,45828,0.520348,1,16,16,62,35029,28.51870,0.00724,2.34552,0.03043,1,1,3,1.058050,1.000000,1.096729,-0.558227,-0.558200,14.401687,214,0.038759,0.004945,18946,7763,4314,2686,1876,1355,1041,846,7000,1,1,1,1
22.3500,2084,1,1,22990,0,44164,0.520572,1,1,26,109,116044,27.45572,0.00757,2.36019,0.02210,1,1,3,1.143844,1.000000,1.082506,-0.015259,-0.015195,14.944682,3443,0.001017,0.076626,18298,7438,4160,2616,1894,1388,1004,770,6595,1,1,1,1
22.4000,2084,1,1,23214,0,44206,0.525144,1,15,15,27,32994,27.49031,0.00757,2.36019,0.02210,1,1,2,1.375776,1.000000,7.141655,-0.033033,-0.032880,14.927923,3338,0.002203,0.074373,18393,7498,4127,2601,1788,1357,1015,784,6642,1,1,1,1
23.0000,2084,1,1,23431,1,44740,0.523727,9,28,28,28,71271,27.90640,0.00757,2.36019,0.02210,0,1,3,2.849761,2.303367,2.303367,-0.240801,-0.240298,14.720847,2087,0.016324,0.047154,18500,7608,4171,2634,1786,1333,1009,818,6880,1,1,1,1
23.9000,2084,1,1,23959,1,45769,0.523488,2,242,242,242,30643,28.53003,0.00757,2.36019,0.02210,0,1,3,35.412079,34.583854,34.583854,-0.553272,-0.551561,14.409698,212,0.038277,0.004893,18836,7896,4227,2704,1888,1363,1029,790,7035,1,1,1,1
22.3500,2085,1,1,22655,1,43919,0.515848,1,10,10,24,59405,27.44546,0.00565,2.34449,0.02841,0,1,3,2.311506,1.972281,1.972281,-0.021401,-0.021000,14.940182,3440,0.001406,0.076546,18053,7570,4182,2506,1812,1290,963,780,6762,1,1,1,1
22.4000,2085,1,1,23056,0,44165,0.522054,1,13,364,364,133668,27.48037,0.00565,2.34449,0.02841,1,0,2,1.248181,1.000000,4.077359,-0.039027,-0.038921,14.922218,3337,0.002608,0.074343,18357,7530,4054,2552,1739,1328,1004,841,6759,1,1,1,1
23.0000,2085,1,1,23267,1,44822,0.519109,7,4,7,97,186520,27.89626,0.00565,2.34449,0.02841,0,0,3,1.532173,1.417606,1.417606,-0.246711,-0.246507,14.713537,2084,0.016754,0.047087,18618,7473,4261,2618,1841,1324,1026,786,6874,1,1,1,1
23.9000,2085,1,1,23825,1,46022,0.517698,1,13,13,120,8171817,28.51993,0.00565,2.34449,0.02841,0,1,3,9.826015,7.179138,7.179138,-0.558942,-0.557846,14.402009,208,0.038734,0.004801,19001,7930,4348,2683,1872,1423,965,815,6984,1,1,1,1
22.3500,2086,1,1,23032,0,44056,0.522801,2,8,13,15,13525,27.45433,0.00498,2.34188,0.02373,1,0,2,1.148443,1.000000,1.480383,-0.017447,-0.017381,14.943813,3446,0.001163,0.076624,18142,7531,4045,2595,1800,1392,1051,765,6734,1,1,1,1
22.4000,2086,1,1,23047,1,44274,0.520566,2,70,70,167,101679,27.48889,0.00498,2.34188,0.02373,0,0,3,2.909565,2.499814,2.499814,-0.034852,-0.034340,14.926033,3341,0.002301,0.074378,18232,7592,4233,2586,1860,1325,980,833,6632,1,1,1,1
23.0000,2086,1,1,23408,0,44993,0.520270,73,6,73,112,20607,27.90491,0.00498,2.34188,0.02373,1,0,2,1.178952,1.000000,1.203654,-0.242685,-0.242606,14.718572,2089,0.016483,0.047161,18764,7518,4209,2598,1856,1359,1008,887,6793,1,1,1,1
23.9000,2086,1,1,23676,0,45649,0.518665,1,13,56,322,64216,28.52861,0.00498,2.34188,0.02373,1,1,2,1.117236,1.000000,1.735387,-0.554627,-0.554574,14.405643,213,0.038497,0.004913,18817,7712,4286,2659,1835,1332,1031,801,7175,1,1,1,1
