n,v1,v2,v3,logX,logV,logZform,logNform
50,1,1,1,27.522324,29.227859,13.098618,14.281301
100,1,1,1,27.422639,29.177889,12.992616,14.223805
150,1,1,1,27.502022,29.278465,13.069890,14.321868
200,1,1,1,27.472679,29.256254,13.039492,14.298399
250,1,1,1,27.612704,29.403330,13.178884,14.444721
300,1,1,1,27.550024,29.345350,13.115781,14.386238
350,1,1,1,27.549772,29.346476,13.115228,14.387004
400,1,1,1,27.630099,29.429568,13.195328,14.469827
450,1,1,1,27.550669,29.352289,13.115722,14.392339
500,1,1,1,27.541586,29.344927,13.106498,14.384809
550,1,1,1,27.422212,29.226961,12.987009,14.266706
600,1,1,1,27.531098,29.337021,13.095800,14.376651
650,1,1,1,27.532281,29.339197,13.096902,14.378730
700,1,1,1,27.508538,29.315315,13.073089,14.354765
750,1,1,1,27.525488,29.333068,13.089978,14.372447
800,1,1,1,27.536087,29.344370,13.100524,14.383686
850,1,1,1,27.547560,29.356464,13.111951,14.395724
900,1,1,1,27.479788,29.289243,13.044137,14.328453
950,1,1,1,27.540750,29.350699,13.105063,14.389865
1000,1,1,1,27.512805,29.323198,13.077084,14.362325
1050,1,1,1,27.549011,29.359805,13.113260,14.398896
1100,1,1,1,27.547103,29.358262,13.111324,14.397320
1150,1,1,1,27.559072,29.370566,13.123269,14.409594
1200,1,1,1,27.530559,29.342358,13.094733,14.381359
1250,1,1,1,27.492280,29.304361,13.056433,14.343336
1300,1,1,1,27.541331,29.353671,13.105464,14.392623
1350,1,1,1,27.515778,29.328358,13.079893,14.367289
1400,1,1,1,27.514513,29.326821,13.078611,14.365732
1450,1,1,1,27.513613,29.326147,13.077696,14.365039
1500,1,1,1,27.514164,29.326907,13.078232,14.365782
1550,1,1,1,27.527896,29.340836,13.091950,14.379694
1600,1,1,1,27.536375,29.349499,13.100416,14.388342
1650,1,1,1,27.573488,29.386784,13.137517,14.425613
1700,1,1,1,27.566387,29.379847,13.130405,14.418662
1750,1,1,1,27.566012,29.379625,13.130020,14.418428
1800,1,1,1,27.556412,29.370170,13.120410,14.408961
1850,1,1,1,27.533200,29.347095,13.097188,14.385874
1900,1,1,1,27.521863,29.335888,13.085842,14.374657
1950,1,1,1,27.487945,29.302093,13.051916,14.340852
2000,1,1,1,27.512765,29.327030,13.076727,14.365779
2050,1,1,1,27.517327,29.331704,13.081282,14.370444
2100,1,1,1,27.537400,29.351883,13.101347,14.390614
2150,1,1,1,27.535264,29.349847,13.099204,14.388570
2200,1,1,1,27.564054,29.378734,13.127988,14.417449
2250,1,1,1,27.550084,29.364856,13.114011,14.403563
2300,1,1,1,27.553880,29.368741,13.117801,14.407440
2350,1,1,1,27.541828,29.356773,13.105743,14.395466
2400,1,1,1,27.482993,29.298019,13.046903,14.336705
2450,1,1,1,27.507148,29.322251,13.071052,14.360931
2500,1,1,1,27.528964,29.344142,13.092863,14.382816
2550,1,1,1,27.542961,29.358211,13.106855,14.396878
2600,1,1,1,27.542035,29.357354,13.105924,14.396016
2650,1,1,1,27.564692,29.380077,13.128576,14.418733
2700,1,1,1,27.567876,29.383324,13.131756,14.421976
2750,1,1,1,27.554500,29.369758,13.118376,14.408404
2800,1,1,1,27.527336,29.342658,13.091208,14.381299
2850,1,1,1,27.537005,29.352388,13.100873,14.391025
2900,1,1,1,27.535301,29.350743,13.099164,14.389375
2950,1,1,1,27.537299,29.352799,13.101159,14.391427
3000,1,1,1,27.546132,29.361688,13.109989,14.400311
