n,v1,v2,v3,logX,logV,logZform,logNform
500,1,1,1,27.541586,29.344927,13.106498,14.384809
1000,1,1,1,27.512805,29.323198,13.077084,14.362325
1500,1,1,1,27.514164,29.326907,13.078232,14.365782
2000,1,1,1,27.512765,29.327030,13.076727,14.365779
2500,1,1,1,27.528964,29.344142,13.092863,14.382816
3000,1,1,1,27.546132,29.361688,13.109989,14.400311
3500,1,1,1,27.507245,29.323268,13.071071,14.361855
4000,1,1,1,27.558878,29.375253,13.122682,14.413813
4500,1,1,1,27.550319,29.366966,13.114105,14.405506
5000,1,1,1,27.520566,29.337431,13.084338,14.375954
5500,1,1,1,27.538796,29.355714,13.102556,14.394223
6000,1,1,1,27.534550,29.351627,13.098301,14.390124
6500,1,1,1,27.533469,29.350682,13.097212,14.389169
7000,1,1,1,27.541909,29.359236,13.105644,14.397716
7500,1,1,1,27.548908,29.366336,13.112638,14.404809
8000,1,1,1,27.526259,29.343775,13.089984,14.382241
8500,1,1,1,27.525042,29.342635,13.088762,14.381096
9000,1,1,1,27.532805,29.350467,13.096521,14.388922
9500,1,1,1,27.551128,29.368851,13.114840,14.407302
10000,1,1,1,27.556483,29.374262,13.120192,14.412709
