k,n,npq,a1,a2,a3,a4,a5,a6,a7,a8,a9plus
22.4000,4,67,29,10,2,7,1,1,1,1,15
23.0000,4,72,32,7,8,4,4,3,2,3,9
23.9000,4,73,30,12,7,5,3,3,3,1,9
22.4000,5,78,30,10,9,2,6,4,1,1,15
23.0000,5,93,33,18,7,11,6,3,2,2,11
23.9000,5,92,44,8,10,4,5,4,2,1,14
22.4000,6,111,52,15,9,7,4,4,3,0,17
23.0000,6,101,33,30,5,3,1,5,1,2,21
23.9000,6,116,39,23,11,13,10,2,2,2,14
22.4000,7,146,66,23,10,16,6,2,4,4,15
23.0000,7,142,66,14,18,10,10,4,4,0,16
23.9000,7,139,51,28,14,9,6,5,4,4,18
22.4000,8,129,48,21,9,10,8,7,2,3,21
23.0000,8,150,59,24,19,3,9,7,2,6,21
23.9000,8,163,66,32,17,8,13,4,3,3,17
22.4000,9,168,71,29,10,11,4,7,3,2,31
23.0000,9,175,69,31,18,7,8,6,6,4,26
23.9000,9,196,87,29,22,8,12,8,4,3,23
22.4000,10,188,76,23,22,12,10,7,5,6,27
23.0000,10,202,90,29,24,11,4,5,3,2,34
23.9000,10,198,86,31,17,14,5,7,4,4,30
22.4000,11,212,91,37,18,13,9,8,5,3,28
23.0000,11,218,90,44,17,14,6,5,8,2,32
23.9000,11,221,90,35,22,8,9,13,3,8,33
22.4000,12,244,109,38,23,20,9,6,5,4,30
23.0000,12,232,88,44,27,12,9,6,8,4,34
23.9000,12,246,99,53,17,19,9,11,4,2,32
22.4000,13,251,101,44,26,11,8,6,8,4,43
23.0000,13,274,123,48,23,11,16,10,4,7,32
23.9000,13,259,91,53,30,13,17,7,6,2,40
22.4000,14,307,142,56,34,11,12,5,3,3,41
23.0000,14,289,124,55,24,21,12,3,9,2,39
23.9000,14,283,103,59,20,21,7,12,7,8,46
22.4000,15,309,135,47,28,19,15,6,6,2,51
23.0000,15,286,119,38,27,15,15,6,2,6,58
23.9000,15,322,125,56,33,29,7,14,9,5,44
22.4000,16,323,144,53,22,15,9,9,10,8,53
23.0000,16,332,137,59,33,15,13,11,10,10,44
23.9000,16,324,135,48,35,11,16,14,6,7,52
22.4000,17,334,150,36,32,31,15,8,10,1,51
23.0000,17,331,139,44,32,17,20,10,6,5,58
23.9000,17,338,143,60,20,17,14,9,10,6,59
22.4000,18,365,161,54,39,20,7,13,8,3,60
23.0000,18,375,150,76,35,23,9,13,3,7,59
23.9000,18,369,151,52,41,23,14,12,5,8,63
22.4000,19,380,159,72,31,16,14,13,10,4,61
23.0000,19,404,171,67,41,25,18,9,4,11,58
23.9000,19,413,172,74,44,24,16,9,5,12,57
