n,logg0,v2g0,oddpart
4,9.0109,13,1
5,15.6012,16,91
6,13.6553,16,13
7,12.4766,18,1
8,12.7951,15,11
9,15.0416,18,13
10,15.0416,18,13
11,16.8834,19,41
12,14.4226,18,7
13,19.3352,21,119
14,13.8629,20,1
15,15.2492,22,1
16,11.7835,17,1
17,18.8258,20,143
18,19.6948,20,341
19,20.8458,21,539
20,13.8629,20,1
21,15.9424,23,1
22,14.5561,21,1
23,15.9424,23,1
24,13.8629,20,1
25,15.9424,23,1
26,17.8883,23,7
27,15.9424,23,1
28,15.2492,22,1
29,21.4396,25,61
30,23.8126,24,1309
31,18.0218,26,1
32,15.5677,19,11
33,17.1951,22,7
34,15.2492,22,1
35,17.8883,23,7
36,17.1951,22,7
37,17.3287,25,1
38,15.9424,23,1
39,17.3287,25,1
40,23.2186,22,2891
41,19.7266,25,11
42,17.3287,25,1
43,20.7131,24,59
44,15.9424,23,1
45,18.0218,26,1
46,23.3521,25,413
47,23.4941,27,119
48,17.6471,22,11
49,28.6940,25,86273
50,17.3287,25,1
51,18.0218,26,1
52,27.3320,25,22099
53,19.4081,28,1
54,19.2746,25,7
55,18.7150,27,1
56,21.5700,24,139
57,21.2799,27,13
58,21.2799,27,13
59,21.2799,27,13
60,24.5571,26,689
61,24.6121,29,91
62,29.2708,28,19201
63,25.7573,30,143
64,22.7875,21,3757
65,19.2005,24,13
66,22.0337,24,221
67,27.7831,25,34697
68,23.0923,24,637
69,21.2799,27,13
70,19.8936,25,13
71,21.2799,27,13
72,19.2005,24,13
73,21.2799,27,13
74,23.6778,27,143
75,27.7954,26,17563
76,19.8936,25,13
77,21.9731,28,13
78,21.2799,27,13
79,24.6121,29,91
80,22.6345,24,403
81,28.7479,27,22763
82,23.2258,27,91
83,21.9731,28,13
84,23.2258,27,91
85,27.5361,30,847
86,18.0218,26,1
87,19.4081,28,1
88,19.7266,25,11
89,25.6978,28,539
90,25.4649,28,427
91,21.3540,28,7
92,20.6609,27,7
93,26.4539,30,287
94,22.0472,29,7
95,25.3794,31,49
96,22.9252,24,539
97,26.4198,27,2219
98,21.5482,27,17
99,23.4857,28,59
100,18.7150,27,1
101,22.7403,30,7
102,25.8836,28,649
103,22.7403,30,7
104,21.1129,27,11
105,24.8720,30,59
106,26.4184,30,277
107,24.7505,28,209
108,24.0573,27,209
109,28.7561,30,2869
110,24.9916,29,133
111,26.8675,31,217
112,18.0218,26,1
113,29.0344,29,7579
114,22.6662,29,13
115,28.5905,30,2431
116,22.6662,29,13
117,28.6375,32,637
118,25.0641,29,143
119,26.4504,31,143
120,21.9731,28,13
