== kernel identity for rational surrogates ==
e,k,n,zerof,equal,inlat,logcoordZ,logpred,t,g,logkerlen,logpredlen
2,22.4000,6,1,1,1,25.971152,25.971152,1,5111808,23.454404,23.753031
2,23.9000,6,1,1,1,24.931432,24.931432,1,5111808,22.414683,22.713310
2,22.4000,7,1,1,1,26.830032,26.830032,1,1572864,24.841198,25.097164
2,23.9000,7,1,1,1,25.740800,25.740800,1,1572864,23.751967,24.007933
2,22.4000,8,1,1,1,27.464381,27.464381,1,2162688,25.684345,25.908315
2,23.9000,8,1,1,1,26.424660,26.424660,1,2162688,24.644624,24.868594
2,22.4000,9,1,1,1,27.661560,27.661560,1,20447232,25.829695,26.028779
2,23.9000,9,1,1,1,26.583331,26.583331,1,20447232,24.751466,24.950550
2,22.4000,10,1,1,1,27.384726,27.384726,1,20447232,25.736048,25.915224
2,23.9000,10,1,1,1,26.345005,26.345005,1,20447232,24.696327,24.875503
2,22.4000,11,1,1,1,27.418159,27.418159,1,128974848,25.751927,25.914814
2,23.9000,11,1,1,1,26.409945,26.409945,1,128974848,24.743713,24.906600
2,22.4000,12,1,1,1,28.000193,28.000193,1,11010048,26.677881,26.827194
2,23.9000,12,1,1,1,26.960472,26.960472,1,11010048,25.638160,25.787474
2,22.4000,13,1,1,1,27.797830,27.797830,1,294981206016,25.792938,26.337166
2,23.9000,13,1,1,1,26.784769,26.784769,1,294981206016,24.779877,25.324104
2,22.4000,14,1,1,1,28.474223,28.474223,1,6291456,27.380785,27.508768
2,23.9000,14,1,1,1,27.434503,27.434503,1,6291456,26.341065,26.469048
2,22.4000,15,1,1,1,28.295132,28.295132,1,25165824,27.182170,27.301621
2,23.9000,15,1,1,1,27.278516,27.278516,1,25165824,26.165554,26.285005
2,22.4000,16,1,1,1,27.621224,27.621224,1,786432,26.794431,26.906416
2,23.9000,16,1,1,1,26.581503,26.581503,1,786432,25.754710,25.866695
2,22.4000,17,1,1,1,28.108215,28.108215,1,899678208,26.915805,27.021202
2,23.9000,17,1,1,1,27.048107,27.048107,1,899678208,25.855697,25.961095
2,22.4000,18,1,1,1,28.516052,28.516052,1,2145386496,27.341607,27.441149
2,23.9000,18,1,1,1,27.476331,27.476331,1,2145386496,26.301886,26.401429
2,22.4000,19,1,1,1,28.929468,28.929468,1,6782189568,27.756258,27.850561
