k,n,logidx,halflogcov,logl1,logl2,skew,incone,logcone,rho,rho2,logq,jhi,mrg,ok,cflen,cfmax,cfidx,cfkind,cfpq,logh11,h22,logsinth,pqnext,cvkind,cvidx,cvt
22.4000,4,24.370373,-1.533395,-1.529968,-1.529676,1.001168,1,-1.470463,1.268737,1.000000,13.246049,3,1.591 e-2,1,68,65,38,0,0,23.503939,32,-0.028582,3,0,38,0
23.0000,4,24.890233,-1.793325,-1.874515,-1.704502,1.973981,0,-1.643750,2.516982,1.973981,13.072762,3,9.099 e-3,1,73,147,39,0,0,24.023799,32,-0.030536,3,0,40,0
23.9000,4,25.410093,-2.053255,-2.051075,-2.047390,1.014852,1,-1.964787,1.412207,1.000000,12.662113,3,1.139 e-3,1,74,877,40,0,0,24.543659,32,-0.032184,1,0,40,0
22.4000,5,23.796853,-1.959229,-2.052150,-1.864631,2.553828,1,-1.989590,1.367246,1.000000,12.594280,2,1.121 e-2,1,79,89,40,0,0,22.965077,64,-0.008387,5,0,40,0
23.0000,5,24.212742,-2.167174,-2.190779,-2.133380,1.332423,1,-2.128220,1.367246,1.000000,12.455651,3,7.628 e-2,1,94,44,44,0,0,23.380965,64,-0.050939,2,0,44,0
23.9000,5,24.767259,-2.444432,-2.603794,-2.284963,4.924168,1,-2.552267,1.293869,1.000000,12.189850,2,1.433 e-2,1,93,69,42,0,0,23.935483,64,-0.000539,13,0,42,0
22.4000,6,24.072281,-1.734429,-1.739176,-1.723903,1.095970,1,-1.683380,1.397624,1.000000,13.021919,3,7.660 e-3,1,112,222,56,0,0,23.494658,32,-0.034684,2,0,56,0
23.0000,6,24.534379,-1.965479,-1.984305,-1.938674,1.314930,0,-1.881292,1.855360,1.314930,12.859133,3,1.913 e-3,1,102,521,49,0,0,23.956756,32,-0.047866,2,0,50,0
23.9000,6,25.112001,-2.254290,-2.270650,-2.227723,1.293770,0,-2.194557,1.578630,1.293770,12.614574,3,1.063 e-2,1,117,147,55,0,0,24.534379,32,-0.061244,2,0,56,0
22.4000,7,25.072937,-1.217525,-1.271460,-1.163336,2.131594,0,-1.130899,2.674940,2.131594,13.684085,3,2.110 e-2,1,147,206,69,0,0,24.577832,32,-0.001772,5,0,70,0
23.0000,7,25.568042,-1.465077,-1.493542,-1.435782,1.498280,0,-1.415329,1.728910,1.498280,12.857640,3,6.659 e-3,1,143,161,69,0,0,25.072937,32,-0.005814,3,0,68,0
23.9000,7,26.162168,-1.762140,-2.011061,-1.513210,32.621160,1,-2.009455,1.011310,1.000000,12.263513,2,3.487 e-4,1,140,2867,60,0,0,25.667063,32,-0.000064,2867,0,60,0
22.4000,8,25.794648,-0.928380,-0.925593,-0.918132,1.061505,1,-0.909881,1.133941,1.000000,13.954686,3,3.443 e-3,1,130,390,74,0,0,25.274788,64,-0.104269,1,0,76,0
23.0000,8,26.227865,-1.144988,-1.172625,-1.111227,1.634247,0,-1.071848,2.239419,1.634662,13.739851,3,6.324 e-3,1,151,157,85,0,0,25.708005,64,-0.049001,6,0,86,0
23.9000,8,26.834369,-1.448240,-1.463926,-1.430244,1.309248,1,-1.441455,1.196933,1.000000,13.401985,2,7.583 e-3,1,164,131,86,0,0,26.314508,64,-0.018487,5,0,86,0
22.4000,9,25.688037,-0.958740,-0.965543,-0.944437,1.209198,1,-0.927309,1.410739,1.000000,13.881039,3,8.335 e-3,1,169,314,82,0,0,25.148922,128,-0.067501,1,0,82,0
23.0000,9,26.150135,-1.189789,-1.201306,-1.178262,1.230470,0,-1.158864,1.465182,1.230470,13.697683,3,7.583 e-3,1,176,251,95,0,0,25.611020,128,-0.000101,5,0,96,0
23.9000,9,26.766266,-1.497855,-1.504671,-1.489308,1.148281,1,-1.470130,1.364608,1.000000,13.357746,3,2.512 e-2,1,197,205,104,0,0,26.227151,128,-0.015578,1,0,104,0
22.4000,10,25.528979,-1.088015,-1.100693,-1.072003,1.332292,1,-1.074882,1.294487,1.000000,13.686317,3,5.296 e-3,1,189,188,92,0,0,24.803986,1408,-0.033328,3,0,92,0
23.0000,10,25.944867,-1.295959,-1.334949,-1.256900,2.182543,1,-1.318122,1.183255,1.000000,13.550017,2,5.491 e-3,1,203,1832,102,0,0,25.219875,1408,-0.000691,10,0,102,0
23.9000,10,26.568700,-1.607875,-1.603473,-1.600516,1.030013,0,-1.563265,1.494929,1.057265,13.256847,3,5.402 e-3,1,199,868,103,0,0,25.843707,1408,-0.117606,3,0,104,0
22.4000,11,25.300482,-1.147550,-1.293500,-1.001597,24.802372,0,-0.984451,29.950191,24.802372,13.907583,3,5.312 e-6,1,213,188254,99,0,0,24.985415,32,-0.000027,53,0,100,0
23.0000,11,25.741576,-1.368096,-1.378322,-1.356513,1.271115,1,-1.353246,1.317627,1.000000,13.507218,3,1.700 e-4,1,219,5882,106,0,0,25.426509,32,-0.014929,2,0,106,0
23.9000,11,26.308696,-1.651657,-1.769768,-1.533544,13.443046,1,-1.766059,1.041643,1.000000,13.123826,2,2.478 e-4,1,222,315,112,0,0,25.993629,32,-0.000006,315,0,112,0
