# NN=2000 MM=6150
# eta_N mod 5^6149 = 70672120525562630129946356094253550558993908192765501001298526013139594801724471328908632216057699189189180950842304109090874909017353338934940441437550954123415226568718823337444775159360277220080841225585688668371271161856647174072076143425753271247157021936066908815064977069977917961950152344803617046661603532259441736841998782805173702912688814160277904211689386926708652951426452952428153639430963099276702993865946151474101184616761031106555583109809023439897226167390379080483580883598148827235119679751042682484323386434331322308364736440911730552848847878011906053434917127497136151201183467157664976970797939199741136372040664909109657766614719362008031964074240425628916908752617813629739762096972023300146047171050353215966166754189761165935852496367897795161394022800893697805833309187024239356260389506329738215865002369448265280098291971495701427025140199886661113130853378939998960367175958634457746484409737146230355916630402291955003602363233732670680009465972598297405118553556839232926740174755009704951643022294824649190553895289237477191219019144631137389309538700495610968232080980011106160924969297985273644948912931197828232181986697698106480450954897311173026752586608736201971694825145921067828891697437866308585165132527993684729864836225240607010250139360585762124884974724842570357286390432537539149579557705646069123153918718274062016278858653087743092684298650429492681237266043734930177671403415159181674439484372002396940374510601703426585903752208560885138536348150087890883206882298534095664715960830189996681210085066186435427259476725186528348207988475464946063935611105278346737576513055578992864182112003300110020325859430642295060904503021503628428698637370769303727716939734623829289773316112923473085292458500948976542306621028705935294591305812609423003381719803337748108181344086794300909327780592541002164710279975856498733948803057043716080199462591601324228584717615489471572640472235063634737294876032682547184157698256587798795321659738978839267593173073688151714990345370517213587422494304595495746389494290366778556060509511045518088913464194960855656210612084314155038631099295151976551853717357301139755029198878864347206999884602961576259899895849401827228345375534125866818444848809478459798654109339273901151204661451891027929562128950883864355761711819298337976840590724897057690053003160901987424419197550042882797598424747101713420300494056012435400954010738699250768509945827303610237861889633924961655151050928311640478355887285768131155404238433762177732201631451747357226775220931777829267691708488419150357538658193107237696952814919898718698510224645549911135322909120207323207272945457184678597925474117566827904058018188924983148731951592288443671589204509757377166280327888397175878403986998707838472221215648727888105960353123140985955573105548060808159187286559489302749835304226147926217486006683487552104767823767958431748196208326283651828062438477202049811818021503171753756046439814725229175881339046143106365226064465716457151863653756229068299631510576907678598602290647400908758878232365152443565694335942504100397295122135711323434157042565843033509661236472558009673253831592052960166200947307124876773589672018113884429495473692675073940111419350967679616757693657756347815079701426408303270004554660003481523004470279394600227621535761426984051297204011144584406875214656454379477417637146958643521989793976129717120243733897571708943635016950918421872554956390557126912398287606614750915335210580335197398032457558534411291890912837261010543705869747118533120341603837449894310640706128783331691076270633298785694478777777786844500739107669559772812040034887583526080808684366250575472384725378158747341508742646181895024638905124910036692180348075978435013488731575109426255785380529851331731498160862726165400872581962742752594135358510784386496690223605650393015222299385695333684065640551918501889755170205878449110776366866930235455943437539678684412255696137112208422791965633594601958302436257094137041220325349430736892043454942868484303391330225408059523205745030202204100756899508831838830930791299816878787664646529701069035891667033911755436703884708733472111842967117369985714304950474260194747523299509904044011322807924030115575998185987659814906948793821274883761962474008807009225173579958119836
# n  v5(a_n)  v5(b_n)  v5(e_n)  v5(h_n)
0 6150 0 6150 0
1 0 0 0 0
2 0 0 0 3
3 0 0 0 5
4 1 1 1 8
5 0 0 0 10
6 0 0 0 13
7 0 0 0 15
8 0 0 0 18
9 2 2 1 21
10 0 0 0 24
11 0 0 0 28
12 0 0 0 30
13 0 0 0 33
14 1 1 1 36
15 3 3 1 39
16 1 1 1 43
17 1 1 1 44
18 1 1 1 47
19 2 2 3 50
20 1 1 1 53
21 1 1 1 59
22 1 1 1 61
23 1 1 1 65
24 2 2 2 68
25 0 0 0 68
26 0 0 0 71
27 0 0 0 73
28 0 0 0 76
29 1 1 1 79
30 0 0 0 82
31 0 0 0 86
32 0 0 0 88
33 0 0 0 91
34 2 2 1 94
35 0 0 0 97
36 0 0 0 100
37 0 0 0 102
38 0 0 0 105
39 1 1 1 108
40 1 1 1 111
41 2 2 1 117
42 2 2 1 117
43 2 2 1 120
44 3 3 3 123
45 2 2 1 126
46 2 2 1 130
47 2 2 1 132
48 2 2 1 135
49 3 3 2 138
50 0 0 0 141
51 0 0 0 146
52 0 0 0 148
53 0 0 0 151
54 1 1 1 154
55 0 0 0 157
56 0 0 0 161
57 0 0 0 163
58 0 0 0 166
59 2 2 1 169
60 0 0 0 172
61 0 0 0 175
62 0 0 0 177
63 0 0 0 180
64 1 1 1 183
65 1 1 1 186
66 1 1 1 191
67 1 1 1 192
68 1 1 1 195
69 2 2 3 198
70 1 1 1 201
71 1 1 1 205
72 1 1 1 207
73 1 1 1 210
74 2 2 2 213
75 1 1 1 216
76 1 1 1 221
77 1 1 1 223
78 1 1 1 226
79 2 2 2 229
80 1 1 1 232
81 1 1 1 236
82 1 1 1 238
83 1 1 1 242
84 6 6 2 245
85 1 1 1 246
86 1 1 1 249
87 1 1 1 251
88 1 1 1 254
89 2 2 2 257
90 2 2 2 260
91 2 2 3 265
92 2 2 3 266
93 2 2 3 269
94 3 3 4 272
95 2 2 3 275
96 2 2 3 279
97 2 2 3 281
98 2 2 3 284
99 3 3 4 287
100 1 1 1 290
101 1 1 1 297
102 1 1 1 299
103 1 1 1 302
104 2 2 2 305
105 1 1 1 308
106 1 1 1 312
107 1 1 1 314
108 1 1 1 317
109 3 3 2 320
110 1 1 1 323
111 1 1 1 326
112 1 1 1 328
113 1 1 1 331
114 2 2 2 334
115 2 2 3 337
116 2 2 2 342
117 2 2 2 343
118 2 2 2 346
119 3 3 4 349
120 2 2 2 352
121 2 2 2 356
122 2 2 2 358
123 2 2 2 361
124 3 3 3 364
125 0 0 0 366
126 0 0 0 369
127 0 0 0 371
128 0 0 0 374
129 1 1 1 377
130 0 0 0 380
131 0 0 0 384
132 0 0 0 386
133 0 0 0 389
134 2 2 1 392
135 0 0 0 395
136 0 0 0 398
137 0 0 0 400
138 0 0 0 403
139 1 1 1 406
140 2 2 1 409
141 1 1 1 414
142 1 1 1 415
143 1 1 1 418
144 2 2 3 421
145 1 1 1 424
146 1 1 1 428
147 1 1 1 430
148 1 1 1 433
